surface_dist,mean_patchiness,mean_phi,num_points
2,0.239443,4.341942,104
3,0.2784611,3.578308,248
4,0.2966771,4.298937,440
5,0.2905319,4.991652,719
6,0.3009999,4.464719,1070
7,0.3225327,4.136178,1503
8,0.3279889,3.785099,1977
9,0.3415666,4.359436,2461
10,0.3638805,5.966841,2899
11,0.3939536,6.409645,3386
12,0.4206217,5.606124,3985
13,0.4375116,4.783853,4655
14,0.4526095,3.759765,5398
15,0.4605859,3.378598,6190
16,0.459923,3.035391,7086
17,0.4554361,3.175732,8020
18,0.4566877,3.47978,9012
19,0.4554915,3.762156,10026
20,0.4551081,3.833813,11182
21,0.4551339,3.675996,12431
22,0.4519613,3.548534,13713
23,0.4450573,3.102335,14923
24,0.4386721,2.562418,16065
25,0.4361708,2.173342,17182
26,0.4308651,1.923254,18247
27,0.4287037,1.734902,19364
28,0.4306526,1.605162,20572
29,0.4329441,1.771854,21859
30,0.4351525,2.263999,23243
31,0.4358417,2.780438,24639
32,0.4366094,3.074204,26001
33,0.4359823,3.252504,27321
34,0.4351913,3.305425,28659
35,0.4336079,3.189828,30104
36,0.4305162,3.074291,31571
37,0.4280934,3.057054,33153
38,0.4250191,3.068049,34814
39,0.4235717,3.130087,36555
40,0.4238495,3.277043,38185
41,0.4244476,3.392191,39767
42,0.4248216,3.386531,41284
43,0.4250209,3.339577,42875
44,0.424695,3.25144,44482
45,0.4216278,3.194374,46032
46,0.418936,3.246473,47652
47,0.4182495,3.344035,49315
48,0.4172249,3.383817,50915
49,0.4168595,3.414667,52490
50,0.4174058,3.438807,53956
51,0.4175969,3.458321,55376
52,0.4187257,3.395662,56879
53,0.4196623,3.287543,58469
54,0.4194467,3.225426,60111
55,0.4185031,3.212025,61784
56,0.4191045,3.258857,63532
57,0.4204214,3.34647,65368
58,0.4217057,3.380455,67152
59,0.4225078,3.369229,68924
60,0.4234704,3.384606,70755
61,0.4241043,3.396181,72598
62,0.4251471,3.358055,74652
63,0.4266206,3.352152,76904
64,0.4281442,3.389408,79322
65,0.4292541,3.456602,81880
66,0.431206,3.449129,84398
67,0.4323516,3.543551,87002
68,0.4330048,3.61171,89886
69,0.4328745,3.617574,92942
70,0.4333909,3.585175,96111
71,0.4340718,3.550045,99276
72,0.4342647,3.471085,102246
73,0.4333071,3.389047,104994
74,0.431418,3.32263,107777
75,0.4294448,3.302456,110588
76,0.4282026,3.260684,113510
77,0.4274558,3.284166,116554
78,0.4270371,3.2811,119469
79,0.4272396,3.239069,122302
80,0.4266107,3.173686,124946
81,0.4246362,3.141642,127437
82,0.4217657,3.104976,129741
83,0.419462,3.050595,132039
84,0.4182595,3.036495,134217
85,0.4165692,3.007041,136403
86,0.4155134,2.958557,138539
87,0.4160329,2.929179,140709
88,0.4167123,2.91426,142860
89,0.4167943,2.908336,144967
90,0.4155836,2.890343,146980
91,0.4139708,2.879994,148904
92,0.4128765,2.896452,150523
93,0.411885,2.914367,151907
94,0.4108042,2.92399,153130
95,0.409437,2.925098,154273
96,0.4085611,2.902381,155271
97,0.4077553,2.884326,156227
98,0.4071731,2.883542,156977
99,0.4067181,2.887578,157561
100,0.4062383,2.896221,158066
101,0.4056984,2.896218,158544
102,0.4052625,2.906679,159033
103,0.4048896,2.909636,159559
104,0.404651,2.8892,160079
105,0.4044921,2.870351,160487
106,0.4044763,2.872436,160681
107,0.4044294,2.869808,160745
