radius,mean_patchiness,mean_phi,num_points
2,0.8717263,19.31838,30
3,0.6194174,17.59718,178
4,0.5380584,15.31522,405
5,0.5569476,12.10744,717
6,0.5671758,9.691313,1373
7,0.5357332,7.277361,2229
8,0.5003003,5.032463,3199
9,0.4701949,3.970744,4223
10,0.4567588,3.743217,5197
11,0.4343289,4.009758,6342
12,0.4274289,4.238885,7723
13,0.4417901,4.39103,9534
14,0.4566894,3.197281,11566
15,0.4581394,2.868451,13379
16,0.4508292,2.961214,14965
17,0.438916,2.870216,16478
18,0.4272811,2.441659,18213
19,0.4163923,2.257933,20238
20,0.4211478,2.21961,22057
21,0.4210874,2.189533,23619
22,0.4179649,2.307714,25157
23,0.417468,2.47856,26860
24,0.4214671,2.825092,28970
25,0.4227346,3.190996,31235
26,0.4191909,3.112635,33341
27,0.4177057,2.808166,35236
28,0.4175571,2.673737,37147
29,0.4203583,2.730464,38874
30,0.4218197,2.851897,40933
31,0.4229228,3.011729,43030
32,0.4239197,3.1916,45103
33,0.4264134,3.459198,47108
34,0.4267738,3.5976,49201
35,0.424695,3.708965,51363
36,0.4227627,3.699572,53487
37,0.4213339,3.563609,56004
38,0.4208946,3.629856,59068
39,0.4231196,3.665877,62311
40,0.4273512,3.770007,65662
41,0.4290009,3.760187,68863
42,0.4319606,3.746301,71524
43,0.4362714,3.778603,74395
44,0.4375699,3.70421,76990
45,0.4365944,3.679819,79713
46,0.4350025,3.660303,82253
47,0.4351273,3.611167,84994
48,0.4361097,3.581504,87933
49,0.4372072,3.492436,90796
50,0.4377542,3.451148,94098
51,0.4381537,3.496489,97960
52,0.436678,3.462516,102158
53,0.4335852,3.380818,106996
54,0.4294568,3.332578,111829
55,0.425265,3.255673,116487
56,0.4250438,3.309697,120733
57,0.4246149,3.33587,124389
58,0.4231831,3.289097,127258
59,0.4212323,3.241958,129534
60,0.4191924,3.202385,131645
61,0.4173175,3.143485,134242
62,0.4162199,3.13326,137060
63,0.4148252,3.101864,139728
64,0.413621,3.070379,142159
65,0.4123669,3.004106,144791
66,0.4108866,2.891192,147537
67,0.4097683,2.833509,149818
68,0.4090957,2.829104,151918
69,0.4081376,2.835609,153717
70,0.4069491,2.840025,155434
71,0.4062985,2.863498,157003
72,0.405875,2.889067,158288
73,0.405382,2.892659,159367
74,0.4045262,2.882054,160091
75,0.4044448,2.889675,160364
76,0.4043698,2.882646,160602
77,0.4044294,2.869808,160745
