surface_dist,mean_patchiness,mean_phi,num_points
2,1,-15.21688,156
3,1,-14.19219,320
4,1,-13.37353,575
5,1,-13.15819,823
6,0.9974633,-13.27922,1053
7,0.9596828,-13.66206,1321
8,0.8500279,-12.81332,1657
9,0.725341,-9.897202,2102
10,0.6730937,-5.753079,2630
11,0.6595712,-1.553563,3207
12,0.6600459,1.063831,3837
13,0.6540434,2.864401,4556
14,0.6470893,4.282727,5386
15,0.6503143,5.875384,6382
16,0.6490099,7.403975,7602
17,0.6534042,8.420898,8988
18,0.6610913,9.077636,10431
19,0.6712514,9.444387,12119
20,0.6770049,9.970094,13952
21,0.6782166,10.47239,15960
22,0.6751493,10.98904,18019
23,0.6652189,10.90326,20133
24,0.6490686,10.71061,22239
25,0.6299529,10.25336,24523
26,0.6104737,9.647511,27098
27,0.5919355,9.046744,29990
28,0.5738316,8.446318,33122
29,0.554426,7.869948,36672
30,0.5338707,7.376205,40544
31,0.5194645,7.179529,44701
32,0.5114205,7.016992,49330
33,0.5054834,6.578162,54353
34,0.5011845,5.986598,59623
35,0.4983198,5.565149,65089
36,0.4948978,5.236464,70878
37,0.490044,5.048577,76998
38,0.4888938,4.904038,83239
39,0.4879675,4.723597,89764
40,0.4840679,4.559589,96428
41,0.4800985,4.476118,103107
42,0.4771405,4.519059,109870
43,0.4751764,4.49797,116669
44,0.4734666,4.486877,123801
45,0.4705257,4.407246,131532
46,0.4691908,4.25992,139779
47,0.4685695,4.174287,148697
48,0.4673334,4.163753,158060
49,0.4646826,4.099918,167255
50,0.4611668,3.957202,176238
51,0.4574579,3.785431,185426
52,0.4537766,3.676681,194777
53,0.4522052,3.669486,204312
54,0.4527743,3.697969,213689
55,0.4518999,3.822053,222282
56,0.4487588,3.903647,229800
57,0.4461265,3.907063,235848
58,0.4449818,3.943267,240610
59,0.4447606,3.941892,244132
60,0.4441813,3.919552,246655
61,0.4436625,3.885049,248863
62,0.4430875,3.85828,250659
63,0.4429497,3.86949,251274
64,0.4428113,3.870795,251431
65,0.4428102,3.870848,251435
