radius,mean_patchiness,mean_phi,num_points
4,0.7596233,13.6981,101
5,0.6601731,9.101216,563
6,0.7565378,9.930686,1315
7,0.772514,10.57463,2434
8,0.745759,11.60583,3762
9,0.7051805,12.78211,5377
10,0.651973,12.07466,7524
11,0.6037298,11.14043,10061
12,0.5494718,10.40496,13142
13,0.5180668,8.801779,16142
14,0.4911278,7.219366,19869
15,0.4809614,6.569246,23990
16,0.4671109,6.26573,29218
17,0.4645904,6.156387,34639
18,0.4589256,6.067617,40559
19,0.4545552,5.650931,45703
20,0.4572887,5.06234,49428
21,0.4627118,4.696821,51885
22,0.4663722,4.867823,53538
23,0.4659909,4.81274,54118
24,0.4652001,4.784423,54280
25,0.4649135,4.779119,54325
