patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
32.44569,9.3345,0.4625527,18.67814,57.19102
32.44569,9.3345,0.4625527,18.67814,52.02417
32.44569,9.3345,0.4625527,18.67814,29.24777
32.44569,9.3345,0.4625527,18.67814,35.65843
32.44569,9.3345,0.4625527,18.67814,50.03161
32.44569,9.3345,0.4625527,18.67814,35.077
32.44569,9.3345,0.4625527,18.67814,26.35368
32.44569,9.3345,0.4625527,18.67814,48.22923
32.44569,9.3345,0.4625527,18.67814,43.46455
32.44569,9.3345,0.4625527,18.67814,59.06636
32.44569,9.3345,0.4625527,18.67814,50.36842
32.44569,9.3345,0.4625527,18.67814,49.36898
32.44569,9.3345,0.4625527,18.67814,3.073678
32.44569,9.3345,0.4625527,18.67814,47.25261
32.44569,9.3345,0.4625527,18.67814,40.39177
32.44569,9.3345,0.4625527,18.67814,24.38396
32.44569,9.3345,0.4625527,18.67814,44.99971
32.44569,9.3345,0.4625527,18.67814,49.79471
32.44569,9.3345,0.4625527,18.67814,25.01099
32.44569,9.3345,0.4625527,18.67814,38.28502
32.44569,9.3345,0.4625527,18.67814,58.07592
32.44569,9.3345,0.4625527,18.67814,33.78899
32.44569,9.3345,0.4625527,18.67814,51.89909
32.44569,9.3345,0.4625527,18.67814,54.15601
32.44569,9.3345,0.4625527,18.67814,28.16878
32.44569,9.3345,0.4625527,18.67814,39.65926
32.44569,9.3345,0.4625527,18.67814,52.21974
32.44569,9.3345,0.4625527,18.67814,28.3022
32.44569,9.3345,0.4625527,18.67814,37.95042
32.44569,9.3345,0.4625527,18.67814,51.1165
32.44569,9.3345,0.4625527,18.67814,57.19009
32.44569,9.3345,0.4625527,18.67814,58.85111
32.44569,9.3345,0.4625527,18.67814,46.90245
32.44569,9.3345,0.4625527,18.67814,5.217716
32.44569,9.3345,0.4625527,18.67814,38.65117
32.44569,9.3345,0.4625527,18.67814,36.61167
32.44569,9.3345,0.4625527,18.67814,49.3818
32.44569,9.3345,0.4625527,18.67814,26.39109
32.44569,9.3345,0.4625527,18.67814,46.30333
32.44569,9.3345,0.4625527,18.67814,57.99429
32.44569,9.3345,0.4625527,18.67814,48.88963
32.44569,9.3345,0.4625527,18.67814,51.873
32.44569,9.3345,0.4625527,18.67814,49.22177
32.44569,9.3345,0.4625527,18.67814,48.05069
32.44569,9.3345,0.4625527,18.67814,16.27407
32.44569,9.3345,0.4625527,18.67814,52.59049
32.44569,9.3345,0.4625527,18.67814,47.69047
32.44569,9.3345,0.4625527,18.67814,45.78945
32.44569,9.3345,0.4625527,18.67814,57.74738
32.44569,9.3345,0.4625527,18.67814,42.1451
32.44569,9.3345,0.4625527,18.67814,16.55733
32.44569,9.3345,0.4625527,18.67814,55.53754
32.44569,9.3345,0.4625527,18.67814,57.33678
32.44569,9.3345,0.4625527,18.67814,26.02955
32.44569,9.3345,0.4625527,18.67814,39.16806
32.44569,9.3345,0.4625527,18.67814,36.10353
32.44569,9.3345,0.4625527,18.67814,49.95825
32.44569,9.3345,0.4625527,18.67814,57.21397
32.44569,9.3345,0.4625527,18.67814,48.51718
32.44569,9.3345,0.4625527,18.67814,59.92863
32.44569,9.3345,0.4625527,18.67814,22.25332
32.44569,9.3345,0.4625527,18.67814,48.23144
32.44569,9.3345,0.4625527,18.67814,32.28367
32.44569,9.3345,0.4625527,18.67814,39.17582
32.44569,9.3345,0.4625527,18.67814,51.70721
32.44569,9.3345,0.4625527,18.67814,58.22606
32.44569,9.3345,0.4625527,18.67814,46.70543
32.44569,9.3345,0.4625527,18.67814,49.96162
32.44569,9.3345,0.4625527,18.67814,38.27967
32.44569,9.3345,0.4625527,18.67814,41.91507
32.44569,9.3345,0.4625527,18.67814,34.79657
32.44569,9.3345,0.4625527,18.67814,52.58933
32.44569,9.3345,0.4625527,18.67814,43.85286
32.44569,9.3345,0.4625527,18.67814,21.27711
32.44569,9.3345,0.4625527,18.67814,50.00779
32.44569,9.3345,0.4625527,18.67814,43.59283
32.44569,9.3345,0.4625527,18.67814,28.62881
32.44569,9.3345,0.4625527,18.67814,48.6389
32.44569,9.3345,0.4625527,18.67814,52.61368
32.44569,9.3345,0.4625527,18.67814,49.75691
32.44569,9.3345,0.4625527,18.67814,16.65041
32.44569,9.3345,0.4625527,18.67814,36.20089
32.44569,9.3345,0.4625527,18.67814,28.87575
32.44569,9.3345,0.4625527,18.67814,46.74475
32.44569,9.3345,0.4625527,18.67814,47.02073
32.44569,9.3345,0.4625527,18.67814,15.67079
32.44569,9.3345,0.4625527,18.67814,61.17721
32.44569,9.3345,0.4625527,18.67814,46.8757
32.44569,9.3345,0.4625527,18.67814,51.0965
32.44569,9.3345,0.4625527,18.67814,46.34747
32.44569,9.3345,0.4625527,18.67814,41.03353
32.44569,9.3345,0.4625527,18.67814,24.03574
32.44569,9.3345,0.4625527,18.67814,27.81155
32.44569,9.3345,0.4625527,18.67814,20.49739
32.44569,9.3345,0.4625527,18.67814,52.04605
32.44569,9.3345,0.4625527,18.67814,61.74159
32.44569,9.3345,0.4625527,18.67814,35.86444
32.44569,9.3345,0.4625527,18.67814,25.57259
32.44569,9.3345,0.4625527,18.67814,48.87494
32.44569,9.3345,0.4625527,18.67814,50.69277
32.44569,9.3345,0.4625527,18.67814,60.07593
32.44569,9.3345,0.4625527,18.67814,43.39133
32.44569,9.3345,0.4625527,18.67814,45.1041
32.44569,9.3345,0.4625527,18.67814,56.96682
32.44569,9.3345,0.4625527,18.67814,36.03993
32.44569,9.3345,0.4625527,18.67814,29.1114
32.44569,9.3345,0.4625527,18.67814,41.94623
32.44569,9.3345,0.4625527,18.67814,50.37216
32.44569,9.3345,0.4625527,18.67814,53.56371
32.44569,9.3345,0.4625527,18.67814,55.3904
32.44569,9.3345,0.4625527,18.67814,45.89988
32.44569,9.3345,0.4625527,18.67814,51.50077
32.44569,9.3345,0.4625527,18.67814,60.93338
32.44569,9.3345,0.4625527,18.67814,53.7313
32.44569,9.3345,0.4625527,18.67814,54.11119
32.44569,9.3345,0.4625527,18.67814,44.49235
32.44569,9.3345,0.4625527,18.67814,47.57612
32.44569,9.3345,0.4625527,18.67814,50.90468
32.44569,9.3345,0.4625527,18.67814,45.38303
32.44569,9.3345,0.4625527,18.67814,45.42745
32.44569,9.3345,0.4625527,18.67814,21.49696
32.44569,9.3345,0.4625527,18.67814,44.47678
32.44569,9.3345,0.4625527,18.67814,21.04293
32.44569,9.3345,0.4625527,18.67814,36.60509
32.44569,9.3345,0.4625527,18.67814,44.60542
32.44569,9.3345,0.4625527,18.67814,25.51037
32.44569,9.3345,0.4625527,18.67814,39.95403
32.44569,9.3345,0.4625527,18.67814,26.78458
32.44569,9.3345,0.4625527,18.67814,48.88532
32.44569,9.3345,0.4625527,18.67814,36.38626
32.44569,9.3345,0.4625527,18.67814,33.54713
32.44569,9.3345,0.4625527,18.67814,49.28021
32.44569,9.3345,0.4625527,18.67814,27.73193
32.44569,9.3345,0.4625527,18.67814,46.53006
32.44569,9.3345,0.4625527,18.67814,23.57287
32.44569,9.3345,0.4625527,18.67814,50.78135
32.44569,9.3345,0.4625527,18.67814,49.88924
32.44569,9.3345,0.4625527,18.67814,41.3924
32.44569,9.3345,0.4625527,18.67814,40.30965
32.44569,9.3345,0.4625527,18.67814,57.49244
32.44569,9.3345,0.4625527,18.67814,58.80822
32.44569,9.3345,0.4625527,18.67814,34.07624
32.44569,9.3345,0.4625527,18.67814,60.43198
32.44569,9.3345,0.4625527,18.67814,39.08253
32.44569,9.3345,0.4625527,18.67814,49.95338
32.44569,9.3345,0.4625527,18.67814,20.60887
32.44569,9.3345,0.4625527,18.67814,41.77764
32.44569,9.3345,0.4625527,18.67814,28.57833
32.44569,9.3345,0.4625527,18.67814,53.22964
32.44569,9.3345,0.4625527,18.67814,57.63531
32.44569,9.3345,0.4625527,18.67814,46.60968
32.44569,9.3345,0.4625527,18.67814,56.35059
32.44569,9.3345,0.4625527,18.67814,30.07784
32.44569,9.3345,0.4625527,18.67814,48.43546
32.44569,9.3345,0.4625527,18.67814,39.01441
32.44569,9.3345,0.4625527,18.67814,7.680316
32.44569,9.3345,0.4625527,18.67814,20.83773
32.44569,9.3345,0.4625527,18.67814,46.27858
32.44569,9.3345,0.4625527,18.67814,45.07822
32.44569,9.3345,0.4625527,18.67814,25.38917
32.44569,9.3345,0.4625527,18.67814,59.00674
32.44569,9.3345,0.4625527,18.67814,55.46041
32.44569,9.3345,0.4625527,18.67814,44.86877
32.44569,9.3345,0.4625527,18.67814,39.70099
32.44569,9.3345,0.4625527,18.67814,46.21076
32.44569,9.3345,0.4625527,18.67814,7.920361
32.44569,9.3345,0.4625527,18.67814,36.78269
32.44569,9.3345,0.4625527,18.67814,52.01709
32.44569,9.3345,0.4625527,18.67814,51.26204
32.44569,9.3345,0.4625527,18.67814,38.62886
32.44569,9.3345,0.4625527,18.67814,21.74862
32.44569,9.3345,0.4625527,18.67814,52.58484
32.44569,9.3345,0.4625527,18.67814,39.18158
32.44569,9.3345,0.4625527,18.67814,35.55232
32.44569,9.3345,0.4625527,18.67814,52.4916
32.44569,9.3345,0.4625527,18.67814,43.17869
32.44569,9.3345,0.4625527,18.67814,37.70293
32.44569,9.3345,0.4625527,18.67814,29.91685
32.44569,9.3345,0.4625527,18.67814,44.65802
32.44569,9.3345,0.4625527,18.67814,26.34763
32.44569,9.3345,0.4625527,18.67814,41.24118
32.44569,9.3345,0.4625527,18.67814,40.9187
32.44569,9.3345,0.4625527,18.67814,40.20509
32.44569,9.3345,0.4625527,18.67814,10.97865
32.44569,9.3345,0.4625527,18.67814,35.41013
32.44569,9.3345,0.4625527,18.67814,40.16729
32.44569,9.3345,0.4625527,18.67814,52.73883
32.44569,9.3345,0.4625527,18.67814,21.49428
32.44569,9.3345,0.4625527,18.67814,55.16378
32.44569,9.3345,0.4625527,18.67814,59.29615
32.44569,9.3345,0.4625527,18.67814,29.0271
32.44569,9.3345,0.4625527,18.67814,45.65807
32.44569,9.3345,0.4625527,18.67814,47.16277
32.44569,9.3345,0.4625527,18.67814,12.68388
32.44569,9.3345,0.4625527,18.67814,50.93145
32.44569,9.3345,0.4625527,18.67814,47.33365
32.44569,9.3345,0.4625527,18.67814,49.48842
32.44569,9.3345,0.4625527,18.67814,45.93312
32.44569,9.3345,0.4625527,18.67814,20.54362
32.44569,9.3345,0.4625527,18.67814,53.26207
32.44569,9.3345,0.4625527,18.67814,50.34395
32.44569,9.3345,0.4625527,18.67814,46.11229
32.44569,9.3345,0.4625527,18.67814,38.57918
32.44569,9.3345,0.4625527,18.67814,54.87165
32.44569,9.3345,0.4625527,18.67814,19.05946
32.44569,9.3345,0.4625527,18.67814,48.79937
32.44569,9.3345,0.4625527,18.67814,48.86555
32.44569,9.3345,0.4625527,18.67814,42.37257
32.44569,9.3345,0.4625527,18.67814,19.85452
32.44569,9.3345,0.4625527,18.67814,37.67583
32.44569,9.3345,0.4625527,18.67814,35.69711
32.44569,9.3345,0.4625527,18.67814,45.49437
32.44569,9.3345,0.4625527,18.67814,42.55104
32.44569,9.3345,0.4625527,18.67814,49.54555
32.44569,9.3345,0.4625527,18.67814,49.37192
32.44569,9.3345,0.4625527,18.67814,60.47867
32.44569,9.3345,0.4625527,18.67814,30.52202
32.44569,9.3345,0.4625527,18.67814,42.75089
32.44569,9.3345,0.4625527,18.67814,39.12151
32.44569,9.3345,0.4625527,18.67814,45.05317
32.44569,9.3345,0.4625527,18.67814,56.91027
32.44569,9.3345,0.4625527,18.67814,42.72092
32.44569,9.3345,0.4625527,18.67814,28.30077
32.44569,9.3345,0.4625527,18.67814,37.34855
32.44569,9.3345,0.4625527,18.67814,36.41114
32.44569,9.3345,0.4625527,18.67814,54.04011
32.44569,9.3345,0.4625527,18.67814,18.57876
32.44569,9.3345,0.4625527,18.67814,56.00055
32.44569,9.3345,0.4625527,18.67814,49.89864
32.44569,9.3345,0.4625527,18.67814,49.44029
32.44569,9.3345,0.4625527,18.67814,27.02671
32.44569,9.3345,0.4625527,18.67814,20.39122
32.44569,9.3345,0.4625527,18.67814,56.73793
32.44569,9.3345,0.4625527,18.67814,41.30987
32.44569,9.3345,0.4625527,18.67814,46.12938
32.44569,9.3345,0.4625527,18.67814,33.89508
32.44569,9.3345,0.4625527,18.67814,4.441945
32.44569,9.3345,0.4625527,18.67814,44.40193
32.44569,9.3345,0.4625527,18.67814,32.38295
32.44569,9.3345,0.4625527,18.67814,11.68802
32.44569,9.3345,0.4625527,18.67814,39.9535
32.44569,9.3345,0.4625527,18.67814,16.74889
32.44569,9.3345,0.4625527,18.67814,52.11558
32.44569,9.3345,0.4625527,18.67814,57.18202
32.44569,9.3345,0.4625527,18.67814,51.60534
32.44569,9.3345,0.4625527,18.67814,18.94466
32.44569,9.3345,0.4625527,18.67814,19.702
32.44569,9.3345,0.4625527,18.67814,19.08786
32.44569,9.3345,0.4625527,18.67814,57.79396
32.44569,9.3345,0.4625527,18.67814,49.05824
32.44569,9.3345,0.4625527,18.67814,45.59041
32.44569,9.3345,0.4625527,18.67814,58.8506
32.44569,9.3345,0.4625527,18.67814,47.21076
32.44569,9.3345,0.4625527,18.67814,47.16455
32.44569,9.3345,0.4625527,18.67814,37.78372
32.44569,9.3345,0.4625527,18.67814,44.64383
32.44569,9.3345,0.4625527,18.67814,58.30666
32.44569,9.3345,0.4625527,18.67814,23.3035
32.44569,9.3345,0.4625527,18.67814,35.16022
32.44569,9.3345,0.4625527,18.67814,49.91482
32.44569,9.3345,0.4625527,18.67814,25.04543
32.44569,9.3345,0.4625527,18.67814,21.44593
32.44569,9.3345,0.4625527,18.67814,46.7899
32.44569,9.3345,0.4625527,18.67814,58.53694
32.44569,9.3345,0.4625527,18.67814,52.55129
32.44569,9.3345,0.4625527,18.67814,39.31279
32.44569,9.3345,0.4625527,18.67814,49.63285
32.44569,9.3345,0.4625527,18.67814,44.42393
32.44569,9.3345,0.4625527,18.67814,59.27454
32.44569,9.3345,0.4625527,18.67814,46.51522
32.44569,9.3345,0.4625527,18.67814,53.47122
32.44569,9.3345,0.4625527,18.67814,11.13016
32.44569,9.3345,0.4625527,18.67814,38.85209
32.44569,9.3345,0.4625527,18.67814,47.12465
32.44569,9.3345,0.4625527,18.67814,31.18732
32.44569,9.3345,0.4625527,18.67814,57.52915
32.44569,9.3345,0.4625527,18.67814,49.388
32.44569,9.3345,0.4625527,18.67814,54.87117
32.44569,9.3345,0.4625527,18.67814,56.42831
32.44569,9.3345,0.4625527,18.67814,53.25002
32.44569,9.3345,0.4625527,18.67814,40.46893
32.44569,9.3345,0.4625527,18.67814,55.6237
32.44569,9.3345,0.4625527,18.67814,42.34999
32.44569,9.3345,0.4625527,18.67814,49.65083
32.44569,9.3345,0.4625527,18.67814,45.07876
32.44569,9.3345,0.4625527,18.67814,28.52155
32.44569,9.3345,0.4625527,18.67814,43.48172
32.44569,9.3345,0.4625527,18.67814,56.22027
32.44569,9.3345,0.4625527,18.67814,54.28829
32.44569,9.3345,0.4625527,18.67814,52.55534
32.44569,9.3345,0.4625527,18.67814,11.27531
32.44569,9.3345,0.4625527,18.67814,51.46067
32.44569,9.3345,0.4625527,18.67814,27.77137
32.44569,9.3345,0.4625527,18.67814,44.43849
32.44569,9.3345,0.4625527,18.67814,34.79443
32.44569,9.3345,0.4625527,18.67814,30.82313
32.44569,9.3345,0.4625527,18.67814,54.63807
32.44569,9.3345,0.4625527,18.67814,25.38288
32.44569,9.3345,0.4625527,18.67814,50.86307
32.44569,9.3345,0.4625527,18.67814,48.45419
32.44569,9.3345,0.4625527,18.67814,50.66198
32.44569,9.3345,0.4625527,18.67814,30.01539
32.44569,9.3345,0.4625527,18.67814,61.18347
32.44569,9.3345,0.4625527,18.67814,51.73936
32.44569,9.3345,0.4625527,18.67814,39.88867
32.44569,9.3345,0.4625527,18.67814,53.13063
32.44569,9.3345,0.4625527,18.67814,45.56331
32.44569,9.3345,0.4625527,18.67814,42.06258
32.44569,9.3345,0.4625527,18.67814,38.21956
32.44569,9.3345,0.4625527,18.67814,37.52462
32.44569,9.3345,0.4625527,18.67814,42.35836
32.44569,9.3345,0.4625527,18.67814,10.88605
32.44569,9.3345,0.4625527,18.67814,32.23048
32.44569,9.3345,0.4625527,18.67814,53.92049
32.44569,9.3345,0.4625527,18.67814,36.93244
32.44569,9.3345,0.4625527,18.67814,53.08302
32.44569,9.3345,0.4625527,18.67814,39.63846
32.44569,9.3345,0.4625527,18.67814,60.8147
32.44569,9.3345,0.4625527,18.67814,58.88543
32.44569,9.3345,0.4625527,18.67814,48.64927
32.44569,9.3345,0.4625527,18.67814,39.76309
32.44569,9.3345,0.4625527,18.67814,53.46523
32.44569,9.3345,0.4625527,18.67814,37.86336
32.44569,9.3345,0.4625527,18.67814,43.11992
32.44569,9.3345,0.4625527,18.67814,40.99889
32.44569,9.3345,0.4625527,18.67814,57.79753
32.44569,9.3345,0.4625527,18.67814,22.29298
32.44569,9.3345,0.4625527,18.67814,47.44499
32.44569,9.3345,0.4625527,18.67814,40.98109
32.44569,9.3345,0.4625527,18.67814,57.89165
32.44569,9.3345,0.4625527,18.67814,50.77834
32.44569,9.3345,0.4625527,18.67814,51.00749
32.44569,9.3345,0.4625527,18.67814,38.60037
32.44569,9.3345,0.4625527,18.67814,48.60365
32.44569,9.3345,0.4625527,18.67814,44.22919
32.44569,9.3345,0.4625527,18.67814,44.647
32.44569,9.3345,0.4625527,18.67814,50.12539
32.44569,9.3345,0.4625527,18.67814,11.72585
32.44569,9.3345,0.4625527,18.67814,33.69931
32.44569,9.3345,0.4625527,18.67814,14.74945
32.44569,9.3345,0.4625527,18.67814,37.40945
32.44569,9.3345,0.4625527,18.67814,32.08073
32.44569,9.3345,0.4625527,18.67814,44.7157
32.44569,9.3345,0.4625527,18.67814,57.01497
32.44569,9.3345,0.4625527,18.67814,22.247
32.44569,9.3345,0.4625527,18.67814,41.57388
32.44569,9.3345,0.4625527,18.67814,26.60915
32.44569,9.3345,0.4625527,18.67814,15.63503
32.44569,9.3345,0.4625527,18.67814,56.43645
32.44569,9.3345,0.4625527,18.67814,22.23337
32.44569,9.3345,0.4625527,18.67814,8.534163
32.44569,9.3345,0.4625527,18.67814,43.68775
32.44569,9.3345,0.4625527,18.67814,26.62226
32.44569,9.3345,0.4625527,18.67814,43.60218
32.44569,9.3345,0.4625527,18.67814,50.64152
32.44569,9.3345,0.4625527,18.67814,54.08687
32.44569,9.3345,0.4625527,18.67814,47.64911
32.44569,9.3345,0.4625527,18.67814,51.27047
32.44569,9.3345,0.4625527,18.67814,41.32798
32.44569,9.3345,0.4625527,18.67814,52.16273
32.44569,9.3345,0.4625527,18.67814,30.67721
32.44569,9.3345,0.4625527,18.67814,41.63821
32.44569,9.3345,0.4625527,18.67814,30.95355
32.44569,9.3345,0.4625527,18.67814,34.43365
32.44569,9.3345,0.4625527,18.67814,42.30713
32.44569,9.3345,0.4625527,18.67814,28.13176
32.44569,9.3345,0.4625527,18.67814,49.1383
32.44569,9.3345,0.4625527,18.67814,44.20665
32.44569,9.3345,0.4625527,18.67814,49.06746
32.44569,9.3345,0.4625527,18.67814,47.09497
32.44569,9.3345,0.4625527,18.67814,23.21522
32.44569,9.3345,0.4625527,18.67814,53.70624
32.44569,9.3345,0.4625527,18.67814,36.22799
32.44569,9.3345,0.4625527,18.67814,36.08168
32.44569,9.3345,0.4625527,18.67814,52.68955
32.44569,9.3345,0.4625527,18.67814,36.42418
32.44569,9.3345,0.4625527,18.67814,28.74264
32.44569,9.3345,0.4625527,18.67814,41.84419
32.44569,9.3345,0.4625527,18.67814,38.46323
32.44569,9.3345,0.4625527,18.67814,46.15127
32.44569,9.3345,0.4625527,18.67814,19.37909
32.44569,9.3345,0.4625527,18.67814,28.40904
32.44569,9.3345,0.4625527,18.67814,51.81265
32.44569,9.3345,0.4625527,18.67814,42.10195
32.44569,9.3345,0.4625527,18.67814,53.83772
32.44569,9.3345,0.4625527,18.67814,38.36826
32.44569,9.3345,0.4625527,18.67814,52.8895
32.44569,9.3345,0.4625527,18.67814,58.6687
32.44569,9.3345,0.4625527,18.67814,53.15537
32.44569,9.3345,0.4625527,18.67814,48.43911
32.44569,9.3345,0.4625527,18.67814,53.30901
32.44569,9.3345,0.4625527,18.67814,16.94567
32.44569,9.3345,0.4625527,18.67814,45.84887
32.44569,9.3345,0.4625527,18.67814,10.80341
32.44569,9.3345,0.4625527,18.67814,46.37003
32.44569,9.3345,0.4625527,18.67814,29.01791
32.44569,9.3345,0.4625527,18.67814,43.7634
32.44569,9.3345,0.4625527,18.67814,54.8928
32.44569,9.3345,0.4625527,18.67814,18.97612
32.44569,9.3345,0.4625527,18.67814,45.45667
32.44569,9.3345,0.4625527,18.67814,42.14066
32.44569,9.3345,0.4625527,18.67814,44.89499
32.44569,9.3345,0.4625527,18.67814,54.32253
32.44569,9.3345,0.4625527,18.67814,60.71165
32.44569,9.3345,0.4625527,18.67814,37.69503
32.44569,9.3345,0.4625527,18.67814,21.34265
32.44569,9.3345,0.4625527,18.67814,55.34877
32.44569,9.3345,0.4625527,18.67814,47.69714
32.44569,9.3345,0.4625527,18.67814,41.10705
32.44569,9.3345,0.4625527,18.67814,45.69566
