radius,mean_patchiness,mean_phi,num_points
2,0.4293194,12.68677,2
3,0.3198752,10.99558,260
4,0.3131649,4.652099,622
5,0.2969977,2.980494,1038
6,0.2695038,2.815903,1767
7,0.2396406,3.327355,2606
8,0.253179,3.486856,3584
9,0.2899623,3.950161,5019
10,0.2950714,3.2914,6837
11,0.3125436,2.714005,9047
12,0.3462488,1.866993,12214
13,0.3775357,1.833276,15426
14,0.3945845,1.942717,18924
15,0.4065179,2.059947,23932
16,0.424181,1.849868,30209
17,0.4220498,1.875375,36212
18,0.417991,1.862792,42885
19,0.4202634,1.989522,50052
20,0.4194992,2.117139,57954
21,0.4170797,2.235929,65684
22,0.4135047,2.638483,72045
23,0.4137582,2.713411,77258
24,0.4176898,2.705825,81459
25,0.4259477,2.658764,86330
26,0.431057,2.412106,91526
27,0.4249911,2.23339,96079
28,0.4191986,2.154757,99264
29,0.4186483,2.044063,101432
30,0.419957,1.925132,102645
31,0.4205838,1.840516,103271
32,0.421131,1.782477,103614
33,0.4209383,1.781386,103737
