surface_dist,mean_patchiness,mean_phi,num_points
2,0.3271119,14.06072,193
3,0.2838924,7.086185,433
4,0.2890768,4.799396,745
5,0.2665977,4.212121,1176
6,0.2375472,3.167486,1710
7,0.2180825,2.728846,2353
8,0.2134119,2.840653,3121
9,0.2058302,3.072975,3997
10,0.2038045,3.515048,4890
11,0.2073992,3.376553,5891
12,0.2264016,2.897976,7047
13,0.2614391,2.554602,8461
14,0.3018462,2.379942,10161
15,0.3366991,2.32835,12195
16,0.3593726,2.757108,14475
17,0.3772736,3.113854,16916
18,0.3930128,3.537136,19669
19,0.3986524,3.8343,22645
20,0.401837,3.966257,25755
21,0.4022726,4.064672,28925
22,0.4004191,4.053748,32122
23,0.4005215,3.866881,35350
24,0.3990287,3.611974,38618
25,0.3965761,3.453525,41847
26,0.3936957,3.386586,45395
27,0.3944915,3.279869,49120
28,0.398917,3.033687,53006
29,0.4052307,2.907488,57091
30,0.4142411,2.899561,61321
31,0.4230151,2.900962,65856
32,0.4244939,2.821147,70516
33,0.4227463,2.722978,75165
34,0.4229371,2.706849,79787
35,0.4232822,2.525001,84224
36,0.4237628,2.30863,88262
37,0.4225191,2.142211,92144
38,0.4193341,2.004704,95641
39,0.4174857,1.902149,98560
40,0.4169197,1.897863,100554
41,0.4180539,1.822068,102034
42,0.4185741,1.811849,102991
43,0.4197986,1.820476,103497
44,0.4207338,1.789034,103697
45,0.4209383,1.781386,103737
