patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
-34.54677,-10.89775,-33.4691,-12.03505,53.93505
-34.54677,-10.89775,-33.4691,-12.03505,12.2932
-34.54677,-10.89775,-33.4691,-12.03505,48.8597
-34.54677,-10.89775,-33.4691,-12.03505,22.24376
-34.54677,-10.89775,-33.4691,-12.03505,22.01918
-34.54677,-10.89775,-33.4691,-12.03505,4.088451
-34.54677,-10.89775,-33.4691,-12.03505,56.31535
-34.54677,-10.89775,-33.4691,-12.03505,19.80933
-34.54677,-10.89775,-33.4691,-12.03505,21.26805
-34.54677,-10.89775,-33.4691,-12.03505,37.27054
-34.54677,-10.89775,-33.4691,-12.03505,44.71676
-34.54677,-10.89775,-33.4691,-12.03505,53.79833
-34.54677,-10.89775,-33.4691,-12.03505,43.84653
-34.54677,-10.89775,-33.4691,-12.03505,52.26414
-34.54677,-10.89775,-33.4691,-12.03505,26.97548
-34.54677,-10.89775,-33.4691,-12.03505,42.75276
-34.54677,-10.89775,-33.4691,-12.03505,8.00763
-34.54677,-10.89775,-33.4691,-12.03505,27.74332
-34.54677,-10.89775,-33.4691,-12.03505,23.63161
-34.54677,-10.89775,-33.4691,-12.03505,43.65181
-34.54677,-10.89775,-33.4691,-12.03505,53.48834
-34.54677,-10.89775,-33.4691,-12.03505,15.37621
-34.54677,-10.89775,-33.4691,-12.03505,25.90455
-34.54677,-10.89775,-33.4691,-12.03505,46.63087
-34.54677,-10.89775,-33.4691,-12.03505,32.15581
-34.54677,-10.89775,-33.4691,-12.03505,12.11323
-34.54677,-10.89775,-33.4691,-12.03505,27.21363
-34.54677,-10.89775,-33.4691,-12.03505,17.29006
-34.54677,-10.89775,-33.4691,-12.03505,12.88809
-34.54677,-10.89775,-33.4691,-12.03505,3.613393
-34.54677,-10.89775,-33.4691,-12.03505,35.55587
-34.54677,-10.89775,-33.4691,-12.03505,11.1661
-34.54677,-10.89775,-33.4691,-12.03505,7.131841
-34.54677,-10.89775,-33.4691,-12.03505,47.17934
-34.54677,-10.89775,-33.4691,-12.03505,8.803117
-34.54677,-10.89775,-33.4691,-12.03505,45.62177
-34.54677,-10.89775,-33.4691,-12.03505,26.69276
-34.54677,-10.89775,-33.4691,-12.03505,37.94981
-34.54677,-10.89775,-33.4691,-12.03505,1.487841
-34.54677,-10.89775,-33.4691,-12.03505,5.917212
-34.54677,-10.89775,-33.4691,-12.03505,12.89808
-34.54677,-10.89775,-33.4691,-12.03505,49.15144
-34.54677,-10.89775,-33.4691,-12.03505,37.71921
-34.54677,-10.89775,-33.4691,-12.03505,24.80134
-34.54677,-10.89775,-33.4691,-12.03505,26.75282
-34.54677,-10.89775,-33.4691,-12.03505,55.51278
-34.54677,-10.89775,-33.4691,-12.03505,24.92903
-34.54677,-10.89775,-33.4691,-12.03505,19.35554
-34.54677,-10.89775,-33.4691,-12.03505,50.20076
-34.54677,-10.89775,-33.4691,-12.03505,9.373799
-34.54677,-10.89775,-33.4691,-12.03505,33.70258
-34.54677,-10.89775,-33.4691,-12.03505,40.56311
-34.54677,-10.89775,-33.4691,-12.03505,36.48248
-34.54677,-10.89775,-33.4691,-12.03505,42.60487
-34.54677,-10.89775,-33.4691,-12.03505,33.15369
-34.54677,-10.89775,-33.4691,-12.03505,23.69497
-34.54677,-10.89775,-33.4691,-12.03505,16.23064
-34.54677,-10.89775,-33.4691,-12.03505,2.192932
-34.54677,-10.89775,-33.4691,-12.03505,21.39316
-34.54677,-10.89775,-33.4691,-12.03505,49.43009
-34.54677,-10.89775,-33.4691,-12.03505,32.00948
-34.54677,-10.89775,-33.4691,-12.03505,47.292
-34.54677,-10.89775,-33.4691,-12.03505,25.43912
-34.54677,-10.89775,-33.4691,-12.03505,10.20336
-34.54677,-10.89775,-33.4691,-12.03505,27.11998
-34.54677,-10.89775,-33.4691,-12.03505,6.646311
-34.54677,-10.89775,-33.4691,-12.03505,45.17941
-34.54677,-10.89775,-33.4691,-12.03505,21.56588
-34.54677,-10.89775,-33.4691,-12.03505,21.90941
-34.54677,-10.89775,-33.4691,-12.03505,8.477332
-34.54677,-10.89775,-33.4691,-12.03505,45.3246
-34.54677,-10.89775,-33.4691,-12.03505,18.6388
-34.54677,-10.89775,-33.4691,-12.03505,25.35796
-34.54677,-10.89775,-33.4691,-12.03505,40.26818
-34.54677,-10.89775,-33.4691,-12.03505,14.67607
-34.54677,-10.89775,-33.4691,-12.03505,51.31694
-34.54677,-10.89775,-33.4691,-12.03505,31.55407
-34.54677,-10.89775,-33.4691,-12.03505,7.106686
-34.54677,-10.89775,-33.4691,-12.03505,53.575
-34.54677,-10.89775,-33.4691,-12.03505,48.62701
-34.54677,-10.89775,-33.4691,-12.03505,50.38004
-34.54677,-10.89775,-33.4691,-12.03505,45.61406
-34.54677,-10.89775,-33.4691,-12.03505,22.42616
-34.54677,-10.89775,-33.4691,-12.03505,20.52376
-34.54677,-10.89775,-33.4691,-12.03505,46.83836
-34.54677,-10.89775,-33.4691,-12.03505,33.97266
-34.54677,-10.89775,-33.4691,-12.03505,51.65791
-34.54677,-10.89775,-33.4691,-12.03505,50.51041
-34.54677,-10.89775,-33.4691,-12.03505,11.36811
-34.54677,-10.89775,-33.4691,-12.03505,8.913103
-34.54677,-10.89775,-33.4691,-12.03505,45.68872
-34.54677,-10.89775,-33.4691,-12.03505,26.60199
-34.54677,-10.89775,-33.4691,-12.03505,41.72552
-34.54677,-10.89775,-33.4691,-12.03505,10.56377
-34.54677,-10.89775,-33.4691,-12.03505,15.81295
-34.54677,-10.89775,-33.4691,-12.03505,7.432775
-34.54677,-10.89775,-33.4691,-12.03505,11.68434
-34.54677,-10.89775,-33.4691,-12.03505,7.172438
-34.54677,-10.89775,-33.4691,-12.03505,39.10103
-34.54677,-10.89775,-33.4691,-12.03505,48.94557
-34.54677,-10.89775,-33.4691,-12.03505,25.45122
-34.54677,-10.89775,-33.4691,-12.03505,46.79006
-34.54677,-10.89775,-33.4691,-12.03505,46.0099
-34.54677,-10.89775,-33.4691,-12.03505,8.261571
-34.54677,-10.89775,-33.4691,-12.03505,17.97228
-34.54677,-10.89775,-33.4691,-12.03505,35.82594
-34.54677,-10.89775,-33.4691,-12.03505,33.43438
-34.54677,-10.89775,-33.4691,-12.03505,14.67129
-34.54677,-10.89775,-33.4691,-12.03505,24.82302
-34.54677,-10.89775,-33.4691,-12.03505,12.95636
-34.54677,-10.89775,-33.4691,-12.03505,18.62414
-34.54677,-10.89775,-33.4691,-12.03505,7.976366
-34.54677,-10.89775,-33.4691,-12.03505,7.755221
-34.54677,-10.89775,-33.4691,-12.03505,22.10456
-34.54677,-10.89775,-33.4691,-12.03505,44.61116
-34.54677,-10.89775,-33.4691,-12.03505,4.830337
-34.54677,-10.89775,-33.4691,-12.03505,25.55106
-34.54677,-10.89775,-33.4691,-12.03505,12.38227
-34.54677,-10.89775,-33.4691,-12.03505,21.12083
-34.54677,-10.89775,-33.4691,-12.03505,42.89685
-34.54677,-10.89775,-33.4691,-12.03505,7.507978
-34.54677,-10.89775,-33.4691,-12.03505,48.67746
-34.54677,-10.89775,-33.4691,-12.03505,24.88699
-34.54677,-10.89775,-33.4691,-12.03505,22.71797
-34.54677,-10.89775,-33.4691,-12.03505,23.91679
-34.54677,-10.89775,-33.4691,-12.03505,14.4986
-34.54677,-10.89775,-33.4691,-12.03505,30.21984
-34.54677,-10.89775,-33.4691,-12.03505,50.58286
-34.54677,-10.89775,-33.4691,-12.03505,41.95155
-34.54677,-10.89775,-33.4691,-12.03505,24.67059
-34.54677,-10.89775,-33.4691,-12.03505,22.09801
-34.54677,-10.89775,-33.4691,-12.03505,45.09532
-34.54677,-10.89775,-33.4691,-12.03505,22.92306
-34.54677,-10.89775,-33.4691,-12.03505,47.14321
-34.54677,-10.89775,-33.4691,-12.03505,43.67419
-34.54677,-10.89775,-33.4691,-12.03505,48.54501
-34.54677,-10.89775,-33.4691,-12.03505,20.23486
-34.54677,-10.89775,-33.4691,-12.03505,49.66661
-34.54677,-10.89775,-33.4691,-12.03505,19.93335
-34.54677,-10.89775,-33.4691,-12.03505,53.04684
-34.54677,-10.89775,-33.4691,-12.03505,18.85485
-34.54677,-10.89775,-33.4691,-12.03505,3.285623
-34.54677,-10.89775,-33.4691,-12.03505,19.57438
-34.54677,-10.89775,-33.4691,-12.03505,50.82695
-34.54677,-10.89775,-33.4691,-12.03505,25.50095
-34.54677,-10.89775,-33.4691,-12.03505,46.09747
-34.54677,-10.89775,-33.4691,-12.03505,42.90655
-34.54677,-10.89775,-33.4691,-12.03505,23.80539
-34.54677,-10.89775,-33.4691,-12.03505,43.81306
-34.54677,-10.89775,-33.4691,-12.03505,31.70306
-34.54677,-10.89775,-33.4691,-12.03505,38.33884
-34.54677,-10.89775,-33.4691,-12.03505,41.27282
-34.54677,-10.89775,-33.4691,-12.03505,42.60595
-34.54677,-10.89775,-33.4691,-12.03505,15.15743
-34.54677,-10.89775,-33.4691,-12.03505,34.61561
-34.54677,-10.89775,-33.4691,-12.03505,22.71099
-34.54677,-10.89775,-33.4691,-12.03505,32.84004
-34.54677,-10.89775,-33.4691,-12.03505,47.32174
-34.54677,-10.89775,-33.4691,-12.03505,49.40201
-34.54677,-10.89775,-33.4691,-12.03505,19.46
-34.54677,-10.89775,-33.4691,-12.03505,35.36393
-34.54677,-10.89775,-33.4691,-12.03505,45.08986
-34.54677,-10.89775,-33.4691,-12.03505,25.45234
-34.54677,-10.89775,-33.4691,-12.03505,37.44822
-34.54677,-10.89775,-33.4691,-12.03505,50.00986
-34.54677,-10.89775,-33.4691,-12.03505,21.89217
-34.54677,-10.89775,-33.4691,-12.03505,18.2227
-34.54677,-10.89775,-33.4691,-12.03505,13.7895
-34.54677,-10.89775,-33.4691,-12.03505,40.13129
-34.54677,-10.89775,-33.4691,-12.03505,47.97286
-34.54677,-10.89775,-33.4691,-12.03505,4.452489
-34.54677,-10.89775,-33.4691,-12.03505,22.54436
-34.54677,-10.89775,-33.4691,-12.03505,12.55728
-34.54677,-10.89775,-33.4691,-12.03505,20.6733
-34.54677,-10.89775,-33.4691,-12.03505,20.88546
-34.54677,-10.89775,-33.4691,-12.03505,22.35629
-34.54677,-10.89775,-33.4691,-12.03505,31.32519
-34.54677,-10.89775,-33.4691,-12.03505,43.10014
-34.54677,-10.89775,-33.4691,-12.03505,14.87935
-34.54677,-10.89775,-33.4691,-12.03505,48.28151
-34.54677,-10.89775,-33.4691,-12.03505,8.71397
-34.54677,-10.89775,-33.4691,-12.03505,15.16127
-34.54677,-10.89775,-33.4691,-12.03505,11.31684
-34.54677,-10.89775,-33.4691,-12.03505,44.11173
-34.54677,-10.89775,-33.4691,-12.03505,15.78316
-34.54677,-10.89775,-33.4691,-12.03505,23.27778
-34.54677,-10.89775,-33.4691,-12.03505,26.42079
-34.54677,-10.89775,-33.4691,-12.03505,23.91829
-34.54677,-10.89775,-33.4691,-12.03505,26.33449
