surface_dist,mean_patchiness,mean_phi,num_points
2,0.6308395,-6.726589,169
3,0.6293202,-4.849014,375
4,0.5934464,-4.189351,679
5,0.5537423,-4.977816,1065
6,0.5285004,-5.600986,1569
7,0.4995382,-4.59577,2216
8,0.4808253,-4.2802,3062
9,0.4761344,-4.325949,3996
10,0.4730144,-3.927751,5037
11,0.4666341,-3.790752,6271
12,0.4487616,-3.225434,7818
13,0.4370233,-2.779406,9709
14,0.4249583,-2.598864,11801
15,0.413357,-2.582773,14092
16,0.4063508,-2.527755,16604
17,0.402169,-2.340228,19415
18,0.3937238,-1.672212,22142
19,0.3871482,-0.9764492,25058
20,0.3910593,-0.3831457,28097
21,0.3999408,-0.05657016,31521
22,0.4113316,0.2178062,35268
23,0.4242961,0.6185653,39257
24,0.4303184,1.173979,43408
25,0.4296618,1.751427,47957
26,0.4259741,2.02271,52723
27,0.4243129,2.215216,57485
28,0.4235062,2.550706,62469
29,0.423951,3.063402,67611
30,0.4282818,3.460879,72841
31,0.433576,3.624956,78053
32,0.4383574,3.664221,83266
33,0.4413018,3.705236,88214
34,0.4416163,3.782716,93284
35,0.4409391,3.857642,98616
36,0.4404764,3.952909,104068
37,0.4390302,3.968713,109399
38,0.4370091,3.891387,114326
39,0.4362474,3.813615,118434
40,0.4360104,3.726575,122016
41,0.4353107,3.639496,125277
42,0.4342304,3.631927,128394
43,0.4322202,3.65621,131232
44,0.4303944,3.629501,133948
45,0.4292029,3.621109,136647
46,0.4277514,3.61736,139228
47,0.4271156,3.590409,141801
48,0.4282741,3.56916,144265
49,0.429853,3.594165,146715
50,0.4310261,3.63605,148920
51,0.4317844,3.629787,150774
52,0.4313009,3.588031,152232
53,0.4309653,3.551015,153568
54,0.4309237,3.517518,154765
55,0.4306579,3.504888,155706
56,0.4302324,3.488827,156460
57,0.4298721,3.486178,156928
58,0.4294843,3.485991,157218
59,0.4293381,3.495913,157312
60,0.4293248,3.49591,157320
