surface_dist,mean_patchiness,mean_phi,num_points
2,0.9949511,46.69917,158
3,0.970408,43.74949,376
4,0.9025184,40.65987,689
5,0.8274111,37.09225,1047
6,0.8085108,33.32553,1453
7,0.7749298,28.39007,1937
8,0.7176835,22.93491,2503
9,0.6805366,19.05228,3096
10,0.6488863,16.59878,3686
11,0.6071257,15.25513,4306
12,0.5731631,14.45701,4905
13,0.5494395,13.80223,5480
14,0.5274775,12.57699,6137
15,0.5064114,10.99087,6834
16,0.4819505,9.503986,7553
17,0.4506612,8.319719,8395
18,0.4252341,7.506655,9304
19,0.4091899,6.935943,10333
20,0.4007488,6.437528,11500
21,0.3963243,5.803463,12722
22,0.3922627,4.969577,14105
23,0.3846239,4.37043,15580
24,0.3737591,4.062505,17032
25,0.3683313,3.667484,18402
26,0.3657053,3.125905,19885
27,0.3669255,2.628513,21444
28,0.3701334,2.421085,23105
29,0.371025,2.110396,24811
30,0.3680257,1.828833,26636
31,0.3664228,1.651776,28376
32,0.3685874,1.477157,30149
33,0.3718996,1.346544,31972
34,0.3715648,1.224835,33800
35,0.3703844,0.9705174,35648
36,0.3692719,0.8098381,37482
37,0.3695983,0.7607548,39382
38,0.3736908,0.5869549,41360
39,0.3777719,0.4782865,43478
40,0.3818925,0.2426142,45781
41,0.3875302,-0.05197727,48151
42,0.3942093,-0.3180247,50562
43,0.4021184,-0.5912197,53048
44,0.4080543,-0.7646806,55509
45,0.4114958,-0.9351261,58038
46,0.4132189,-1.101325,60445
47,0.414829,-1.262027,62523
48,0.4163105,-1.358693,64239
49,0.4177173,-1.468404,65768
50,0.4181902,-1.547126,67238
51,0.4181873,-1.529407,68571
52,0.4187503,-1.466762,69890
53,0.4196425,-1.443773,71187
54,0.4206292,-1.534929,72253
55,0.4219215,-1.628789,73245
56,0.4230176,-1.679876,74297
57,0.4233414,-1.681617,75380
58,0.4238784,-1.682449,76556
59,0.4246181,-1.749071,77932
60,0.4251911,-1.834368,79420
61,0.4242875,-1.852624,80781
62,0.4232011,-1.785853,82013
63,0.422516,-1.703369,83286
64,0.4217651,-1.641275,84664
65,0.4196413,-1.641402,86142
66,0.4169745,-1.652762,87649
67,0.4154953,-1.668918,89247
68,0.4149022,-1.685963,90828
69,0.4149386,-1.693997,92360
70,0.4150567,-1.696431,93876
71,0.4149269,-1.723677,95568
72,0.4145536,-1.780196,97331
73,0.4145545,-1.839264,99174
74,0.4146323,-1.90191,101102
75,0.4144307,-1.916657,103163
76,0.4146073,-1.945339,105397
77,0.4135187,-1.942999,107444
78,0.4117678,-1.931817,109040
79,0.4105555,-1.945367,110048
80,0.4092337,-1.936179,110564
81,0.4080019,-1.926937,110984
82,0.4075798,-1.924961,111172
83,0.407578,-1.925637,111194
