radius,mean_patchiness,mean_phi,num_points
2,0.847846,-11.66963,104
3,0.6553175,-16.0507,573
4,0.5851982,-14.90966,1131
5,0.496316,-12.35391,1618
6,0.4284243,-9.039559,2293
7,0.3735199,-5.025682,3160
8,0.3509356,-1.528015,4296
9,0.3499512,0.5443702,5470
10,0.3565691,0.6182626,6732
11,0.3649223,0.2452873,7913
12,0.3758268,-0.204655,9191
13,0.3859972,-0.3201642,10656
14,0.3819132,-0.4454568,12160
15,0.3734024,-0.4558696,13602
16,0.3748465,-0.4929252,15297
17,0.3784872,-0.1202774,17469
18,0.3860854,0.2816475,20043
19,0.3984683,0.5086279,22879
20,0.4058084,0.6992116,25703
21,0.4084188,0.6890132,28519
22,0.4170518,1.113099,30939
23,0.4232864,1.466397,33637
24,0.4269483,1.864818,36774
25,0.4261498,2.059357,40047
26,0.4187102,2.314818,43711
27,0.4116046,2.165733,47042
28,0.406653,2.032463,50579
29,0.4017873,1.962032,55598
30,0.3974405,1.921785,60942
31,0.3960619,1.966251,65640
32,0.3970783,2.123686,70737
33,0.3975063,2.069917,76195
34,0.3992845,2.174928,80724
35,0.3985646,2.238099,85137
36,0.3993154,2.241554,89288
37,0.3969084,2.142264,93681
38,0.3946952,2.056342,98553
39,0.3973809,2.046396,104610
40,0.4004491,1.969332,111307
41,0.3997663,1.952452,117760
42,0.399395,1.916822,123722
43,0.3967212,1.820713,128748
44,0.3960668,1.779134,133359
45,0.3959213,1.848369,137784
46,0.3949256,1.96538,142075
47,0.3944581,2.050997,146167
48,0.3938365,2.034477,150002
49,0.3934922,2.027523,152932
50,0.3939552,2.046727,155796
51,0.3956319,2.017455,158621
52,0.3962789,2.005155,160774
53,0.3960232,2.038114,162309
54,0.3969897,2.060339,163576
55,0.3975432,2.081714,163968
56,0.3974048,2.081934,164053
