surface_dist,mean_patchiness,mean_phi,num_points
2,0.3551332,6.341833,168
3,0.384205,8.859544,390
4,0.3072827,5.009238,728
5,0.2309981,2.049091,1174
6,0.2015658,1.056026,1783
7,0.1811268,2.587834,2484
8,0.1631985,2.814723,3339
9,0.1700447,2.576966,4365
10,0.1932034,2.514359,5520
11,0.2165782,2.679075,6917
12,0.2361603,3.307401,8640
13,0.2625466,4.323034,10683
14,0.2890547,5.12996,12846
15,0.3148791,5.786235,14961
16,0.3348961,6.239998,16981
17,0.3543145,6.427062,19021
18,0.3751032,6.410263,21067
19,0.3947104,6.12482,23219
20,0.4092619,5.689817,25558
21,0.4173122,5.406871,27995
22,0.4188124,5.328782,30514
23,0.4197011,5.226775,33105
24,0.419589,5.160806,35679
25,0.4194386,4.944467,38505
26,0.415669,4.685304,41333
27,0.410717,4.516398,44116
28,0.4072981,4.401068,46676
29,0.405051,4.145582,49018
30,0.4032224,3.982908,51373
31,0.4040386,3.870717,53939
32,0.4071676,3.802512,56848
33,0.4083376,3.807901,59828
34,0.4101958,3.917317,62721
35,0.4111634,3.986923,65476
36,0.4112401,4.032911,67878
37,0.4111238,4.091527,70257
38,0.4112583,3.96209,72613
39,0.410775,3.753184,74883
40,0.4094599,3.593409,77179
41,0.4092165,3.42875,79276
42,0.4111809,3.295758,81150
43,0.4134271,3.213876,82937
44,0.4147063,3.081445,84542
45,0.4147703,3.000668,85763
46,0.4145558,2.88295,86815
47,0.4142146,2.818052,87774
48,0.4143182,2.797871,88608
49,0.4141025,2.789177,89437
50,0.4132761,2.738726,90258
51,0.412953,2.695075,90893
52,0.4126717,2.691499,91337
53,0.4130008,2.703129,91605
54,0.4134575,2.737309,91687
55,0.413498,2.740234,91694
