radius,mean_patchiness,mean_phi,num_points
2,0.1795883,-2.417603,55
3,0.218784,-0.7308035,287
4,0.2671718,-3.625411,537
5,0.2830165,-5.583116,958
6,0.2831806,-2.704888,1886
7,0.3174407,-1.885787,3088
8,0.3503944,-2.456761,4488
9,0.3633924,-1.748984,5871
10,0.3603362,-0.2109255,7215
11,0.3685203,1.055349,8684
12,0.3782708,1.559071,10129
13,0.3826678,1.989483,11729
14,0.3798359,2.029645,13215
15,0.3691207,1.904601,14958
16,0.3607486,1.792489,16835
17,0.3503166,1.578982,19078
18,0.3452866,1.392734,21248
19,0.3463863,1.397748,23761
20,0.3431197,1.419473,26673
21,0.3429364,1.303004,29948
22,0.3466488,1.425669,32835
23,0.347979,1.504666,36104
24,0.3447576,1.438449,39094
25,0.3433874,1.372845,42461
26,0.3411159,1.517075,45801
27,0.3379325,1.699818,49359
28,0.3353091,1.63214,53183
29,0.3322434,1.532501,57127
30,0.3298772,1.394743,60589
31,0.3256674,1.234508,64012
32,0.3218915,1.165053,67910
33,0.3193967,1.178904,71773
34,0.3178073,1.162205,75801
35,0.3164741,1.153188,79912
36,0.3172291,1.189346,83963
37,0.3190863,1.244009,88032
38,0.3214698,1.226397,91919
39,0.3247409,1.244812,95880
40,0.3291879,1.370805,99611
41,0.3335253,1.440303,103232
42,0.3390975,1.479878,106996
43,0.3411398,1.567909,110580
44,0.3436273,1.611722,113429
45,0.3472309,1.669735,116362
46,0.3508266,1.71337,119400
47,0.3556213,1.758482,122820
48,0.3594667,1.799857,126398
49,0.3610432,1.809384,129106
50,0.3621027,1.885543,131346
51,0.3632758,1.998024,133256
52,0.3652084,2.050879,135044
53,0.3678411,2.102417,136955
54,0.3694413,2.134026,138762
55,0.3710552,2.147533,140689
56,0.3725784,2.191439,142966
57,0.3727208,2.208711,144539
58,0.3730905,2.215351,145694
59,0.3730689,2.20645,146478
60,0.3727729,2.211996,147146
61,0.3721726,2.219093,147784
62,0.371565,2.225519,148383
63,0.3711821,2.222908,148919
64,0.3713411,2.195955,149266
65,0.3719757,2.148392,149574
66,0.3729837,2.102478,149897
67,0.3736751,2.074189,150081
68,0.3739334,2.054546,150147
