surface_dist,mean_patchiness,mean_phi,num_points
2,0.03975597,-1.165643,174
3,0.1230084,-3.882067,376
4,0.1572444,-4.188822,657
5,0.2243487,-2.876949,1026
6,0.2767389,-1.005081,1529
7,0.2931893,1.31406,2133
8,0.3111916,1.554003,2853
9,0.3333114,1.70368,3807
10,0.330969,1.672793,4930
11,0.3286337,2.162955,6179
12,0.3406844,2.016544,7385
13,0.3541584,2.145952,8638
14,0.3629014,3.039961,10052
15,0.3666366,3.644608,11590
16,0.3631797,4.144145,13340
17,0.3583059,4.08229,15240
18,0.3583746,4.204518,17242
19,0.3658383,4.686921,19418
20,0.3782452,5.040588,21816
21,0.3851143,5.40834,24316
22,0.3865997,5.4657,26934
23,0.385169,5.243912,29325
24,0.3851731,5.132888,31682
25,0.3900711,5.116223,34131
26,0.395491,5.029941,36541
27,0.3992831,4.678527,38702
28,0.4035363,4.260362,40785
29,0.406793,3.869583,42766
30,0.4064686,3.554346,44752
31,0.4041325,3.344486,46739
32,0.4029788,3.133378,48835
33,0.4033403,2.98354,51033
34,0.4054295,2.905815,53393
35,0.4089889,2.942179,55998
36,0.4124535,3.006048,58881
37,0.4159647,3.033784,61750
38,0.4202891,3.045603,64535
39,0.4222385,3.164532,67128
40,0.4215653,3.18895,69551
41,0.4184646,3.208673,71970
42,0.4162509,3.200994,74185
43,0.4145835,3.231407,76454
44,0.412611,3.289184,78866
45,0.4116946,3.350848,81139
46,0.4111426,3.426012,83306
47,0.4104918,3.420708,85544
48,0.4100002,3.416568,87769
49,0.4092216,3.413321,90033
50,0.4087642,3.414402,92290
51,0.4080113,3.375751,94509
52,0.4068151,3.325149,96720
53,0.4054782,3.255229,98819
54,0.4061339,3.150961,100822
55,0.4071862,3.078505,102690
56,0.4076605,2.946983,104462
57,0.4088268,2.832155,105991
58,0.4103049,2.780369,107388
59,0.4114319,2.753588,108744
60,0.4112226,2.700472,110067
61,0.4100148,2.664597,111391
62,0.4088885,2.646222,112607
63,0.407493,2.658203,113705
64,0.4056188,2.656538,114552
65,0.4039687,2.635622,115161
66,0.4034224,2.640969,115567
67,0.4034266,2.622677,115971
68,0.4036914,2.615318,116286
69,0.4036752,2.603804,116594
70,0.4032378,2.58602,116947
71,0.4026306,2.572748,117355
72,0.4020335,2.55345,117802
73,0.4017031,2.516289,118269
74,0.4018522,2.450096,118559
75,0.4019463,2.432754,118596
