patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
-65.57133,-11.43985,-8.621309,18.94096,44.3303
-65.57133,-11.43985,-8.621309,18.94096,41.83858
-65.57133,-11.43985,-8.621309,18.94096,62.22784
-65.57133,-11.43985,-8.621309,18.94096,63.83473
-65.57133,-11.43985,-8.621309,18.94096,61.98671
-65.57133,-11.43985,-8.621309,18.94096,61.1734
-65.57133,-11.43985,-8.621309,18.94096,66.41967
-65.57133,-11.43985,-8.621309,18.94096,67.60858
-65.57133,-11.43985,-8.621309,18.94096,29.7181
-65.57133,-11.43985,-8.621309,18.94096,67.49304
-65.57133,-11.43985,-8.621309,18.94096,43.10759
-65.57133,-11.43985,-8.621309,18.94096,73.26571
-65.57133,-11.43985,-8.621309,18.94096,53.37763
-65.57133,-11.43985,-8.621309,18.94096,60.63535
-65.57133,-11.43985,-8.621309,18.94096,10.55648
-65.57133,-11.43985,-8.621309,18.94096,75.24187
-65.57133,-11.43985,-8.621309,18.94096,27.12939
-65.57133,-11.43985,-8.621309,18.94096,28.53408
-65.57133,-11.43985,-8.621309,18.94096,60.72278
-65.57133,-11.43985,-8.621309,18.94096,46.25206
-65.57133,-11.43985,-8.621309,18.94096,68.27115
-65.57133,-11.43985,-8.621309,18.94096,65.21891
-65.57133,-11.43985,-8.621309,18.94096,45.16636
-65.57133,-11.43985,-8.621309,18.94096,66.15131
-65.57133,-11.43985,-8.621309,18.94096,60.89474
-65.57133,-11.43985,-8.621309,18.94096,45.63495
-65.57133,-11.43985,-8.621309,18.94096,10.27822
-65.57133,-11.43985,-8.621309,18.94096,74.0391
-65.57133,-11.43985,-8.621309,18.94096,47.82612
-65.57133,-11.43985,-8.621309,18.94096,61.75773
-65.57133,-11.43985,-8.621309,18.94096,50.92722
-65.57133,-11.43985,-8.621309,18.94096,66.9881
-65.57133,-11.43985,-8.621309,18.94096,12.92624
-65.57133,-11.43985,-8.621309,18.94096,34.87017
-65.57133,-11.43985,-8.621309,18.94096,73.58425
-65.57133,-11.43985,-8.621309,18.94096,4.717023
-65.57133,-11.43985,-8.621309,18.94096,41.0777
-65.57133,-11.43985,-8.621309,18.94096,72.26625
-65.57133,-11.43985,-8.621309,18.94096,24.74894
-65.57133,-11.43985,-8.621309,18.94096,60.85632
-65.57133,-11.43985,-8.621309,18.94096,5.823761
-65.57133,-11.43985,-8.621309,18.94096,10.6704
-65.57133,-11.43985,-8.621309,18.94096,70.54053
-65.57133,-11.43985,-8.621309,18.94096,37.97449
-65.57133,-11.43985,-8.621309,18.94096,35.85935
-65.57133,-11.43985,-8.621309,18.94096,3.190327
-65.57133,-11.43985,-8.621309,18.94096,28.86824
-65.57133,-11.43985,-8.621309,18.94096,66.66051
-65.57133,-11.43985,-8.621309,18.94096,11.55443
-65.57133,-11.43985,-8.621309,18.94096,9.64023
-65.57133,-11.43985,-8.621309,18.94096,13.87717
-65.57133,-11.43985,-8.621309,18.94096,61.0822
-65.57133,-11.43985,-8.621309,18.94096,68.92094
-65.57133,-11.43985,-8.621309,18.94096,66.92275
-65.57133,-11.43985,-8.621309,18.94096,41.80653
-65.57133,-11.43985,-8.621309,18.94096,38.6441
-65.57133,-11.43985,-8.621309,18.94096,73.91848
-65.57133,-11.43985,-8.621309,18.94096,22.03388
-65.57133,-11.43985,-8.621309,18.94096,35.45623
-65.57133,-11.43985,-8.621309,18.94096,67.76728
-65.57133,-11.43985,-8.621309,18.94096,36.04486
-65.57133,-11.43985,-8.621309,18.94096,65.06153
-65.57133,-11.43985,-8.621309,18.94096,49.46235
-65.57133,-11.43985,-8.621309,18.94096,14.64987
-65.57133,-11.43985,-8.621309,18.94096,24.55811
-65.57133,-11.43985,-8.621309,18.94096,62.69347
-65.57133,-11.43985,-8.621309,18.94096,67.5343
-65.57133,-11.43985,-8.621309,18.94096,42.74047
-65.57133,-11.43985,-8.621309,18.94096,32.81502
-65.57133,-11.43985,-8.621309,18.94096,4.498518
-65.57133,-11.43985,-8.621309,18.94096,27.83729
-65.57133,-11.43985,-8.621309,18.94096,30.70296
-65.57133,-11.43985,-8.621309,18.94096,60.11316
-65.57133,-11.43985,-8.621309,18.94096,64.18354
-65.57133,-11.43985,-8.621309,18.94096,70.17375
-65.57133,-11.43985,-8.621309,18.94096,61.58424
-65.57133,-11.43985,-8.621309,18.94096,67.03281
-65.57133,-11.43985,-8.621309,18.94096,60.36318
-65.57133,-11.43985,-8.621309,18.94096,30.7229
-65.57133,-11.43985,-8.621309,18.94096,43.73044
-65.57133,-11.43985,-8.621309,18.94096,42.68999
-65.57133,-11.43985,-8.621309,18.94096,35.9899
-65.57133,-11.43985,-8.621309,18.94096,68.76954
-65.57133,-11.43985,-8.621309,18.94096,69.52641
-65.57133,-11.43985,-8.621309,18.94096,30.19373
-65.57133,-11.43985,-8.621309,18.94096,7.22542
-65.57133,-11.43985,-8.621309,18.94096,68.82598
-65.57133,-11.43985,-8.621309,18.94096,8.58726
-65.57133,-11.43985,-8.621309,18.94096,43.10223
-65.57133,-11.43985,-8.621309,18.94096,68.47007
