radius,mean_patchiness,mean_phi,num_points
2,0.9732681,31.12681,95
3,0.8121874,33.15305,459
4,0.6550472,20.61963,833
5,0.5569595,14.89108,1346
6,0.5056329,11.28548,2100
7,0.4725613,9.367817,3065
8,0.4788802,8.133487,4183
9,0.5057195,8.885737,5470
10,0.4931698,8.888862,6755
11,0.4793811,8.419896,8393
12,0.4604683,7.261436,10802
13,0.4373271,5.953906,13937
14,0.418625,5.27463,16691
15,0.4081537,4.855058,18944
16,0.4088923,4.169655,21224
17,0.4156215,3.376488,23714
18,0.4210123,2.790689,26404
19,0.424906,2.425789,29052
20,0.4221428,2.460946,31738
21,0.4208329,2.640214,34784
22,0.4249792,2.842241,38115
23,0.4297047,2.921309,41835
24,0.4302041,3.186679,45939
25,0.4379351,3.687299,49548
26,0.4466856,4.256631,53638
27,0.4507556,4.427072,58063
28,0.4535409,4.389659,61602
29,0.4561313,4.465728,64811
30,0.4594665,4.444585,67739
31,0.4637325,4.432107,70857
32,0.4642401,4.516561,74001
33,0.4596947,4.468365,76838
34,0.454803,4.273403,79869
35,0.4509082,4.226704,82575
36,0.4484003,4.223319,85013
37,0.4461591,4.238131,87454
38,0.4463236,4.272738,89895
39,0.4468995,4.335902,92119
40,0.4446729,4.392351,94316
41,0.4413017,4.385328,96691
42,0.4376875,4.349285,98748
43,0.436291,4.287729,100249
44,0.4353615,4.212415,102124
45,0.4362411,4.152821,103716
46,0.4378537,4.075573,104867
47,0.4391938,3.939123,105676
48,0.4394281,3.923274,105733
