patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
-32.21341,34.3444,9.097545,14.71939,24.48402
-32.21341,34.3444,9.097545,14.71939,24.81761
-32.21341,34.3444,9.097545,14.71939,17.40338
-32.21341,34.3444,9.097545,14.71939,47.85911
-32.21341,34.3444,9.097545,14.71939,51.82336
-32.21341,34.3444,9.097545,14.71939,51.44722
-32.21341,34.3444,9.097545,14.71939,49.52631
-32.21341,34.3444,9.097545,14.71939,48.02136
-32.21341,34.3444,9.097545,14.71939,21.28792
-32.21341,34.3444,9.097545,14.71939,38.89303
-32.21341,34.3444,9.097545,14.71939,49.03034
-32.21341,34.3444,9.097545,14.71939,51.68732
-32.21341,34.3444,9.097545,14.71939,34.71575
-32.21341,34.3444,9.097545,14.71939,40.08757
-32.21341,34.3444,9.097545,14.71939,50.19344
-32.21341,34.3444,9.097545,14.71939,33.19881
-32.21341,34.3444,9.097545,14.71939,33.86998
-32.21341,34.3444,9.097545,14.71939,28.8335
-32.21341,34.3444,9.097545,14.71939,19.86648
-32.21341,34.3444,9.097545,14.71939,39.17089
-32.21341,34.3444,9.097545,14.71939,39.36051
-32.21341,34.3444,9.097545,14.71939,2.27376
-32.21341,34.3444,9.097545,14.71939,18.91685
-32.21341,34.3444,9.097545,14.71939,8.782444
-32.21341,34.3444,9.097545,14.71939,32.2941
-32.21341,34.3444,9.097545,14.71939,22.00208
-32.21341,34.3444,9.097545,14.71939,47.15068
-32.21341,34.3444,9.097545,14.71939,49.3981
-32.21341,34.3444,9.097545,14.71939,47.84021
-32.21341,34.3444,9.097545,14.71939,10.89333
-32.21341,34.3444,9.097545,14.71939,47.68526
-32.21341,34.3444,9.097545,14.71939,31.3492
-32.21341,34.3444,9.097545,14.71939,21.32235
-32.21341,34.3444,9.097545,14.71939,24.09944
-32.21341,34.3444,9.097545,14.71939,37.72713
-32.21341,34.3444,9.097545,14.71939,29.04404
-32.21341,34.3444,9.097545,14.71939,24.52654
-32.21341,34.3444,9.097545,14.71939,42.40031
-32.21341,34.3444,9.097545,14.71939,4.526684
-32.21341,34.3444,9.097545,14.71939,46.67419
-32.21341,34.3444,9.097545,14.71939,39.97464
-32.21341,34.3444,9.097545,14.71939,19.62939
-32.21341,34.3444,9.097545,14.71939,40.26526
-32.21341,34.3444,9.097545,14.71939,26.98077
-32.21341,34.3444,9.097545,14.71939,50.46482
-32.21341,34.3444,9.097545,14.71939,39.08529
-32.21341,34.3444,9.097545,14.71939,19.27095
-32.21341,34.3444,9.097545,14.71939,38.27975
-32.21341,34.3444,9.097545,14.71939,38.15162
-32.21341,34.3444,9.097545,14.71939,38.2336
-32.21341,34.3444,9.097545,14.71939,47.17805
-32.21341,34.3444,9.097545,14.71939,26.09115
-32.21341,34.3444,9.097545,14.71939,27.17514
-32.21341,34.3444,9.097545,14.71939,40.15915
-32.21341,34.3444,9.097545,14.71939,45.41733
-32.21341,34.3444,9.097545,14.71939,19.52024
-32.21341,34.3444,9.097545,14.71939,52.12373
-32.21341,34.3444,9.097545,14.71939,6.701337
-32.21341,34.3444,9.097545,14.71939,8.619972
-32.21341,34.3444,9.097545,14.71939,48.39624
-32.21341,34.3444,9.097545,14.71939,42.39776
-32.21341,34.3444,9.097545,14.71939,10.27795
-32.21341,34.3444,9.097545,14.71939,50.39505
-32.21341,34.3444,9.097545,14.71939,10.82805
-32.21341,34.3444,9.097545,14.71939,15.99603
-32.21341,34.3444,9.097545,14.71939,19.31639
-32.21341,34.3444,9.097545,14.71939,43.2739
-32.21341,34.3444,9.097545,14.71939,27.8933
-32.21341,34.3444,9.097545,14.71939,37.55663
-32.21341,34.3444,9.097545,14.71939,47.61209
-32.21341,34.3444,9.097545,14.71939,4.978683
-32.21341,34.3444,9.097545,14.71939,35.81166
-32.21341,34.3444,9.097545,14.71939,27.20908
-32.21341,34.3444,9.097545,14.71939,16.25215
-32.21341,34.3444,9.097545,14.71939,15.56438
-32.21341,34.3444,9.097545,14.71939,50.04527
-32.21341,34.3444,9.097545,14.71939,47.46534
-32.21341,34.3444,9.097545,14.71939,40.05464
-32.21341,34.3444,9.097545,14.71939,20.07835
-32.21341,34.3444,9.097545,14.71939,34.78687
-32.21341,34.3444,9.097545,14.71939,48.74471
-32.21341,34.3444,9.097545,14.71939,50.31805
-32.21341,34.3444,9.097545,14.71939,47.90569
-32.21341,34.3444,9.097545,14.71939,32.37306
-32.21341,34.3444,9.097545,14.71939,49.06785
-32.21341,34.3444,9.097545,14.71939,45.50006
-32.21341,34.3444,9.097545,14.71939,12.85295
-32.21341,34.3444,9.097545,14.71939,20.32863
-32.21341,34.3444,9.097545,14.71939,41.9757
-32.21341,34.3444,9.097545,14.71939,8.493252
-32.21341,34.3444,9.097545,14.71939,39.56925
-32.21341,34.3444,9.097545,14.71939,51.93611
-32.21341,34.3444,9.097545,14.71939,46.40206
-32.21341,34.3444,9.097545,14.71939,50.64114
-32.21341,34.3444,9.097545,14.71939,33.07872
-32.21341,34.3444,9.097545,14.71939,50.06275
-32.21341,34.3444,9.097545,14.71939,40.82636
-32.21341,34.3444,9.097545,14.71939,38.04041
-32.21341,34.3444,9.097545,14.71939,20.43705
-32.21341,34.3444,9.097545,14.71939,51.1905
-32.21341,34.3444,9.097545,14.71939,41.16323
-32.21341,34.3444,9.097545,14.71939,47.38357
-32.21341,34.3444,9.097545,14.71939,8.059817
-32.21341,34.3444,9.097545,14.71939,42.72898
-32.21341,34.3444,9.097545,14.71939,42.23993
-32.21341,34.3444,9.097545,14.71939,46.67879
-32.21341,34.3444,9.097545,14.71939,11.34384
-32.21341,34.3444,9.097545,14.71939,9.303829
-32.21341,34.3444,9.097545,14.71939,23.22145
-32.21341,34.3444,9.097545,14.71939,45.88551
-32.21341,34.3444,9.097545,14.71939,1.455966
-32.21341,34.3444,9.097545,14.71939,39.77035
-32.21341,34.3444,9.097545,14.71939,27.23125
-32.21341,34.3444,9.097545,14.71939,27.90354
-32.21341,34.3444,9.097545,14.71939,32.16838
-32.21341,34.3444,9.097545,14.71939,42.07176
-32.21341,34.3444,9.097545,14.71939,47.97043
-32.21341,34.3444,9.097545,14.71939,38.37152
-32.21341,34.3444,9.097545,14.71939,48.70921
-32.21341,34.3444,9.097545,14.71939,15.92106
-32.21341,34.3444,9.097545,14.71939,46.51424
-32.21341,34.3444,9.097545,14.71939,48.68649
-32.21341,34.3444,9.097545,14.71939,43.022
-32.21341,34.3444,9.097545,14.71939,30.4018
-32.21341,34.3444,9.097545,14.71939,4.068077
-32.21341,34.3444,9.097545,14.71939,29.23543
-32.21341,34.3444,9.097545,14.71939,19.81233
-32.21341,34.3444,9.097545,14.71939,37.37098
-32.21341,34.3444,9.097545,14.71939,34.95242
-32.21341,34.3444,9.097545,14.71939,22.48525
-32.21341,34.3444,9.097545,14.71939,44.15308
-32.21341,34.3444,9.097545,14.71939,9.854951
-32.21341,34.3444,9.097545,14.71939,35.61207
-32.21341,34.3444,9.097545,14.71939,45.50558
-32.21341,34.3444,9.097545,14.71939,40.44217
-32.21341,34.3444,9.097545,14.71939,34.58283
-32.21341,34.3444,9.097545,14.71939,50.36827
-32.21341,34.3444,9.097545,14.71939,17.45797
-32.21341,34.3444,9.097545,14.71939,2.791601
-32.21341,34.3444,9.097545,14.71939,16.47781
-32.21341,34.3444,9.097545,14.71939,30.84449
-32.21341,34.3444,9.097545,14.71939,52.04099
-32.21341,34.3444,9.097545,14.71939,40.40673
-32.21341,34.3444,9.097545,14.71939,43.55635
-32.21341,34.3444,9.097545,14.71939,22.31882
-32.21341,34.3444,9.097545,14.71939,23.53997
-32.21341,34.3444,9.097545,14.71939,48.42468
-32.21341,34.3444,9.097545,14.71939,45.45456
-32.21341,34.3444,9.097545,14.71939,17.96043
-32.21341,34.3444,9.097545,14.71939,43.84727
-32.21341,34.3444,9.097545,14.71939,16.26631
-32.21341,34.3444,9.097545,14.71939,17.98361
-32.21341,34.3444,9.097545,14.71939,37.76026
-32.21341,34.3444,9.097545,14.71939,36.704
-32.21341,34.3444,9.097545,14.71939,39.03688
-32.21341,34.3444,9.097545,14.71939,48.73294
-32.21341,34.3444,9.097545,14.71939,51.20011
-32.21341,34.3444,9.097545,14.71939,54.99694
-32.21341,34.3444,9.097545,14.71939,29.97426
-32.21341,34.3444,9.097545,14.71939,50.77382
-32.21341,34.3444,9.097545,14.71939,32.63439
-32.21341,34.3444,9.097545,14.71939,50.58896
-32.21341,34.3444,9.097545,14.71939,36.00507
-32.21341,34.3444,9.097545,14.71939,18.49554
-32.21341,34.3444,9.097545,14.71939,41.00091
-32.21341,34.3444,9.097545,14.71939,53.72816
-32.21341,34.3444,9.097545,14.71939,46.22083
-32.21341,34.3444,9.097545,14.71939,40.41678
-32.21341,34.3444,9.097545,14.71939,35.86697
-32.21341,34.3444,9.097545,14.71939,31.60706
-32.21341,34.3444,9.097545,14.71939,31.00597
-32.21341,34.3444,9.097545,14.71939,35.11975
-32.21341,34.3444,9.097545,14.71939,35.78744
-32.21341,34.3444,9.097545,14.71939,26.81528
-32.21341,34.3444,9.097545,14.71939,27.13843
-32.21341,34.3444,9.097545,14.71939,46.75432
-32.21341,34.3444,9.097545,14.71939,48.88343
-32.21341,34.3444,9.097545,14.71939,52.42941
-32.21341,34.3444,9.097545,14.71939,22.9649
-32.21341,34.3444,9.097545,14.71939,50.8504
-32.21341,34.3444,9.097545,14.71939,26.96199
-32.21341,34.3444,9.097545,14.71939,41.81577
