surface_dist,mean_patchiness,mean_phi,num_points
2,0.2772829,10.33,185
3,0.3775717,6.380529,409
4,0.4275078,4.752003,731
5,0.4556496,5.744509,1181
6,0.453852,6.132724,1791
7,0.4525774,6.155632,2570
8,0.4546594,5.500451,3543
9,0.4492385,5.310688,4743
10,0.4533879,5.098977,6159
11,0.4566573,4.760011,7713
12,0.4608683,4.756669,9522
13,0.4634659,5.336266,11457
14,0.4692123,5.957666,13508
15,0.4695118,5.890735,15911
16,0.4635885,5.523107,18758
17,0.4600505,5.253934,22124
18,0.4617864,5.305338,25861
19,0.4656819,5.470299,29872
20,0.4714889,5.558255,34159
21,0.4757149,5.63883,38708
22,0.4770307,5.886615,43441
23,0.477779,6.163141,48299
24,0.4749303,6.263634,53336
25,0.4734175,6.059699,58534
26,0.4729704,5.790111,63732
27,0.4764561,5.548142,68879
28,0.4811037,5.440049,74049
29,0.485498,5.291137,79355
30,0.4888222,5.19124,84533
31,0.490174,5.092523,89337
32,0.4898845,4.881707,93759
33,0.4893435,4.654655,98057
34,0.4886514,4.457189,102416
35,0.4874343,4.210265,106744
36,0.4853325,3.953154,111092
37,0.4830022,3.740494,115224
38,0.4805979,3.579364,119154
39,0.4797187,3.50061,122549
40,0.4794223,3.400067,125539
41,0.4797139,3.216146,128317
42,0.4794646,3.014054,130888
43,0.4788349,2.863096,133219
44,0.4779684,2.765167,135376
45,0.4763261,2.677454,137458
46,0.4744476,2.630731,139247
47,0.4730007,2.645344,140838
48,0.4718894,2.655972,142325
49,0.470721,2.675049,143630
50,0.4691,2.674167,144793
51,0.4670519,2.665339,145838
52,0.465051,2.647022,146799
53,0.4635312,2.636497,147780
54,0.4625953,2.628317,148511
55,0.4620844,2.614161,149019
56,0.4615788,2.602077,149367
57,0.4614038,2.599185,149462
