surface_dist,mean_patchiness,mean_phi,num_points
2,0.9199278,-72.18171,162
3,0.8590255,-63.04741,368
4,0.810097,-40.82801,695
5,0.7586149,-27.80051,1077
6,0.680602,-20.29997,1555
7,0.5986667,-15.86906,2110
8,0.527756,-12.50107,2829
9,0.4886409,-9.930225,3633
10,0.4627917,-8.109097,4466
11,0.4473335,-6.581687,5380
12,0.4419384,-4.654344,6383
13,0.4408259,-3.149109,7421
14,0.4347915,-2.401817,8513
15,0.4283345,-1.968639,9704
16,0.4251522,-1.797493,11070
17,0.4248991,-1.847673,12565
18,0.426399,-1.84884,14055
19,0.4267273,-1.979736,15565
20,0.4252879,-1.968047,17149
21,0.4234977,-1.706895,18845
22,0.4236282,-1.557982,20524
23,0.4246759,-1.412356,22329
24,0.425204,-1.144522,24268
25,0.4242392,-0.9627358,26282
26,0.4205176,-0.8451301,28222
27,0.420186,-0.9108365,30187
28,0.4254952,-1.071736,32140
29,0.4307045,-1.256786,34028
30,0.4335677,-1.344616,35928
31,0.4356838,-1.27479,37820
32,0.4356142,-1.009769,39672
33,0.4358062,-0.7343605,41611
34,0.4376734,-0.3434405,43642
35,0.4399643,0.03285324,45709
36,0.4463417,0.3398249,47797
37,0.4570714,0.6723343,49913
38,0.4669215,1.003143,51998
39,0.472323,1.189603,53970
40,0.474017,1.267942,55958
41,0.4739331,1.303864,57900
42,0.472725,1.336832,59762
43,0.4718362,1.333801,61517
44,0.4702855,1.316274,63210
45,0.4686457,1.25942,64917
46,0.4667191,1.207538,66597
47,0.4650213,1.163465,68274
48,0.4632994,1.172915,69978
49,0.4634276,1.261238,71693
50,0.4656601,1.326689,73383
51,0.4687712,1.384627,75161
52,0.4704345,1.359973,76728
53,0.4701672,1.347812,77815
54,0.4689354,1.354346,78582
55,0.4671219,1.372617,79242
56,0.4660979,1.377517,79822
57,0.466043,1.358815,80266
58,0.4659462,1.349809,80426
59,0.465829,1.349505,80453
