patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
278.0589,43.52744,27.14371,16.6162,45.15726
278.0589,43.52744,27.14371,16.6162,72.90772
278.0589,43.52744,27.14371,16.6162,48.98301
278.0589,43.52744,27.14371,16.6162,56.04156
278.0589,43.52744,27.14371,16.6162,51.06282
278.0589,43.52744,27.14371,16.6162,13.1684
278.0589,43.52744,27.14371,16.6162,40.80644
278.0589,43.52744,27.14371,16.6162,43.51565
278.0589,43.52744,27.14371,16.6162,25.1859
278.0589,43.52744,27.14371,16.6162,53.00903
278.0589,43.52744,27.14371,16.6162,57.68889
278.0589,43.52744,27.14371,16.6162,18.29838
278.0589,43.52744,27.14371,16.6162,58.36798
278.0589,43.52744,27.14371,16.6162,60.89468
278.0589,43.52744,27.14371,16.6162,43.9809
278.0589,43.52744,27.14371,16.6162,55.82561
278.0589,43.52744,27.14371,16.6162,48.49716
278.0589,43.52744,27.14371,16.6162,57.63115
278.0589,43.52744,27.14371,16.6162,43.56043
278.0589,43.52744,27.14371,16.6162,44.5201
278.0589,43.52744,27.14371,16.6162,73.90679
278.0589,43.52744,27.14371,16.6162,55.00277
278.0589,43.52744,27.14371,16.6162,53.068
278.0589,43.52744,27.14371,16.6162,75.1155
278.0589,43.52744,27.14371,16.6162,60.15666
278.0589,43.52744,27.14371,16.6162,56.05728
278.0589,43.52744,27.14371,16.6162,39.81301
278.0589,43.52744,27.14371,16.6162,25.47041
278.0589,43.52744,27.14371,16.6162,91.25177
278.0589,43.52744,27.14371,16.6162,53.22377
278.0589,43.52744,27.14371,16.6162,78.2389
278.0589,43.52744,27.14371,16.6162,35.48555
278.0589,43.52744,27.14371,16.6162,36.10351
278.0589,43.52744,27.14371,16.6162,40.98116
278.0589,43.52744,27.14371,16.6162,63.60254
278.0589,43.52744,27.14371,16.6162,43.49459
278.0589,43.52744,27.14371,16.6162,70.42501
278.0589,43.52744,27.14371,16.6162,46.3049
278.0589,43.52744,27.14371,16.6162,32.40862
278.0589,43.52744,27.14371,16.6162,37.09301
278.0589,43.52744,27.14371,16.6162,52.0213
278.0589,43.52744,27.14371,16.6162,67.19036
278.0589,43.52744,27.14371,16.6162,50.3475
278.0589,43.52744,27.14371,16.6162,55.16592
278.0589,43.52744,27.14371,16.6162,39.76825
278.0589,43.52744,27.14371,16.6162,43.83571
278.0589,43.52744,27.14371,16.6162,28.68934
278.0589,43.52744,27.14371,16.6162,43.81686
278.0589,43.52744,27.14371,16.6162,78.23569
278.0589,43.52744,27.14371,16.6162,52.72995
278.0589,43.52744,27.14371,16.6162,77.06725
278.0589,43.52744,27.14371,16.6162,73.66051
278.0589,43.52744,27.14371,16.6162,51.5255
278.0589,43.52744,27.14371,16.6162,50.53214
278.0589,43.52744,27.14371,16.6162,69.16113
278.0589,43.52744,27.14371,16.6162,52.08612
278.0589,43.52744,27.14371,16.6162,83.8091
278.0589,43.52744,27.14371,16.6162,53.87132
278.0589,43.52744,27.14371,16.6162,61.76152
278.0589,43.52744,27.14371,16.6162,53.75668
278.0589,43.52744,27.14371,16.6162,45.15827
278.0589,43.52744,27.14371,16.6162,81.20943
278.0589,43.52744,27.14371,16.6162,63.76498
278.0589,43.52744,27.14371,16.6162,67.8187
278.0589,43.52744,27.14371,16.6162,78.17548
278.0589,43.52744,27.14371,16.6162,21.62804
278.0589,43.52744,27.14371,16.6162,66.25104
278.0589,43.52744,27.14371,16.6162,19.61004
278.0589,43.52744,27.14371,16.6162,43.15101
278.0589,43.52744,27.14371,16.6162,92.41216
278.0589,43.52744,27.14371,16.6162,75.84181
278.0589,43.52744,27.14371,16.6162,67.56542
278.0589,43.52744,27.14371,16.6162,40.74295
278.0589,43.52744,27.14371,16.6162,50.95818
278.0589,43.52744,27.14371,16.6162,38.19718
278.0589,43.52744,27.14371,16.6162,92.54478
278.0589,43.52744,27.14371,16.6162,51.38135
278.0589,43.52744,27.14371,16.6162,33.52044
278.0589,43.52744,27.14371,16.6162,71.07404
278.0589,43.52744,27.14371,16.6162,89.20173
278.0589,43.52744,27.14371,16.6162,23.68169
278.0589,43.52744,27.14371,16.6162,43.28116
278.0589,43.52744,27.14371,16.6162,69.02789
278.0589,43.52744,27.14371,16.6162,29.1903
278.0589,43.52744,27.14371,16.6162,34.41263
278.0589,43.52744,27.14371,16.6162,39.37622
278.0589,43.52744,27.14371,16.6162,93.83648
278.0589,43.52744,27.14371,16.6162,55.59395
278.0589,43.52744,27.14371,16.6162,44.91157
278.0589,43.52744,27.14371,16.6162,58.63846
278.0589,43.52744,27.14371,16.6162,52.21989
278.0589,43.52744,27.14371,16.6162,24.24544
