radius,mean_patchiness,mean_phi,num_points
2,0.9006188,27.16504,96
3,0.7327387,28.49059,582
4,0.4898545,15.91706,1130
5,0.3875746,11.28487,1572
6,0.3315124,8.112915,2101
7,0.2963788,5.553304,2781
8,0.2751074,4.936642,3645
9,0.2709343,4.027206,4834
10,0.2871064,3.343083,6198
11,0.3099045,2.708982,7425
12,0.3270701,2.335247,8691
13,0.3326107,2.481668,10247
14,0.3368198,2.481853,11931
15,0.346201,2.426446,13913
16,0.3482571,2.313138,16305
17,0.3570943,2.268543,18780
18,0.3699824,2.12542,21219
19,0.3830504,2.05877,23735
20,0.3909708,1.875384,26527
21,0.3932803,1.707658,28816
22,0.3978814,1.465376,31302
23,0.4024009,1.092439,33991
24,0.4093738,0.9686981,36863
25,0.4206982,1.104072,40128
26,0.4273318,1.036662,43480
27,0.4308665,0.840568,46854
28,0.4325984,0.8692203,50225
29,0.4352877,1.137476,53682
30,0.4407527,1.262271,56738
31,0.4470525,1.358315,59799
32,0.4531872,1.505579,63180
33,0.4549618,1.523206,66215
34,0.4542942,1.556936,69104
35,0.4549881,1.679345,72132
36,0.4553455,1.793535,74881
37,0.4539638,1.938943,77442
38,0.4519784,1.986151,79979
39,0.4521028,2.01419,82922
40,0.4530268,1.976899,85944
41,0.4533842,2.002766,89487
42,0.4532844,1.959486,93279
43,0.4531593,1.901345,97373
44,0.452263,1.877805,102083
45,0.4510315,1.947003,106624
46,0.4469687,2.010825,111646
47,0.4441865,2.102493,115783
48,0.4407722,2.098897,119700
49,0.4389478,2.132102,123394
50,0.4367369,2.245265,127907
51,0.4339694,2.252694,132029
52,0.4326007,2.195544,135614
53,0.4316563,2.15473,139188
54,0.4306604,2.221011,142282
55,0.4295891,2.379484,145815
56,0.4284204,2.533488,148722
57,0.428055,2.56785,151206
58,0.4282763,2.609142,153087
59,0.428636,2.653667,154744
60,0.4295665,2.719798,156615
61,0.4302588,2.753541,157865
62,0.431157,2.787393,159109
63,0.4324353,2.806822,160653
64,0.4327352,2.815231,161870
65,0.4330055,2.829441,162636
66,0.4336936,2.85019,163263
67,0.4339596,2.858847,163845
68,0.4339665,2.852381,164375
69,0.4344196,2.848697,164844
70,0.4345022,2.843885,165253
71,0.4345237,2.844639,165694
72,0.4348783,2.848037,165983
