surface_dist,mean_patchiness,mean_phi,num_points
2,0.5036666,-9.116706,173
3,0.4828973,-6.113257,434
4,0.4763312,-2.607855,831
5,0.4781441,0.3036147,1388
6,0.5080099,2.981692,2112
7,0.5341471,3.847826,2971
8,0.5497108,2.671357,3802
9,0.5619147,1.420186,4785
10,0.575294,-0.3362418,5981
11,0.5874076,-1.652155,7319
12,0.5776973,-2.309707,8740
13,0.5698875,-3.010257,10314
14,0.5606638,-3.351834,12037
15,0.5509449,-3.755873,13855
16,0.5405111,-3.959961,15652
17,0.5347419,-4.0678,17434
18,0.5319043,-4.070431,19315
19,0.5313052,-3.87577,21366
20,0.5339304,-3.485589,23500
21,0.5323869,-3.186729,25745
22,0.5328395,-2.880369,28200
23,0.5271571,-2.600298,30660
24,0.5147382,-2.362743,33175
25,0.5040988,-2.148669,35584
26,0.4960248,-2.14408,38015
27,0.4895414,-2.14828,40472
28,0.4838254,-2.215983,42940
29,0.4765545,-2.144582,45671
30,0.469569,-1.961378,48544
31,0.4621522,-1.844914,51399
32,0.4578991,-1.733045,54358
33,0.4533016,-1.667764,57499
34,0.446817,-1.639811,60811
35,0.4403798,-1.553971,64241
36,0.43626,-1.396776,68044
37,0.4335906,-1.191676,72135
38,0.431276,-1.09714,76175
39,0.4294104,-1.004897,80132
40,0.4283773,-0.8236402,84215
41,0.4246722,-0.6549324,88204
42,0.4211692,-0.4896937,92204
43,0.4190423,-0.2859944,96450
44,0.4193825,-0.04586061,101100
45,0.4221999,0.2281516,106130
46,0.4246175,0.5236423,111170
47,0.4248959,0.6875395,115672
48,0.4245164,0.8545747,119890
49,0.4254018,1.044301,123532
50,0.4283808,1.332348,127071
51,0.4304282,1.570294,130373
52,0.432213,1.756357,133571
53,0.4341434,1.951541,136645
54,0.4359338,2.176372,139603
55,0.4368794,2.362872,142265
56,0.4361731,2.432056,144576
57,0.4362225,2.473164,146705
58,0.4368199,2.559932,148636
59,0.4373133,2.653467,150385
60,0.437373,2.723909,152003
61,0.4374145,2.764603,153360
62,0.4377185,2.780428,154509
63,0.4382247,2.815119,155400
64,0.4378773,2.822184,156077
65,0.4372801,2.813247,156631
66,0.4366675,2.805931,157065
67,0.4362178,2.80404,157287
68,0.4360275,2.80429,157383
69,0.4360144,2.804431,157391
