patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
-36.79737,2.537431,-40.2448,-14.01248,53.55774
-36.79737,2.537431,-40.2448,-14.01248,106.564
-36.79737,2.537431,-40.2448,-14.01248,70.16431
-36.79737,2.537431,-40.2448,-14.01248,81.79901
-36.79737,2.537431,-40.2448,-14.01248,56.94341
-36.79737,2.537431,-40.2448,-14.01248,57.85068
-36.79737,2.537431,-40.2448,-14.01248,69.84142
-36.79737,2.537431,-40.2448,-14.01248,41.10976
-36.79737,2.537431,-40.2448,-14.01248,39.25475
-36.79737,2.537431,-40.2448,-14.01248,63.06102
-36.79737,2.537431,-40.2448,-14.01248,103.8163
-36.79737,2.537431,-40.2448,-14.01248,49.14117
-36.79737,2.537431,-40.2448,-14.01248,47.67669
-36.79737,2.537431,-40.2448,-14.01248,49.41363
-36.79737,2.537431,-40.2448,-14.01248,90.92272
-36.79737,2.537431,-40.2448,-14.01248,50.84512
-36.79737,2.537431,-40.2448,-14.01248,84.02952
-36.79737,2.537431,-40.2448,-14.01248,81.62805
-36.79737,2.537431,-40.2448,-14.01248,52.12782
-36.79737,2.537431,-40.2448,-14.01248,103.7762
-36.79737,2.537431,-40.2448,-14.01248,57.18382
-36.79737,2.537431,-40.2448,-14.01248,68.19189
-36.79737,2.537431,-40.2448,-14.01248,37.50394
-36.79737,2.537431,-40.2448,-14.01248,79.8225
-36.79737,2.537431,-40.2448,-14.01248,53.86771
-36.79737,2.537431,-40.2448,-14.01248,48.08859
-36.79737,2.537431,-40.2448,-14.01248,80.02837
-36.79737,2.537431,-40.2448,-14.01248,52.94798
-36.79737,2.537431,-40.2448,-14.01248,48.79365
-36.79737,2.537431,-40.2448,-14.01248,57.85347
-36.79737,2.537431,-40.2448,-14.01248,58.66138
-36.79737,2.537431,-40.2448,-14.01248,66.38066
-36.79737,2.537431,-40.2448,-14.01248,63.81187
-36.79737,2.537431,-40.2448,-14.01248,29.04944
-36.79737,2.537431,-40.2448,-14.01248,80.76552
-36.79737,2.537431,-40.2448,-14.01248,66.53146
-36.79737,2.537431,-40.2448,-14.01248,45.83726
-36.79737,2.537431,-40.2448,-14.01248,50.93977
-36.79737,2.537431,-40.2448,-14.01248,58.8245
-36.79737,2.537431,-40.2448,-14.01248,50.08374
-36.79737,2.537431,-40.2448,-14.01248,75.63354
-36.79737,2.537431,-40.2448,-14.01248,81.5789
-36.79737,2.537431,-40.2448,-14.01248,57.40609
-36.79737,2.537431,-40.2448,-14.01248,33.19735
-36.79737,2.537431,-40.2448,-14.01248,71.27581
-36.79737,2.537431,-40.2448,-14.01248,56.32972
-36.79737,2.537431,-40.2448,-14.01248,103.0302
-36.79737,2.537431,-40.2448,-14.01248,56.70066
-36.79737,2.537431,-40.2448,-14.01248,62.4659
-36.79737,2.537431,-40.2448,-14.01248,43.86133
-36.79737,2.537431,-40.2448,-14.01248,54.59821
-36.79737,2.537431,-40.2448,-14.01248,78.11679
-36.79737,2.537431,-40.2448,-14.01248,57.59551
-36.79737,2.537431,-40.2448,-14.01248,94.44011
-36.79737,2.537431,-40.2448,-14.01248,64.11345
-36.79737,2.537431,-40.2448,-14.01248,49.86667
-36.79737,2.537431,-40.2448,-14.01248,55.9447
-36.79737,2.537431,-40.2448,-14.01248,61.60583
-36.79737,2.537431,-40.2448,-14.01248,60.19318
-36.79737,2.537431,-40.2448,-14.01248,81.6047
-36.79737,2.537431,-40.2448,-14.01248,53.07347
-36.79737,2.537431,-40.2448,-14.01248,29.8243
-36.79737,2.537431,-40.2448,-14.01248,76.29396
-36.79737,2.537431,-40.2448,-14.01248,74.66277
-36.79737,2.537431,-40.2448,-14.01248,57.01838
-36.79737,2.537431,-40.2448,-14.01248,48.73376
-36.79737,2.537431,-40.2448,-14.01248,96.13285
-36.79737,2.537431,-40.2448,-14.01248,56.511
-36.79737,2.537431,-40.2448,-14.01248,51.60302
-36.79737,2.537431,-40.2448,-14.01248,51.40129
-36.79737,2.537431,-40.2448,-14.01248,50.72351
-36.79737,2.537431,-40.2448,-14.01248,29.52846
-36.79737,2.537431,-40.2448,-14.01248,26.69377
-36.79737,2.537431,-40.2448,-14.01248,44.32736
-36.79737,2.537431,-40.2448,-14.01248,49.76597
-36.79737,2.537431,-40.2448,-14.01248,50.37793
-36.79737,2.537431,-40.2448,-14.01248,80.9001
-36.79737,2.537431,-40.2448,-14.01248,46.85819
-36.79737,2.537431,-40.2448,-14.01248,32.91549
-36.79737,2.537431,-40.2448,-14.01248,32.74683
-36.79737,2.537431,-40.2448,-14.01248,39.79829
