surface_dist,mean_patchiness,mean_phi,num_points
2,0.4823911,28.69,101
3,0.5212941,24.55288,229
4,0.6161664,18.50539,411
5,0.6507215,12.22215,656
6,0.6021856,9.617545,911
7,0.510167,7.596933,1235
8,0.4562343,6.211539,1631
9,0.4398879,5.344834,2116
10,0.4315491,5.195118,2670
11,0.4366208,5.511823,3314
12,0.4490826,6.899842,4046
13,0.4609827,8.007504,4819
14,0.4708043,8.406697,5655
15,0.4760157,8.257663,6558
16,0.4727638,7.63295,7480
17,0.4584951,6.83967,8522
18,0.4518863,6.313827,9604
19,0.4533251,5.800619,10737
20,0.4601167,5.294034,11885
21,0.4679808,4.779695,13071
22,0.4746867,4.363115,14337
23,0.4813404,3.908246,15652
24,0.4869623,3.432323,17049
25,0.4838868,3.445419,18469
26,0.4718065,3.606575,19882
27,0.4567879,3.680894,21387
28,0.4474624,3.699788,22997
29,0.4409601,3.61187,24764
30,0.435252,3.364213,26523
31,0.4302163,3.167317,28303
32,0.4310308,3.321359,30218
33,0.4321585,3.441069,32284
34,0.432685,3.471961,34626
35,0.434537,3.272959,37006
36,0.4340229,2.992898,39367
37,0.4333379,2.732698,41769
38,0.4332865,2.596895,44315
39,0.4317902,2.557371,46853
40,0.4293196,2.563501,49258
41,0.4273268,2.466882,51519
42,0.4265024,2.426471,53751
43,0.4262546,2.329796,55951
44,0.4264756,2.252071,57967
45,0.4258265,2.255755,60002
46,0.4251398,2.357813,61780
47,0.4244988,2.438436,63273
48,0.4236148,2.474518,64637
49,0.4231671,2.460446,65757
50,0.4224229,2.444916,66688
51,0.4213667,2.445245,67436
52,0.4205598,2.440374,68155
53,0.420099,2.399287,68921
54,0.4197571,2.334576,69714
55,0.4194453,2.279562,70420
56,0.4193467,2.213847,71121
57,0.4196904,2.175084,71787
58,0.4197074,2.154536,72452
59,0.4188532,2.121255,73108
60,0.4177377,2.058751,73743
61,0.4167181,1.995855,74371
62,0.4161871,1.954676,74995
63,0.4156178,1.954416,75643
64,0.4141573,1.981885,76298
65,0.4128461,1.986923,76941
66,0.4119427,2.011645,77594
67,0.4113946,2.011952,78241
68,0.411206,1.971525,78897
69,0.4115423,1.945298,79610
70,0.4133527,1.90629,80387
71,0.4148481,1.906241,81106
72,0.4161024,1.889822,81776
73,0.4171632,1.835574,82449
74,0.4188212,1.750591,83103
75,0.4203678,1.657508,83769
76,0.4206589,1.59572,84409
77,0.4201893,1.560992,84967
78,0.4199591,1.544581,85557
79,0.4197858,1.573408,86156
80,0.4198369,1.627428,86790
81,0.4198467,1.678081,87439
82,0.4193211,1.687364,88106
83,0.4184152,1.689616,88792
84,0.4171686,1.683784,89467
85,0.4163494,1.651427,90174
86,0.4162885,1.594427,90920
87,0.4160816,1.554588,91678
88,0.415398,1.536713,92477
89,0.4143163,1.530965,93188
90,0.4131849,1.495094,93839
91,0.4122958,1.458138,94438
92,0.4113509,1.42213,95023
93,0.4105438,1.392806,95620
94,0.41032,1.363165,96239
95,0.4103199,1.343004,96838
96,0.4099881,1.332646,97464
97,0.4093727,1.344887,98145
98,0.4089052,1.368307,98843
99,0.4084736,1.379327,99490
100,0.40784,1.365263,100164
101,0.4070226,1.360462,100676
102,0.4062734,1.349982,101043
103,0.406,1.327078,101312
104,0.4060065,1.3139,101439
105,0.4060331,1.300636,101569
106,0.4060555,1.293214,101624
