radius,mean_patchiness,mean_phi,num_points
3,0.03457944,-1.926464,18
4,0.1274532,-1.089868,280
5,0.2829718,0.1950471,746
6,0.3882487,2.64556,1546
7,0.4497879,0.1632511,2884
8,0.4440269,-0.9577845,4347
9,0.4371159,-0.8257102,5775
10,0.4274299,-0.6629763,7490
11,0.4080245,-0.3315399,9221
12,0.3848006,-0.4759289,11380
13,0.3662426,-0.6029697,14149
14,0.364894,-0.8386574,18046
15,0.3708781,-0.6085501,22735
16,0.3898933,-0.6194899,28243
17,0.3989645,-0.6990598,33147
18,0.4067805,-0.923894,38443
19,0.4121158,-1.248201,42754
20,0.4112614,-1.523757,46763
21,0.4065499,-1.591835,50967
22,0.4041819,-1.346385,55485
23,0.4057977,-1.239245,59762
24,0.4057597,-1.135377,64444
25,0.4035818,-0.96585,69895
26,0.4014179,-0.8509552,74508
27,0.3977711,-0.6893273,78869
28,0.3975649,-0.5018168,82813
29,0.4025895,-0.5476916,87046
30,0.403376,-0.5930376,90780
31,0.4034459,-0.6017478,93458
32,0.4067569,-0.5167965,96697
33,0.4121359,-0.4937274,100163
34,0.4154473,-0.5086718,102571
35,0.4168948,-0.465344,104587
36,0.4169475,-0.4202805,106149
37,0.4170928,-0.3964817,107150
38,0.4170642,-0.411019,107588
39,0.4168304,-0.410563,107795
40,0.4167699,-0.4170941,108014
41,0.4168347,-0.4209628,108044
