radius,mean_patchiness,mean_phi,num_points
2,0.9441918,26.09464,310
3,0.774894,31.98655,673
4,0.6293011,23.64315,902
5,0.5245624,18.89989,1169
6,0.437663,15.34105,1573
7,0.3389708,11.4419,2212
8,0.2932023,8.550555,2992
9,0.2820756,7.156407,3881
10,0.2667265,6.312776,4721
11,0.2672619,5.364348,5715
12,0.2674387,4.383613,6930
13,0.274177,3.998446,8248
14,0.2951947,3.667915,9669
15,0.3285165,3.238026,11159
16,0.350886,2.717513,13013
17,0.3550159,2.385614,15056
18,0.3743298,2.370293,18042
19,0.3748872,2.390028,21051
20,0.3685089,2.256949,23764
21,0.3607258,2.340002,26617
22,0.3593284,2.443275,29447
23,0.3604876,2.329516,32096
24,0.3588681,2.296226,34536
25,0.3609964,2.139194,37443
26,0.3640701,1.665204,40959
27,0.365147,1.355074,44055
28,0.3702943,0.9823064,47183
29,0.3792852,0.7278731,50499
30,0.3860745,0.6598477,53741
31,0.392491,0.362572,57004
32,0.4003325,0.07010723,60212
33,0.403063,-0.2025853,63931
34,0.4070497,-0.4598055,67281
35,0.4128949,-0.4355007,71210
36,0.414151,-0.3320964,74810
37,0.4124076,-0.2264332,78616
38,0.4113838,-0.1272839,82411
39,0.4106348,-0.158571,86028
40,0.4095872,-0.08772012,90082
41,0.4097785,-0.1076105,94063
42,0.4095434,-0.1608479,97940
43,0.4119808,-0.2330274,101757
44,0.4140233,-0.3635428,104795
45,0.4163094,-0.4076744,106725
46,0.4171743,-0.4134481,107577
47,0.4168715,-0.4208341,108034
48,0.4168347,-0.4209628,108044
