patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
31.53677,-7.894822,25.23375,-12.17986,84.03758
31.53677,-7.894822,25.23375,-12.17986,70.93729
31.53677,-7.894822,25.23375,-12.17986,82.83292
31.53677,-7.894822,25.23375,-12.17986,75.97593
31.53677,-7.894822,25.23375,-12.17986,81.65213
31.53677,-7.894822,25.23375,-12.17986,81.96778
31.53677,-7.894822,25.23375,-12.17986,70.55146
31.53677,-7.894822,25.23375,-12.17986,82.80647
31.53677,-7.894822,25.23375,-12.17986,83.51125
31.53677,-7.894822,25.23375,-12.17986,69.13676
31.53677,-7.894822,25.23375,-12.17986,79.3381
31.53677,-7.894822,25.23375,-12.17986,76.58921
31.53677,-7.894822,25.23375,-12.17986,74.68886
31.53677,-7.894822,25.23375,-12.17986,81.76398
31.53677,-7.894822,25.23375,-12.17986,82.90712
31.53677,-7.894822,25.23375,-12.17986,83.82162
31.53677,-7.894822,25.23375,-12.17986,81.11823
31.53677,-7.894822,25.23375,-12.17986,81.649
31.53677,-7.894822,25.23375,-12.17986,86.63284
31.53677,-7.894822,25.23375,-12.17986,74.13578
31.53677,-7.894822,25.23375,-12.17986,82.56139
31.53677,-7.894822,25.23375,-12.17986,89.86571
31.53677,-7.894822,25.23375,-12.17986,86.02397
31.53677,-7.894822,25.23375,-12.17986,80.45733
31.53677,-7.894822,25.23375,-12.17986,77.24671
31.53677,-7.894822,25.23375,-12.17986,84.54306
31.53677,-7.894822,25.23375,-12.17986,70.11024
31.53677,-7.894822,25.23375,-12.17986,82.06893
31.53677,-7.894822,25.23375,-12.17986,73.31869
31.53677,-7.894822,25.23375,-12.17986,83.00117
31.53677,-7.894822,25.23375,-12.17986,81.34091
31.53677,-7.894822,25.23375,-12.17986,78.80419
31.53677,-7.894822,25.23375,-12.17986,82.37061
31.53677,-7.894822,25.23375,-12.17986,87.56508
31.53677,-7.894822,25.23375,-12.17986,86.78977
31.53677,-7.894822,25.23375,-12.17986,73.57531
31.53677,-7.894822,25.23375,-12.17986,90.84506
31.53677,-7.894822,25.23375,-12.17986,74.33369
31.53677,-7.894822,25.23375,-12.17986,79.58076
31.53677,-7.894822,25.23375,-12.17986,78.53121
31.53677,-7.894822,25.23375,-12.17986,82.28657
31.53677,-7.894822,25.23375,-12.17986,81.69667
31.53677,-7.894822,25.23375,-12.17986,71.48768
31.53677,-7.894822,25.23375,-12.17986,76.85999
31.53677,-7.894822,25.23375,-12.17986,68.68064
31.53677,-7.894822,25.23375,-12.17986,82.25917
31.53677,-7.894822,25.23375,-12.17986,68.71282
31.53677,-7.894822,25.23375,-12.17986,80.85429
31.53677,-7.894822,25.23375,-12.17986,90.60295
31.53677,-7.894822,25.23375,-12.17986,75.60385
31.53677,-7.894822,25.23375,-12.17986,68.40948
31.53677,-7.894822,25.23375,-12.17986,73.9477
31.53677,-7.894822,25.23375,-12.17986,81.86356
31.53677,-7.894822,25.23375,-12.17986,85.27253
31.53677,-7.894822,25.23375,-12.17986,85.13117
31.53677,-7.894822,25.23375,-12.17986,74.58755
31.53677,-7.894822,25.23375,-12.17986,68.38563
31.53677,-7.894822,25.23375,-12.17986,84.45045
31.53677,-7.894822,25.23375,-12.17986,84.77754
31.53677,-7.894822,25.23375,-12.17986,84.47038
31.53677,-7.894822,25.23375,-12.17986,84.06191
31.53677,-7.894822,25.23375,-12.17986,77.0284
31.53677,-7.894822,25.23375,-12.17986,74.90681
31.53677,-7.894822,25.23375,-12.17986,75.78005
31.53677,-7.894822,25.23375,-12.17986,86.29646
31.53677,-7.894822,25.23375,-12.17986,79.53725
31.53677,-7.894822,25.23375,-12.17986,77.47488
31.53677,-7.894822,25.23375,-12.17986,80.27769
31.53677,-7.894822,25.23375,-12.17986,83.2777
31.53677,-7.894822,25.23375,-12.17986,76.88489
31.53677,-7.894822,25.23375,-12.17986,78.48235
31.53677,-7.894822,25.23375,-12.17986,82.39316
31.53677,-7.894822,25.23375,-12.17986,72.02053
31.53677,-7.894822,25.23375,-12.17986,85.26991
31.53677,-7.894822,25.23375,-12.17986,70.31108
31.53677,-7.894822,25.23375,-12.17986,75.65746
31.53677,-7.894822,25.23375,-12.17986,78.69595
31.53677,-7.894822,25.23375,-12.17986,82.62634
31.53677,-7.894822,25.23375,-12.17986,88.13316
31.53677,-7.894822,25.23375,-12.17986,78.445
31.53677,-7.894822,25.23375,-12.17986,86.11323
31.53677,-7.894822,25.23375,-12.17986,86.56158
31.53677,-7.894822,25.23375,-12.17986,67.25005
31.53677,-7.894822,25.23375,-12.17986,81.46858
31.53677,-7.894822,25.23375,-12.17986,81.84747
31.53677,-7.894822,25.23375,-12.17986,71.04955
31.53677,-7.894822,25.23375,-12.17986,74.27383
31.53677,-7.894822,25.23375,-12.17986,77.2116
31.53677,-7.894822,25.23375,-12.17986,83.24648
31.53677,-7.894822,25.23375,-12.17986,84.68357
31.53677,-7.894822,25.23375,-12.17986,73.92278
31.53677,-7.894822,25.23375,-12.17986,73.51296
31.53677,-7.894822,25.23375,-12.17986,84.65006
31.53677,-7.894822,25.23375,-12.17986,83.55411
31.53677,-7.894822,25.23375,-12.17986,81.28032
31.53677,-7.894822,25.23375,-12.17986,70.64506
31.53677,-7.894822,25.23375,-12.17986,79.43117
31.53677,-7.894822,25.23375,-12.17986,77.7326
31.53677,-7.894822,25.23375,-12.17986,67.73491
31.53677,-7.894822,25.23375,-12.17986,82.91898
31.53677,-7.894822,25.23375,-12.17986,77.09172
31.53677,-7.894822,25.23375,-12.17986,79.25578
31.53677,-7.894822,25.23375,-12.17986,73.04047
31.53677,-7.894822,25.23375,-12.17986,83.33558
31.53677,-7.894822,25.23375,-12.17986,83.16349
31.53677,-7.894822,25.23375,-12.17986,84.45786
31.53677,-7.894822,25.23375,-12.17986,83.24284
31.53677,-7.894822,25.23375,-12.17986,71.29147
31.53677,-7.894822,25.23375,-12.17986,81.51099
31.53677,-7.894822,25.23375,-12.17986,81.7832
31.53677,-7.894822,25.23375,-12.17986,82.89066
31.53677,-7.894822,25.23375,-12.17986,91.01696
31.53677,-7.894822,25.23375,-12.17986,70.29305
31.53677,-7.894822,25.23375,-12.17986,78.17886
31.53677,-7.894822,25.23375,-12.17986,82.29497
31.53677,-7.894822,25.23375,-12.17986,73.75763
31.53677,-7.894822,25.23375,-12.17986,77.58925
31.53677,-7.894822,25.23375,-12.17986,74.69739
31.53677,-7.894822,25.23375,-12.17986,82.60127
31.53677,-7.894822,25.23375,-12.17986,82.45128
31.53677,-7.894822,25.23375,-12.17986,74.23776
31.53677,-7.894822,25.23375,-12.17986,75.21592
31.53677,-7.894822,25.23375,-12.17986,85.25411
31.53677,-7.894822,25.23375,-12.17986,87.18615
31.53677,-7.894822,25.23375,-12.17986,82.83957
31.53677,-7.894822,25.23375,-12.17986,85.02063
31.53677,-7.894822,25.23375,-12.17986,78.42592
31.53677,-7.894822,25.23375,-12.17986,79.08072
31.53677,-7.894822,25.23375,-12.17986,78.31145
31.53677,-7.894822,25.23375,-12.17986,82.36713
31.53677,-7.894822,25.23375,-12.17986,86.12862
31.53677,-7.894822,25.23375,-12.17986,83.60581
31.53677,-7.894822,25.23375,-12.17986,84.76968
31.53677,-7.894822,25.23375,-12.17986,88.99097
31.53677,-7.894822,25.23375,-12.17986,76.7082
31.53677,-7.894822,25.23375,-12.17986,77.12553
31.53677,-7.894822,25.23375,-12.17986,84.46729
