patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
39.09421,0.68955,19.71778,13.87726,83.08087
39.09421,0.68955,19.71778,13.87726,74.43356
39.09421,0.68955,19.71778,13.87726,73.53134
39.09421,0.68955,19.71778,13.87726,77.42737
39.09421,0.68955,19.71778,13.87726,94.62709
39.09421,0.68955,19.71778,13.87726,74.95285
39.09421,0.68955,19.71778,13.87726,81.10156
39.09421,0.68955,19.71778,13.87726,74.54647
39.09421,0.68955,19.71778,13.87726,87.93246
39.09421,0.68955,19.71778,13.87726,79.05887
39.09421,0.68955,19.71778,13.87726,75.81223
39.09421,0.68955,19.71778,13.87726,77.39281
39.09421,0.68955,19.71778,13.87726,76.3681
39.09421,0.68955,19.71778,13.87726,66.66822
39.09421,0.68955,19.71778,13.87726,79.78716
39.09421,0.68955,19.71778,13.87726,73.86655
39.09421,0.68955,19.71778,13.87726,69.33463
39.09421,0.68955,19.71778,13.87726,66.49424
39.09421,0.68955,19.71778,13.87726,82.98928
39.09421,0.68955,19.71778,13.87726,78.26261
39.09421,0.68955,19.71778,13.87726,67.88683
39.09421,0.68955,19.71778,13.87726,76.21117
39.09421,0.68955,19.71778,13.87726,79.06872
39.09421,0.68955,19.71778,13.87726,77.93053
39.09421,0.68955,19.71778,13.87726,78.68695
39.09421,0.68955,19.71778,13.87726,81.08774
39.09421,0.68955,19.71778,13.87726,59.04963
39.09421,0.68955,19.71778,13.87726,71.62457
39.09421,0.68955,19.71778,13.87726,73.99608
39.09421,0.68955,19.71778,13.87726,70.14596
39.09421,0.68955,19.71778,13.87726,83.54091
39.09421,0.68955,19.71778,13.87726,78.51192
39.09421,0.68955,19.71778,13.87726,88.22469
39.09421,0.68955,19.71778,13.87726,76.73391
39.09421,0.68955,19.71778,13.87726,78.43489
39.09421,0.68955,19.71778,13.87726,82.94199
39.09421,0.68955,19.71778,13.87726,70.96298
39.09421,0.68955,19.71778,13.87726,80.85992
39.09421,0.68955,19.71778,13.87726,91.58447
39.09421,0.68955,19.71778,13.87726,69.52177
39.09421,0.68955,19.71778,13.87726,82.11524
39.09421,0.68955,19.71778,13.87726,63.39789
39.09421,0.68955,19.71778,13.87726,86.69969
39.09421,0.68955,19.71778,13.87726,63.01371
39.09421,0.68955,19.71778,13.87726,66.42516
39.09421,0.68955,19.71778,13.87726,91.81274
39.09421,0.68955,19.71778,13.87726,80.29904
39.09421,0.68955,19.71778,13.87726,88.85825
39.09421,0.68955,19.71778,13.87726,85.70103
39.09421,0.68955,19.71778,13.87726,81.97421
39.09421,0.68955,19.71778,13.87726,85.5555
39.09421,0.68955,19.71778,13.87726,66.45117
39.09421,0.68955,19.71778,13.87726,57.28264
39.09421,0.68955,19.71778,13.87726,75.83802
39.09421,0.68955,19.71778,13.87726,72.67746
39.09421,0.68955,19.71778,13.87726,81.21687
39.09421,0.68955,19.71778,13.87726,65.0905
39.09421,0.68955,19.71778,13.87726,78.43005
39.09421,0.68955,19.71778,13.87726,82.50673
39.09421,0.68955,19.71778,13.87726,80.55721
39.09421,0.68955,19.71778,13.87726,78.66411
39.09421,0.68955,19.71778,13.87726,73.23344
39.09421,0.68955,19.71778,13.87726,73.86716
39.09421,0.68955,19.71778,13.87726,60.80674
39.09421,0.68955,19.71778,13.87726,67.49974
