patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
31.53677,-7.894822,25.23375,-12.36181,60.58635
31.53677,-7.894822,25.23375,-12.36181,56.34067
31.53677,-7.894822,25.23375,-12.36181,55.88649
31.53677,-7.894822,25.23375,-12.36181,51.20461
31.53677,-7.894822,25.23375,-12.36181,54.72901
31.53677,-7.894822,25.23375,-12.36181,48.98819
31.53677,-7.894822,25.23375,-12.36181,62.51221
31.53677,-7.894822,25.23375,-12.36181,54.06395
31.53677,-7.894822,25.23375,-12.36181,56.8614
31.53677,-7.894822,25.23375,-12.36181,60.75688
31.53677,-7.894822,25.23375,-12.36181,56.70409
31.53677,-7.894822,25.23375,-12.36181,48.21495
31.53677,-7.894822,25.23375,-12.36181,46.76277
31.53677,-7.894822,25.23375,-12.36181,56.95607
31.53677,-7.894822,25.23375,-12.36181,54.64277
31.53677,-7.894822,25.23375,-12.36181,59.54408
31.53677,-7.894822,25.23375,-12.36181,51.46319
31.53677,-7.894822,25.23375,-12.36181,54.62144
31.53677,-7.894822,25.23375,-12.36181,50.77
31.53677,-7.894822,25.23375,-12.36181,58.47405
31.53677,-7.894822,25.23375,-12.36181,55.38531
31.53677,-7.894822,25.23375,-12.36181,54.97617
31.53677,-7.894822,25.23375,-12.36181,53.63366
31.53677,-7.894822,25.23375,-12.36181,48.08368
31.53677,-7.894822,25.23375,-12.36181,53.51177
31.53677,-7.894822,25.23375,-12.36181,55.63515
31.53677,-7.894822,25.23375,-12.36181,57.31949
31.53677,-7.894822,25.23375,-12.36181,54.04439
31.53677,-7.894822,25.23375,-12.36181,57.61744
31.53677,-7.894822,25.23375,-12.36181,56.67706
31.53677,-7.894822,25.23375,-12.36181,47.30853
31.53677,-7.894822,25.23375,-12.36181,54.50766
31.53677,-7.894822,25.23375,-12.36181,57.99447
31.53677,-7.894822,25.23375,-12.36181,57.99744
31.53677,-7.894822,25.23375,-12.36181,53.39715
31.53677,-7.894822,25.23375,-12.36181,50.91841
31.53677,-7.894822,25.23375,-12.36181,47.53866
31.53677,-7.894822,25.23375,-12.36181,47.46504
31.53677,-7.894822,25.23375,-12.36181,58.52565
31.53677,-7.894822,25.23375,-12.36181,61.30621
31.53677,-7.894822,25.23375,-12.36181,54.9806
31.53677,-7.894822,25.23375,-12.36181,59.10033
31.53677,-7.894822,25.23375,-12.36181,59.43744
31.53677,-7.894822,25.23375,-12.36181,53.64058
31.53677,-7.894822,25.23375,-12.36181,58.14654
31.53677,-7.894822,25.23375,-12.36181,57.04917
31.53677,-7.894822,25.23375,-12.36181,54.30819
31.53677,-7.894822,25.23375,-12.36181,52.56585
31.53677,-7.894822,25.23375,-12.36181,54.81326
31.53677,-7.894822,25.23375,-12.36181,60.47316
31.53677,-7.894822,25.23375,-12.36181,56.44028
31.53677,-7.894822,25.23375,-12.36181,47.38457
31.53677,-7.894822,25.23375,-12.36181,57.52165
31.53677,-7.894822,25.23375,-12.36181,55.24515
31.53677,-7.894822,25.23375,-12.36181,57.26775
31.53677,-7.894822,25.23375,-12.36181,61.03721
31.53677,-7.894822,25.23375,-12.36181,54.86361
31.53677,-7.894822,25.23375,-12.36181,59.00239
31.53677,-7.894822,25.23375,-12.36181,59.84933
31.53677,-7.894822,25.23375,-12.36181,56.24286
31.53677,-7.894822,25.23375,-12.36181,54.03301
31.53677,-7.894822,25.23375,-12.36181,59.53901
31.53677,-7.894822,25.23375,-12.36181,56.42784
31.53677,-7.894822,25.23375,-12.36181,54.29298
31.53677,-7.894822,25.23375,-12.36181,61.67767
31.53677,-7.894822,25.23375,-12.36181,48.95684
31.53677,-7.894822,25.23375,-12.36181,57.75409
31.53677,-7.894822,25.23375,-12.36181,54.67792
31.53677,-7.894822,25.23375,-12.36181,55.98976
31.53677,-7.894822,25.23375,-12.36181,60.13443
31.53677,-7.894822,25.23375,-12.36181,56.76509
31.53677,-7.894822,25.23375,-12.36181,56.19097
31.53677,-7.894822,25.23375,-12.36181,52.23114
31.53677,-7.894822,25.23375,-12.36181,55.78846
31.53677,-7.894822,25.23375,-12.36181,51.95778
31.53677,-7.894822,25.23375,-12.36181,60.16588
31.53677,-7.894822,25.23375,-12.36181,53.77071
31.53677,-7.894822,25.23375,-12.36181,56.08282
31.53677,-7.894822,25.23375,-12.36181,59.78106
31.53677,-7.894822,25.23375,-12.36181,53.88263
31.53677,-7.894822,25.23375,-12.36181,63.78703
31.53677,-7.894822,25.23375,-12.36181,56.68313
31.53677,-7.894822,25.23375,-12.36181,55.21055
31.53677,-7.894822,25.23375,-12.36181,54.9854
31.53677,-7.894822,25.23375,-12.36181,53.48708
31.53677,-7.894822,25.23375,-12.36181,60.24647
31.53677,-7.894822,25.23375,-12.36181,51.44843
31.53677,-7.894822,25.23375,-12.36181,59.72967
31.53677,-7.894822,25.23375,-12.36181,53.31041
31.53677,-7.894822,25.23375,-12.36181,62.20554
31.53677,-7.894822,25.23375,-12.36181,54.51616
31.53677,-7.894822,25.23375,-12.36181,63.13427
31.53677,-7.894822,25.23375,-12.36181,57.0229
31.53677,-7.894822,25.23375,-12.36181,53.80245
31.53677,-7.894822,25.23375,-12.36181,60.43189
31.53677,-7.894822,25.23375,-12.36181,55.6127
31.53677,-7.894822,25.23375,-12.36181,57.73359
31.53677,-7.894822,25.23375,-12.36181,60.74131
31.53677,-7.894822,25.23375,-12.36181,54.45004
31.53677,-7.894822,25.23375,-12.36181,57.06406
31.53677,-7.894822,25.23375,-12.36181,50.00625
31.53677,-7.894822,25.23375,-12.36181,57.67013
31.53677,-7.894822,25.23375,-12.36181,55.11079
31.53677,-7.894822,25.23375,-12.36181,55.6676
31.53677,-7.894822,25.23375,-12.36181,61.29461
31.53677,-7.894822,25.23375,-12.36181,57.00738
31.53677,-7.894822,25.23375,-12.36181,62.47015
31.53677,-7.894822,25.23375,-12.36181,55.36581
31.53677,-7.894822,25.23375,-12.36181,65.61427
31.53677,-7.894822,25.23375,-12.36181,57.24955
31.53677,-7.894822,25.23375,-12.36181,58.17482
31.53677,-7.894822,25.23375,-12.36181,60.72588
31.53677,-7.894822,25.23375,-12.36181,54.50256
31.53677,-7.894822,25.23375,-12.36181,45.66866
31.53677,-7.894822,25.23375,-12.36181,53.99773
31.53677,-7.894822,25.23375,-12.36181,63.44556
31.53677,-7.894822,25.23375,-12.36181,61.04307
31.53677,-7.894822,25.23375,-12.36181,59.07863
31.53677,-7.894822,25.23375,-12.36181,56.9403
31.53677,-7.894822,25.23375,-12.36181,61.0313
31.53677,-7.894822,25.23375,-12.36181,52.16291
31.53677,-7.894822,25.23375,-12.36181,52.37358
31.53677,-7.894822,25.23375,-12.36181,57.02666
31.53677,-7.894822,25.23375,-12.36181,55.06379
31.53677,-7.894822,25.23375,-12.36181,60.82147
31.53677,-7.894822,25.23375,-12.36181,58.61039
31.53677,-7.894822,25.23375,-12.36181,54.76609
31.53677,-7.894822,25.23375,-12.36181,51.6975
31.53677,-7.894822,25.23375,-12.36181,60.9732
31.53677,-7.894822,25.23375,-12.36181,53.51216
31.53677,-7.894822,25.23375,-12.36181,54.34347
31.53677,-7.894822,25.23375,-12.36181,59.44995
31.53677,-7.894822,25.23375,-12.36181,57.05375
31.53677,-7.894822,25.23375,-12.36181,55.20901
31.53677,-7.894822,25.23375,-12.36181,57.06018
31.53677,-7.894822,25.23375,-12.36181,50.51581
31.53677,-7.894822,25.23375,-12.36181,53.37354
31.53677,-7.894822,25.23375,-12.36181,52.35163
31.53677,-7.894822,25.23375,-12.36181,54.18616
31.53677,-7.894822,25.23375,-12.36181,49.87043
31.53677,-7.894822,25.23375,-12.36181,59.18402
31.53677,-7.894822,25.23375,-12.36181,58.75985
31.53677,-7.894822,25.23375,-12.36181,60.20903
31.53677,-7.894822,25.23375,-12.36181,52.32123
31.53677,-7.894822,25.23375,-12.36181,55.18128
