radius,mean_patchiness,mean_phi,num_points
2,0.5937107,11.2737,71
3,0.3350583,11.68791,360
4,0.4133193,0.9952769,953
5,0.5142826,-3.73581,1683
6,0.5333219,-5.651377,2579
7,0.5187338,-5.223246,3480
8,0.4838016,-4.250397,4748
9,0.4645515,-2.623179,6136
10,0.4480802,-1.140013,7686
11,0.4498944,-0.08821084,8953
12,0.4585762,0.4898471,10342
13,0.4619461,1.057278,12085
14,0.4533959,1.005803,14019
15,0.4553661,1.359116,16079
16,0.4576789,1.428541,18201
17,0.4559639,1.337617,20484
18,0.4530281,1.538386,22882
19,0.4404798,1.876332,25722
20,0.4262424,1.821463,28312
21,0.4106959,1.700438,31542
22,0.4083658,1.889791,34916
23,0.4117199,1.941872,38671
24,0.4036404,2.02103,43119
25,0.4005611,2.158487,47528
26,0.4073318,2.204221,51843
27,0.4115133,2.036301,56087
28,0.4162606,1.711417,60829
29,0.4207994,1.373269,65813
30,0.4223042,1.106815,70614
31,0.4214951,1.08528,74820
32,0.4216588,1.115134,79055
33,0.4235554,1.28316,83946
34,0.4232601,1.354205,88985
35,0.4223618,1.358034,93897
36,0.4206071,1.320313,97886
37,0.4212604,1.253399,102226
38,0.423844,1.255492,107102
39,0.4230145,1.3323,111900
40,0.4207121,1.507998,117061
41,0.418112,1.411912,123156
42,0.417707,1.368142,129007
43,0.4214831,1.224258,134125
44,0.4257959,1.075449,137485
45,0.4283886,1.067618,138939
46,0.4304515,1.035919,139637
47,0.4307922,1.02251,139731
