surface_dist,mean_patchiness,mean_phi,num_points
2,0.9365448,-15.24357,190
3,0.8306916,-15.21982,436
4,0.7158149,-15.60058,797
5,0.6437367,-15.00859,1214
6,0.5925315,-11.77647,1720
7,0.5573562,-8.553936,2335
8,0.5251131,-5.908264,3048
9,0.4976089,-4.055703,3863
10,0.4800279,-3.187217,4809
11,0.4730943,-2.10658,5900
12,0.4591165,-1.195631,7049
13,0.4448856,-1.208824,8267
14,0.4417449,-1.238983,9674
15,0.4448645,-1.379695,11282
16,0.4493046,-1.787446,12952
17,0.4498653,-1.805029,14655
18,0.4471242,-1.878237,16417
19,0.4428336,-2.10239,18119
20,0.4388477,-2.282792,19919
21,0.4305695,-2.375489,21832
22,0.4217686,-2.280971,23734
23,0.4178632,-2.070161,25676
24,0.4189513,-1.615192,27662
25,0.4207495,-0.9478794,29720
26,0.4235018,-0.5129623,31887
27,0.4237071,-0.302496,34242
28,0.4244703,-0.3182245,36816
29,0.4247492,-0.4178771,39622
30,0.4220569,-0.5259522,42402
31,0.4180043,-0.5010162,45157
32,0.4197142,-0.3868934,48160
33,0.422598,-0.3799358,51320
34,0.4257163,-0.4330693,54620
35,0.429069,-0.4613831,58042
36,0.4295193,-0.448734,61430
37,0.4294779,-0.4299296,64782
38,0.428221,-0.4497122,68110
39,0.4270373,-0.4245199,71596
40,0.4253586,-0.2379631,75137
41,0.4218835,-0.07415311,78595
42,0.4166196,-0.03383319,81892
43,0.4112305,-0.08116643,85088
44,0.4080005,-0.1608235,88264
45,0.4068318,-0.2281908,91549
46,0.4067524,-0.2687627,94880
47,0.4067466,-0.1920579,98517
48,0.4079895,0.01673456,102314
49,0.4093141,0.1274666,105948
50,0.4101309,0.1960588,109521
51,0.4110786,0.2620109,113187
52,0.4110914,0.3018823,116799
53,0.4106016,0.3351765,120492
54,0.4107298,0.4301907,124176
55,0.4114316,0.5760951,128023
56,0.4103998,0.5869098,131767
57,0.4087676,0.5734735,134706
58,0.4068535,0.5780996,137185
59,0.4056554,0.6270919,139437
60,0.4058097,0.6546099,141360
61,0.4067658,0.6537644,142981
62,0.4074577,0.6420746,144418
63,0.407699,0.6256287,145760
64,0.4080714,0.6232501,146990
65,0.4088686,0.6251585,148139
66,0.40917,0.6494461,149108
67,0.4092409,0.6953491,149885
68,0.4097457,0.7100911,150442
69,0.4099548,0.7133637,150857
70,0.4099222,0.7045096,151212
71,0.4096396,0.6947146,151542
72,0.4092063,0.694402,151733
73,0.4091396,0.6945223,151759
