radius,mean_patchiness,mean_phi,num_points
3,0.3733098,15.84574,258
4,0.3720963,8.265198,692
5,0.4047074,2.577977,1307
6,0.4137737,-0.9944042,2221
7,0.4000044,-1.105448,3277
8,0.3690547,-1.028908,4619
9,0.3512238,-0.03195987,6501
10,0.3480367,0.8992332,8957
11,0.3614464,1.464748,11927
12,0.3716305,2.113412,15587
13,0.3671252,1.803879,19215
14,0.3741056,1.458413,22770
15,0.3940835,1.193329,26330
16,0.4123474,0.7792872,30548
17,0.4163485,0.7835173,35250
18,0.4193503,0.9002851,40418
19,0.4226368,1.20889,45800
20,0.4230956,1.261124,51310
21,0.4210628,1.3656,56625
22,0.4202708,1.221501,61934
23,0.4206181,0.9992577,67507
24,0.4184758,0.9563565,73541
25,0.4172624,0.9860567,80413
26,0.4122465,1.084426,88305
27,0.4041727,1.117503,95084
28,0.4023008,1.015822,100735
29,0.4027237,0.887203,105471
30,0.4058284,0.7302513,110357
31,0.4067117,0.6511603,114424
32,0.4065421,0.6234846,117803
33,0.40565,0.6663056,121178
34,0.407732,0.7067973,124238
35,0.4125876,0.828898,127535
36,0.4164327,0.9024778,131305
37,0.4173368,0.9287212,134760
38,0.4194351,0.9049825,137713
39,0.4205551,0.9927792,139452
40,0.421212,1.081909,140353
41,0.421773,1.098171,140724
42,0.4220316,1.104252,140792
