radius,mean_patchiness,mean_phi,num_points
6,0.9191554,9.198092,32
7,0.7810727,11.83807,199
8,0.5678664,6.496221,558
9,0.4062459,2.192972,1360
10,0.3357733,1.784579,2849
11,0.2955829,2.019333,5646
12,0.2960316,2.07737,9647
13,0.3102516,1.921905,14002
14,0.3368356,1.657571,19270
15,0.3681994,1.626793,25082
16,0.3949081,1.267174,31974
17,0.4007261,0.7048368,39684
18,0.4028255,0.09522575,47242
19,0.4029023,-0.402282,54682
20,0.4073331,-0.6466639,61316
21,0.4103543,-0.8246731,67538
22,0.4125036,-0.9337512,73587
23,0.4103968,-1.044622,80274
24,0.4075028,-1.052154,86187
25,0.4068524,-1.052709,91365
26,0.4037636,-1.095353,96131
27,0.4045014,-1.177842,101534
28,0.4047548,-1.121224,106312
29,0.4023871,-1.143477,110476
30,0.3996747,-1.173533,113788
31,0.3974679,-1.191903,116392
32,0.3957836,-1.218243,118523
33,0.3941942,-1.246901,120279
34,0.3929554,-1.286716,121859
35,0.3915554,-1.301517,123838
36,0.3892066,-1.326081,125702
37,0.388131,-1.354658,127498
38,0.3879059,-1.308329,129221
39,0.3871531,-1.292456,131062
40,0.3862435,-1.297222,133031
41,0.3849114,-1.308961,134386
42,0.3837404,-1.289495,135746
43,0.3829015,-1.251575,137149
44,0.3821757,-1.199108,138889
45,0.3809826,-1.214715,139991
46,0.3792282,-1.228525,141140
47,0.3782771,-1.236808,142028
48,0.3780528,-1.252429,142848
49,0.3779123,-1.24244,143449
50,0.3776347,-1.232393,144036
51,0.3771298,-1.190091,144768
52,0.3767808,-1.184843,145303
53,0.3765261,-1.191674,145552
