patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
16.56085,60.19432,40.62619,-13.85643,35.70394
16.56085,60.19432,40.62619,-13.85643,18.61925
16.56085,60.19432,40.62619,-13.85643,44.29366
16.56085,60.19432,40.62619,-13.85643,32.31153
16.56085,60.19432,40.62619,-13.85643,21.92391
16.56085,60.19432,40.62619,-13.85643,23.17813
16.56085,60.19432,40.62619,-13.85643,27.6861
16.56085,60.19432,40.62619,-13.85643,23.82038
16.56085,60.19432,40.62619,-13.85643,40.60332
16.56085,60.19432,40.62619,-13.85643,32.971
16.56085,60.19432,40.62619,-13.85643,26.29193
16.56085,60.19432,40.62619,-13.85643,43.96246
16.56085,60.19432,40.62619,-13.85643,32.6708
16.56085,60.19432,40.62619,-13.85643,40.55407
16.56085,60.19432,40.62619,-13.85643,20.42502
16.56085,60.19432,40.62619,-13.85643,40.93488
16.56085,60.19432,40.62619,-13.85643,27.53478
16.56085,60.19432,40.62619,-13.85643,25.17801
16.56085,60.19432,40.62619,-13.85643,25.88122
16.56085,60.19432,40.62619,-13.85643,36.96333
16.56085,60.19432,40.62619,-13.85643,41.50544
16.56085,60.19432,40.62619,-13.85643,46.39263
16.56085,60.19432,40.62619,-13.85643,38.14943
16.56085,60.19432,40.62619,-13.85643,42.18484
16.56085,60.19432,40.62619,-13.85643,32.04676
16.56085,60.19432,40.62619,-13.85643,22.92109
16.56085,60.19432,40.62619,-13.85643,36.32019
16.56085,60.19432,40.62619,-13.85643,30.82907
16.56085,60.19432,40.62619,-13.85643,42.62475
16.56085,60.19432,40.62619,-13.85643,42.47645
16.56085,60.19432,40.62619,-13.85643,30.45861
16.56085,60.19432,40.62619,-13.85643,38.33389
16.56085,60.19432,40.62619,-13.85643,48.57689
16.56085,60.19432,40.62619,-13.85643,49.07501
16.56085,60.19432,40.62619,-13.85643,30.69691
16.56085,60.19432,40.62619,-13.85643,39.86057
16.56085,60.19432,40.62619,-13.85643,39.74854
16.56085,60.19432,40.62619,-13.85643,19.97803
16.56085,60.19432,40.62619,-13.85643,45.47628
