surface_dist,mean_patchiness,mean_phi,num_points
2,0.1060854,-0.773699,177
3,0.1150694,-0.4591704,397
4,0.1866248,-1.183026,711
5,0.2340614,-0.1780458,1155
6,0.2263772,0.1045304,1716
7,0.2320443,1.28742,2393
8,0.2779021,1.402096,3268
9,0.3126189,0.4647234,4297
10,0.336871,-0.1372041,5464
11,0.3635385,-0.3480584,6799
12,0.377344,-0.03040191,8348
13,0.3819984,0.8334774,10028
14,0.3810542,1.641892,11880
15,0.3781011,2.463276,13915
16,0.3751257,2.756145,16152
17,0.3695363,2.710403,18537
18,0.3637162,2.366163,20869
19,0.3624969,2.229878,23037
20,0.3677387,2.500281,25248
21,0.371657,2.770942,27454
22,0.3731521,2.758797,29750
23,0.3769572,2.874084,32109
24,0.3790602,3.126817,34388
25,0.3781716,3.266076,36525
26,0.3772544,3.414962,38552
27,0.3773942,3.461105,40660
28,0.3817062,3.541511,42801
29,0.3879105,3.610707,45149
30,0.3918848,3.751327,47754
31,0.3930229,3.790255,50612
32,0.3936453,3.658173,53762
33,0.3947001,3.470831,56727
34,0.3949334,3.324201,59702
35,0.3935871,3.258528,62714
36,0.3904941,3.206704,65649
37,0.3885317,3.225707,68390
38,0.388465,3.22545,71150
39,0.3890756,3.137979,73949
40,0.3908958,3.00532,76883
41,0.3944142,2.838808,79864
42,0.3975348,2.697198,82899
43,0.3974737,2.630931,85937
44,0.3957708,2.623769,88946
45,0.3941812,2.589437,91647
46,0.3934671,2.519605,94318
47,0.3942788,2.499466,96952
48,0.3951369,2.529362,99639
49,0.3958793,2.609199,102477
50,0.3959253,2.64188,105498
51,0.3968559,2.614271,108631
52,0.3981418,2.598709,111787
53,0.3987973,2.575839,114845
54,0.3973866,2.60809,117358
55,0.3953209,2.653215,119447
56,0.3933656,2.63504,121322
57,0.3917379,2.605082,122937
58,0.3901943,2.563357,124216
59,0.3894723,2.502731,125433
60,0.3899704,2.42698,126643
61,0.3909976,2.360859,127914
62,0.3924635,2.337214,129140
63,0.3940617,2.375367,130306
64,0.3947382,2.422919,131320
65,0.3946008,2.409207,131940
66,0.3944507,2.418374,132083
