radius,mean_patchiness,mean_phi,num_points
2,0.1596026,2.745434,104
3,0.2105574,3.61466,413
4,0.2970504,-2.049805,991
5,0.356618,-3.964622,1711
6,0.3740326,-6.253262,2532
7,0.3411275,-4.572775,3308
8,0.3427572,-3.767235,4177
9,0.347836,-3.377245,4969
10,0.3466035,-3.23658,5868
11,0.3408626,-3.016513,6880
12,0.3395983,-2.81674,8112
13,0.3208436,-2.475236,9469
14,0.3001212,-1.944913,11158
15,0.2863384,-1.422991,12975
16,0.2955191,-0.7331336,15190
17,0.3087159,-0.2203077,18059
18,0.3243903,0.02429703,21401
19,0.3404692,0.6934803,24935
20,0.345885,1.002144,28892
21,0.3530139,1.246971,32818
22,0.3594093,1.512181,36810
23,0.3689792,1.718976,40876
24,0.3720833,1.853105,44789
25,0.371354,2.02147,48264
26,0.3726759,2.06048,51113
27,0.3730646,2.107027,53733
28,0.3729259,2.23351,56138
29,0.3754545,2.387553,58680
30,0.3788765,2.465151,61536
31,0.3796794,2.510419,64245
32,0.3824756,2.669072,66818
33,0.3844114,2.751745,69467
34,0.3834929,2.667971,72195
35,0.3800753,2.489813,75414
36,0.378377,2.477495,78956
37,0.3758802,2.547122,82881
38,0.3751222,2.516238,86763
39,0.3756938,2.449218,90147
40,0.3763655,2.421789,93300
41,0.3775365,2.407262,96957
42,0.3765706,2.350743,101096
43,0.3766544,2.313622,105626
44,0.3798998,2.439051,110619
45,0.3813128,2.568612,116243
46,0.3824151,2.555172,121461
47,0.387997,2.521555,125202
48,0.3904679,2.41579,127295
49,0.3913819,2.41557,128573
50,0.3915324,2.41425,129563
51,0.3916019,2.376854,130440
52,0.3918366,2.327246,131157
53,0.3924827,2.306074,131594
54,0.3931844,2.31401,131788
55,0.3938633,2.352825,131943
56,0.3943537,2.40904,132059
57,0.3944507,2.418374,132083
