patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
5.894523,0.7255538,-17.43008,-11.33858,18.3447
5.894523,0.7255538,-17.43008,-11.33858,14.73195
5.894523,0.7255538,-17.43008,-11.33858,9.729658
5.894523,0.7255538,-17.43008,-11.33858,24.72188
5.894523,0.7255538,-17.43008,-11.33858,27.90251
5.894523,0.7255538,-17.43008,-11.33858,17.61551
5.894523,0.7255538,-17.43008,-11.33858,40.00412
5.894523,0.7255538,-17.43008,-11.33858,23.20685
5.894523,0.7255538,-17.43008,-11.33858,37.55076
5.894523,0.7255538,-17.43008,-11.33858,27.58207
5.894523,0.7255538,-17.43008,-11.33858,39.34833
5.894523,0.7255538,-17.43008,-11.33858,17.65919
5.894523,0.7255538,-17.43008,-11.33858,37.46884
5.894523,0.7255538,-17.43008,-11.33858,18.6416
5.894523,0.7255538,-17.43008,-11.33858,43.19202
5.894523,0.7255538,-17.43008,-11.33858,3.010555
5.894523,0.7255538,-17.43008,-11.33858,19.6026
5.894523,0.7255538,-17.43008,-11.33858,41.73655
5.894523,0.7255538,-17.43008,-11.33858,12.86386
5.894523,0.7255538,-17.43008,-11.33858,39.87975
5.894523,0.7255538,-17.43008,-11.33858,27.78029
5.894523,0.7255538,-17.43008,-11.33858,10.77177
5.894523,0.7255538,-17.43008,-11.33858,27.42262
5.894523,0.7255538,-17.43008,-11.33858,21.90933
5.894523,0.7255538,-17.43008,-11.33858,15.45173
5.894523,0.7255538,-17.43008,-11.33858,12.1272
5.894523,0.7255538,-17.43008,-11.33858,12.44384
5.894523,0.7255538,-17.43008,-11.33858,47.31389
5.894523,0.7255538,-17.43008,-11.33858,29.17724
5.894523,0.7255538,-17.43008,-11.33858,14.68846
5.894523,0.7255538,-17.43008,-11.33858,30.33352
5.894523,0.7255538,-17.43008,-11.33858,20.71297
5.894523,0.7255538,-17.43008,-11.33858,35.73973
5.894523,0.7255538,-17.43008,-11.33858,20.9964
5.894523,0.7255538,-17.43008,-11.33858,27.1071
5.894523,0.7255538,-17.43008,-11.33858,18.74207
5.894523,0.7255538,-17.43008,-11.33858,24.39389
5.894523,0.7255538,-17.43008,-11.33858,8.922252
5.894523,0.7255538,-17.43008,-11.33858,16.33154
5.894523,0.7255538,-17.43008,-11.33858,15.61529
5.894523,0.7255538,-17.43008,-11.33858,45.77997
5.894523,0.7255538,-17.43008,-11.33858,21.77928
5.894523,0.7255538,-17.43008,-11.33858,31.6842
5.894523,0.7255538,-17.43008,-11.33858,27.61974
5.894523,0.7255538,-17.43008,-11.33858,24.01154
5.894523,0.7255538,-17.43008,-11.33858,22.01963
5.894523,0.7255538,-17.43008,-11.33858,47.48721
5.894523,0.7255538,-17.43008,-11.33858,37.90361
5.894523,0.7255538,-17.43008,-11.33858,41.35384
5.894523,0.7255538,-17.43008,-11.33858,30.09637
5.894523,0.7255538,-17.43008,-11.33858,35.69412
5.894523,0.7255538,-17.43008,-11.33858,9.402813
5.894523,0.7255538,-17.43008,-11.33858,27.58643
5.894523,0.7255538,-17.43008,-11.33858,9.050985
5.894523,0.7255538,-17.43008,-11.33858,45.16391
5.894523,0.7255538,-17.43008,-11.33858,3.734615
5.894523,0.7255538,-17.43008,-11.33858,11.6935
5.894523,0.7255538,-17.43008,-11.33858,46.10525
5.894523,0.7255538,-17.43008,-11.33858,17.74729
5.894523,0.7255538,-17.43008,-11.33858,41.69025
5.894523,0.7255538,-17.43008,-11.33858,10.0465
5.894523,0.7255538,-17.43008,-11.33858,9.023391
5.894523,0.7255538,-17.43008,-11.33858,35.3293
5.894523,0.7255538,-17.43008,-11.33858,42.9946
5.894523,0.7255538,-17.43008,-11.33858,30.86918
5.894523,0.7255538,-17.43008,-11.33858,35.22045
5.894523,0.7255538,-17.43008,-11.33858,24.94993
5.894523,0.7255538,-17.43008,-11.33858,28.86147
5.894523,0.7255538,-17.43008,-11.33858,9.122868
5.894523,0.7255538,-17.43008,-11.33858,35.81149
5.894523,0.7255538,-17.43008,-11.33858,21.12429
5.894523,0.7255538,-17.43008,-11.33858,15.78541
5.894523,0.7255538,-17.43008,-11.33858,18.2804
5.894523,0.7255538,-17.43008,-11.33858,27.60366
5.894523,0.7255538,-17.43008,-11.33858,11.74427
5.894523,0.7255538,-17.43008,-11.33858,14.57818
5.894523,0.7255538,-17.43008,-11.33858,34.62763
5.894523,0.7255538,-17.43008,-11.33858,35.97963
5.894523,0.7255538,-17.43008,-11.33858,30.49532
5.894523,0.7255538,-17.43008,-11.33858,14.30542
5.894523,0.7255538,-17.43008,-11.33858,28.995
5.894523,0.7255538,-17.43008,-11.33858,34.90808
5.894523,0.7255538,-17.43008,-11.33858,20.96842
5.894523,0.7255538,-17.43008,-11.33858,20.45276
5.894523,0.7255538,-17.43008,-11.33858,15.82803
5.894523,0.7255538,-17.43008,-11.33858,27.64404
5.894523,0.7255538,-17.43008,-11.33858,26.47973
5.894523,0.7255538,-17.43008,-11.33858,25.70133
5.894523,0.7255538,-17.43008,-11.33858,39.34535
5.894523,0.7255538,-17.43008,-11.33858,21.48869
5.894523,0.7255538,-17.43008,-11.33858,25.08137
5.894523,0.7255538,-17.43008,-11.33858,31.30088
5.894523,0.7255538,-17.43008,-11.33858,11.42301
5.894523,0.7255538,-17.43008,-11.33858,16.3248
5.894523,0.7255538,-17.43008,-11.33858,29.12712
5.894523,0.7255538,-17.43008,-11.33858,46.85242
5.894523,0.7255538,-17.43008,-11.33858,30.10187
5.894523,0.7255538,-17.43008,-11.33858,48.70156
5.894523,0.7255538,-17.43008,-11.33858,23.41092
5.894523,0.7255538,-17.43008,-11.33858,22.48513
5.894523,0.7255538,-17.43008,-11.33858,21.52003
5.894523,0.7255538,-17.43008,-11.33858,46.53692
5.894523,0.7255538,-17.43008,-11.33858,25.123
5.894523,0.7255538,-17.43008,-11.33858,33.79908
5.894523,0.7255538,-17.43008,-11.33858,26.88406
5.894523,0.7255538,-17.43008,-11.33858,20.38196
5.894523,0.7255538,-17.43008,-11.33858,16.7301
5.894523,0.7255538,-17.43008,-11.33858,46.81296
5.894523,0.7255538,-17.43008,-11.33858,26.50959
5.894523,0.7255538,-17.43008,-11.33858,23.45478
5.894523,0.7255538,-17.43008,-11.33858,47.5953
5.894523,0.7255538,-17.43008,-11.33858,25.42259
5.894523,0.7255538,-17.43008,-11.33858,15.99345
5.894523,0.7255538,-17.43008,-11.33858,14.64031
5.894523,0.7255538,-17.43008,-11.33858,21.16032
5.894523,0.7255538,-17.43008,-11.33858,17.83483
5.894523,0.7255538,-17.43008,-11.33858,29.59567
5.894523,0.7255538,-17.43008,-11.33858,22.45932
5.894523,0.7255538,-17.43008,-11.33858,18.82344
5.894523,0.7255538,-17.43008,-11.33858,23.56059
5.894523,0.7255538,-17.43008,-11.33858,40.3477
5.894523,0.7255538,-17.43008,-11.33858,36.85101
5.894523,0.7255538,-17.43008,-11.33858,16.36797
5.894523,0.7255538,-17.43008,-11.33858,10.51178
5.894523,0.7255538,-17.43008,-11.33858,38.52853
5.894523,0.7255538,-17.43008,-11.33858,15.94695
5.894523,0.7255538,-17.43008,-11.33858,37.2243
5.894523,0.7255538,-17.43008,-11.33858,13.60528
5.894523,0.7255538,-17.43008,-11.33858,18.06888
5.894523,0.7255538,-17.43008,-11.33858,6.345674
5.894523,0.7255538,-17.43008,-11.33858,24.71149
5.894523,0.7255538,-17.43008,-11.33858,19.92254
5.894523,0.7255538,-17.43008,-11.33858,20.59285
5.894523,0.7255538,-17.43008,-11.33858,22.75262
5.894523,0.7255538,-17.43008,-11.33858,22.26607
5.894523,0.7255538,-17.43008,-11.33858,30.11288
5.894523,0.7255538,-17.43008,-11.33858,39.01619
5.894523,0.7255538,-17.43008,-11.33858,10.55453
5.894523,0.7255538,-17.43008,-11.33858,36.64482
5.894523,0.7255538,-17.43008,-11.33858,17.72507
5.894523,0.7255538,-17.43008,-11.33858,18.24527
5.894523,0.7255538,-17.43008,-11.33858,44.47957
5.894523,0.7255538,-17.43008,-11.33858,12.51651
5.894523,0.7255538,-17.43008,-11.33858,16.34341
5.894523,0.7255538,-17.43008,-11.33858,43.60696
5.894523,0.7255538,-17.43008,-11.33858,47.02966
5.894523,0.7255538,-17.43008,-11.33858,46.98358
5.894523,0.7255538,-17.43008,-11.33858,19.09352
5.894523,0.7255538,-17.43008,-11.33858,10.60214
5.894523,0.7255538,-17.43008,-11.33858,20.60011
5.894523,0.7255538,-17.43008,-11.33858,18.06171
5.894523,0.7255538,-17.43008,-11.33858,20.4367
5.894523,0.7255538,-17.43008,-11.33858,42.1342
5.894523,0.7255538,-17.43008,-11.33858,21.41374
5.894523,0.7255538,-17.43008,-11.33858,38.27975
5.894523,0.7255538,-17.43008,-11.33858,31.81823
5.894523,0.7255538,-17.43008,-11.33858,24.30713
5.894523,0.7255538,-17.43008,-11.33858,20.04303
5.894523,0.7255538,-17.43008,-11.33858,26.79559
5.894523,0.7255538,-17.43008,-11.33858,18.45203
5.894523,0.7255538,-17.43008,-11.33858,21.60631
5.894523,0.7255538,-17.43008,-11.33858,22.32282
5.894523,0.7255538,-17.43008,-11.33858,12.91796
5.894523,0.7255538,-17.43008,-11.33858,30.49211
5.894523,0.7255538,-17.43008,-11.33858,17.50776
5.894523,0.7255538,-17.43008,-11.33858,27.08678
5.894523,0.7255538,-17.43008,-11.33858,13.53182
