surface_dist,mean_patchiness,mean_phi,num_points
2,0.4761905,6.462255,32
3,0.350937,8.723812,72
4,0.3113486,9.078281,131
5,0.3070674,6.35023,218
6,0.3479147,5.715809,316
7,0.3833592,6.480241,438
8,0.3988507,6.733192,587
9,0.3890539,5.745985,778
10,0.3727478,3.910493,989
11,0.364079,2.368495,1194
12,0.3682874,1.225298,1395
13,0.3654369,0.315388,1592
14,0.3620951,-1.06272,1803
15,0.3544585,-1.517267,2039
16,0.3366407,-1.391556,2286
17,0.317072,-1.464517,2507
18,0.3118344,-1.493172,2661
19,0.3073048,-1.568808,2779
20,0.3004174,-1.47762,2890
21,0.2945637,-1.466017,3021
22,0.2931101,-1.526913,3147
23,0.294122,-1.551234,3281
24,0.2923836,-1.480094,3406
25,0.2881283,-1.297028,3543
26,0.2878291,-1.354766,3655
27,0.2882319,-1.444887,3754
28,0.2844377,-1.385323,3874
29,0.2778232,-1.248865,3994
30,0.2743053,-1.229228,4097
31,0.2715636,-1.323059,4206
32,0.2681968,-1.420635,4309
33,0.2651411,-1.483072,4399
34,0.2655209,-1.498832,4487
35,0.2670859,-1.552204,4582
36,0.269689,-1.768183,4693
37,0.2736349,-1.93331,4800
38,0.2775664,-2.159309,4910
39,0.2804353,-2.348904,5015
40,0.2810049,-2.42413,5126
41,0.2822606,-2.403797,5220
42,0.28351,-2.281159,5316
43,0.2839287,-2.136173,5416
44,0.2836278,-1.924379,5524
45,0.2835658,-1.702302,5642
46,0.2825869,-1.529611,5755
47,0.2812281,-1.380008,5848
48,0.2785978,-1.313239,5939
49,0.2754212,-1.31439,6017
50,0.272105,-1.333834,6102
51,0.2698036,-1.331612,6178
52,0.2687444,-1.376806,6258
53,0.2686122,-1.452041,6348
54,0.2686703,-1.491233,6425
55,0.2698742,-1.587626,6520
56,0.2707216,-1.656884,6617
57,0.269786,-1.674858,6708
58,0.2682658,-1.646966,6810
59,0.2683078,-1.640431,6924
60,0.2699335,-1.722039,7025
61,0.2700779,-1.767527,7143
62,0.2695383,-1.810013,7250
63,0.269628,-1.843628,7344
64,0.2695953,-1.814078,7444
65,0.2703584,-1.857348,7543
66,0.2714368,-1.952267,7634
67,0.2737556,-2.106693,7742
68,0.2749436,-2.116295,7840
69,0.2762487,-1.919092,7953
70,0.2772625,-1.70475,8071
71,0.2778111,-1.564981,8176
72,0.27706,-1.582489,8260
73,0.2773639,-1.550976,8351
74,0.2788262,-1.450894,8451
75,0.2794034,-1.380681,8548
76,0.2790809,-1.256464,8673
77,0.2784303,-1.110178,8795
78,0.277696,-1.022324,8914
79,0.2781906,-0.9621049,9029
80,0.2798534,-0.8736914,9145
81,0.2811992,-0.8226543,9244
82,0.2826042,-0.7424003,9353
83,0.2830873,-0.7115716,9452
84,0.2843764,-0.6641088,9549
85,0.2856874,-0.6332113,9635
86,0.2862411,-0.6172137,9735
87,0.2856568,-0.595065,9842
88,0.2836978,-0.5984234,9954
89,0.2816342,-0.5627754,10063
90,0.2802236,-0.5324188,10162
91,0.2790002,-0.4960467,10277
92,0.2786565,-0.4620478,10389
93,0.2779571,-0.4718621,10504
94,0.2777518,-0.5318816,10617
95,0.2772794,-0.5483743,10738
96,0.2772458,-0.6226205,10848
97,0.2763655,-0.6593271,10946
98,0.2746224,-0.6393983,11059
99,0.2721765,-0.5806907,11180
100,0.2704701,-0.5736171,11286
