radius,mean_patchiness,mean_phi,num_points
2,0,-1.283772,35
3,0.02783827,-0.9791944,194
4,0.1195023,-2.648293,614
5,0.1379385,-2.252982,1206
6,0.156655,-1.11675,2320
7,0.2091287,-0.8538361,3691
8,0.2755823,-0.3767791,5594
9,0.3299881,-0.2847037,8091
10,0.3600855,-0.6143514,10525
11,0.3732466,-0.6408954,13295
12,0.3747718,-0.5229343,15985
13,0.3790838,-0.7668892,19115
14,0.3824926,-1.184635,22127
15,0.3835206,-1.283945,24821
16,0.3849099,-1.270315,27249
17,0.3854852,-1.315856,29697
18,0.385102,-1.234928,32536
19,0.3846683,-1.07175,36001
20,0.3863754,-0.6943994,39930
21,0.3911747,-0.4219925,44327
22,0.397765,0.05124827,48885
23,0.403255,0.4168652,52799
24,0.4107837,0.9018651,56545
25,0.4181409,1.330477,60283
26,0.4260251,1.75209,64163
27,0.4297892,1.933795,68543
28,0.4327375,2.156314,72661
29,0.4343655,2.29475,76376
30,0.4368087,2.38502,80054
31,0.4380303,2.417494,83987
32,0.4417349,2.487511,88080
33,0.4464333,2.524873,92480
34,0.4469429,2.560353,95848
35,0.448009,2.58184,99200
36,0.4492106,2.509521,102411
37,0.4493269,2.494032,104292
38,0.4501147,2.49721,106060
39,0.4507664,2.487063,107982
40,0.451539,2.574014,109588
41,0.4534011,2.783853,110930
42,0.4529356,2.819875,111714
43,0.4515225,2.791659,112340
44,0.4505851,2.766153,112736
45,0.4504435,2.757208,112847
