patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
33.49976,42.15399,24.23086,-12.35004,24.85994
33.49976,42.15399,24.23086,-12.35004,48.09194
33.49976,42.15399,24.23086,-12.35004,58.05871
33.49976,42.15399,24.23086,-12.35004,50.45711
33.49976,42.15399,24.23086,-12.35004,23.64373
33.49976,42.15399,24.23086,-12.35004,46.36649
33.49976,42.15399,24.23086,-12.35004,58.27858
33.49976,42.15399,24.23086,-12.35004,50.29153
33.49976,42.15399,24.23086,-12.35004,38.33513
33.49976,42.15399,24.23086,-12.35004,22.77724
33.49976,42.15399,24.23086,-12.35004,26.10438
33.49976,42.15399,24.23086,-12.35004,24.75518
33.49976,42.15399,24.23086,-12.35004,53.12729
33.49976,42.15399,24.23086,-12.35004,22.69801
33.49976,42.15399,24.23086,-12.35004,55.62985
33.49976,42.15399,24.23086,-12.35004,25.33881
33.49976,42.15399,24.23086,-12.35004,49.84771
33.49976,42.15399,24.23086,-12.35004,37.65925
33.49976,42.15399,24.23086,-12.35004,35.80246
33.49976,42.15399,24.23086,-12.35004,24.55891
33.49976,42.15399,24.23086,-12.35004,26.65148
33.49976,42.15399,24.23086,-12.35004,14.20935
33.49976,42.15399,24.23086,-12.35004,49.98071
33.49976,42.15399,24.23086,-12.35004,24.7758
33.49976,42.15399,24.23086,-12.35004,40.10257
33.49976,42.15399,24.23086,-12.35004,18.95074
33.49976,42.15399,24.23086,-12.35004,51.02894
33.49976,42.15399,24.23086,-12.35004,25.83504
33.49976,42.15399,24.23086,-12.35004,53.84917
33.49976,42.15399,24.23086,-12.35004,58.53693
33.49976,42.15399,24.23086,-12.35004,19.38726
33.49976,42.15399,24.23086,-12.35004,45.4362
33.49976,42.15399,24.23086,-12.35004,34.72815
33.49976,42.15399,24.23086,-12.35004,53.99582
33.49976,42.15399,24.23086,-12.35004,23.02122
33.49976,42.15399,24.23086,-12.35004,42.16265
33.49976,42.15399,24.23086,-12.35004,56.30523
33.49976,42.15399,24.23086,-12.35004,16.7308
33.49976,42.15399,24.23086,-12.35004,63.02636
33.49976,42.15399,24.23086,-12.35004,47.81298
33.49976,42.15399,24.23086,-12.35004,33.22369
33.49976,42.15399,24.23086,-12.35004,20.59834
33.49976,42.15399,24.23086,-12.35004,14.25553
33.49976,42.15399,24.23086,-12.35004,19.56734
33.49976,42.15399,24.23086,-12.35004,33.89156
33.49976,42.15399,24.23086,-12.35004,19.27603
33.49976,42.15399,24.23086,-12.35004,19.91355
33.49976,42.15399,24.23086,-12.35004,34.49721
33.49976,42.15399,24.23086,-12.35004,22.39882
33.49976,42.15399,24.23086,-12.35004,7.277822
33.49976,42.15399,24.23086,-12.35004,12.38932
33.49976,42.15399,24.23086,-12.35004,31.97377
33.49976,42.15399,24.23086,-12.35004,52.15169
33.49976,42.15399,24.23086,-12.35004,18.921
33.49976,42.15399,24.23086,-12.35004,43.36999
33.49976,42.15399,24.23086,-12.35004,14.21641
33.49976,42.15399,24.23086,-12.35004,23.50693
33.49976,42.15399,24.23086,-12.35004,16.05463
33.49976,42.15399,24.23086,-12.35004,39.62527
33.49976,42.15399,24.23086,-12.35004,19.31068
33.49976,42.15399,24.23086,-12.35004,24.34605
33.49976,42.15399,24.23086,-12.35004,44.6982
33.49976,42.15399,24.23086,-12.35004,16.11637
33.49976,42.15399,24.23086,-12.35004,57.60474
33.49976,42.15399,24.23086,-12.35004,46.57099
33.49976,42.15399,24.23086,-12.35004,20.58441
33.49976,42.15399,24.23086,-12.35004,39.90832
33.49976,42.15399,24.23086,-12.35004,57.5513
33.49976,42.15399,24.23086,-12.35004,42.00673
33.49976,42.15399,24.23086,-12.35004,35.00853
33.49976,42.15399,24.23086,-12.35004,38.28589
33.49976,42.15399,24.23086,-12.35004,49.76942
33.49976,42.15399,24.23086,-12.35004,57.47807
33.49976,42.15399,24.23086,-12.35004,46.5349
33.49976,42.15399,24.23086,-12.35004,21.5526
33.49976,42.15399,24.23086,-12.35004,50.38073
33.49976,42.15399,24.23086,-12.35004,33.11559
33.49976,42.15399,24.23086,-12.35004,33.7439
33.49976,42.15399,24.23086,-12.35004,8.121173
33.49976,42.15399,24.23086,-12.35004,32.52897
33.49976,42.15399,24.23086,-12.35004,20.70312
33.49976,42.15399,24.23086,-12.35004,21.29623
33.49976,42.15399,24.23086,-12.35004,48.1002
33.49976,42.15399,24.23086,-12.35004,21.80526
33.49976,42.15399,24.23086,-12.35004,35.00012
33.49976,42.15399,24.23086,-12.35004,29.2703
33.49976,42.15399,24.23086,-12.35004,25.21107
33.49976,42.15399,24.23086,-12.35004,21.02859
33.49976,42.15399,24.23086,-12.35004,36.6759
33.49976,42.15399,24.23086,-12.35004,20.60371
33.49976,42.15399,24.23086,-12.35004,25.16686
33.49976,42.15399,24.23086,-12.35004,21.28684
33.49976,42.15399,24.23086,-12.35004,31.7408
33.49976,42.15399,24.23086,-12.35004,13.5672
33.49976,42.15399,24.23086,-12.35004,25.28336
33.49976,42.15399,24.23086,-12.35004,22.79583
33.49976,42.15399,24.23086,-12.35004,64.21386
33.49976,42.15399,24.23086,-12.35004,47.1977
33.49976,42.15399,24.23086,-12.35004,52.86581
33.49976,42.15399,24.23086,-12.35004,60.12391
33.49976,42.15399,24.23086,-12.35004,63.33812
33.49976,42.15399,24.23086,-12.35004,16.96887
33.49976,42.15399,24.23086,-12.35004,38.42636
33.49976,42.15399,24.23086,-12.35004,58.84281
33.49976,42.15399,24.23086,-12.35004,19.37586
33.49976,42.15399,24.23086,-12.35004,22.59772
33.49976,42.15399,24.23086,-12.35004,42.51377
33.49976,42.15399,24.23086,-12.35004,45.49294
33.49976,42.15399,24.23086,-12.35004,23.45664
33.49976,42.15399,24.23086,-12.35004,22.22971
33.49976,42.15399,24.23086,-12.35004,16.51754
33.49976,42.15399,24.23086,-12.35004,12.84024
33.49976,42.15399,24.23086,-12.35004,23.74444
33.49976,42.15399,24.23086,-12.35004,58.34471
33.49976,42.15399,24.23086,-12.35004,56.42721
33.49976,42.15399,24.23086,-12.35004,49.47858
33.49976,42.15399,24.23086,-12.35004,36.23544
33.49976,42.15399,24.23086,-12.35004,24.92704
33.49976,42.15399,24.23086,-12.35004,12.61274
33.49976,42.15399,24.23086,-12.35004,50.35889
33.49976,42.15399,24.23086,-12.35004,24.79432
33.49976,42.15399,24.23086,-12.35004,63.21493
33.49976,42.15399,24.23086,-12.35004,22.57095
33.49976,42.15399,24.23086,-12.35004,17.5578
33.49976,42.15399,24.23086,-12.35004,44.66026
33.49976,42.15399,24.23086,-12.35004,61.00307
33.49976,42.15399,24.23086,-12.35004,49.65196
33.49976,42.15399,24.23086,-12.35004,35.55971
33.49976,42.15399,24.23086,-12.35004,62.02238
33.49976,42.15399,24.23086,-12.35004,52.79579
33.49976,42.15399,24.23086,-12.35004,23.08586
33.49976,42.15399,24.23086,-12.35004,53.63084
33.49976,42.15399,24.23086,-12.35004,46.9323
33.49976,42.15399,24.23086,-12.35004,20.01522
33.49976,42.15399,24.23086,-12.35004,16.16022
33.49976,42.15399,24.23086,-12.35004,60.06448
33.49976,42.15399,24.23086,-12.35004,34.15613
33.49976,42.15399,24.23086,-12.35004,16.97558
33.49976,42.15399,24.23086,-12.35004,36.85899
33.49976,42.15399,24.23086,-12.35004,58.56435
33.49976,42.15399,24.23086,-12.35004,50.58539
33.49976,42.15399,24.23086,-12.35004,53.45348
33.49976,42.15399,24.23086,-12.35004,49.21256
33.49976,42.15399,24.23086,-12.35004,57.6407
33.49976,42.15399,24.23086,-12.35004,58.10606
