radius,mean_patchiness,mean_phi,num_points
2,0.02665476,-0.8606413,91
3,0.2369474,-4.036883,411
4,0.3467426,-5.38747,916
5,0.3183379,-5.0612,1491
6,0.3288923,-3.706636,2214
7,0.3243477,-1.344653,3002
8,0.3097678,0.2039961,3898
9,0.301865,0.5175852,4840
10,0.3192349,0.328701,6038
11,0.358238,0.4341187,7810
12,0.3842084,0.7849551,9880
13,0.4065548,1.030428,12058
14,0.4125645,0.8910156,13952
15,0.4016813,1.110721,16027
16,0.3925055,1.761964,18430
17,0.3995758,2.406294,20917
18,0.4144107,2.868842,24137
19,0.4197284,2.804047,27446
20,0.4248489,2.652667,30228
21,0.4300521,2.236589,33018
22,0.4328113,1.833433,35972
23,0.4339998,1.656034,39111
24,0.4324358,1.560689,42310
25,0.4320478,1.500507,45845
26,0.4351018,1.508228,50146
27,0.4419537,1.430905,55013
28,0.4455008,1.459828,59503
29,0.4413193,1.578003,63175
30,0.4360871,1.70128,66890
31,0.430515,1.766287,71241
32,0.4253059,1.860145,75124
33,0.4218039,1.998725,79116
34,0.4162759,1.976338,83332
35,0.4127818,1.843746,87545
36,0.4108119,1.619718,91562
37,0.4075393,1.441308,96302
38,0.4028455,1.321754,101808
39,0.3993475,1.034299,107626
40,0.3967375,0.9765549,112800
41,0.3960119,0.9807727,118146
42,0.3936371,1.048451,124118
43,0.390947,1.111109,130893
44,0.3896209,1.124878,137366
45,0.3897021,1.247824,143606
46,0.3902694,1.269295,149626
47,0.3900508,1.280908,154268
48,0.3902358,1.296082,157932
49,0.3897599,1.402826,159653
50,0.3891132,1.460558,160688
51,0.388705,1.450707,161251
52,0.388777,1.442757,161315
