patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
-10.02115,-19.1873,-16.99718,18.48769,47.1609
-10.02115,-19.1873,-16.99718,18.48769,31.30158
-10.02115,-19.1873,-16.99718,18.48769,29.9248
-10.02115,-19.1873,-16.99718,18.48769,50.39948
-10.02115,-19.1873,-16.99718,18.48769,40.76729
-10.02115,-19.1873,-16.99718,18.48769,45.25707
-10.02115,-19.1873,-16.99718,18.48769,23.51865
-10.02115,-19.1873,-16.99718,18.48769,38.48682
-10.02115,-19.1873,-16.99718,18.48769,23.02573
-10.02115,-19.1873,-16.99718,18.48769,48.32109
-10.02115,-19.1873,-16.99718,18.48769,4.015701
-10.02115,-19.1873,-16.99718,18.48769,37.4493
-10.02115,-19.1873,-16.99718,18.48769,22.25963
-10.02115,-19.1873,-16.99718,18.48769,42.70526
-10.02115,-19.1873,-16.99718,18.48769,33.81873
-10.02115,-19.1873,-16.99718,18.48769,28.40874
-10.02115,-19.1873,-16.99718,18.48769,39.49841
-10.02115,-19.1873,-16.99718,18.48769,50.09243
-10.02115,-19.1873,-16.99718,18.48769,49.68108
-10.02115,-19.1873,-16.99718,18.48769,22.93788
-10.02115,-19.1873,-16.99718,18.48769,31.63928
-10.02115,-19.1873,-16.99718,18.48769,26.98269
-10.02115,-19.1873,-16.99718,18.48769,17.81359
-10.02115,-19.1873,-16.99718,18.48769,37.23239
-10.02115,-19.1873,-16.99718,18.48769,50.80504
-10.02115,-19.1873,-16.99718,18.48769,43.77837
-10.02115,-19.1873,-16.99718,18.48769,30.7628
-10.02115,-19.1873,-16.99718,18.48769,50.96782
-10.02115,-19.1873,-16.99718,18.48769,23.35413
-10.02115,-19.1873,-16.99718,18.48769,32.76759
-10.02115,-19.1873,-16.99718,18.48769,41.55058
-10.02115,-19.1873,-16.99718,18.48769,34.89051
-10.02115,-19.1873,-16.99718,18.48769,37.1683
-10.02115,-19.1873,-16.99718,18.48769,36.24472
-10.02115,-19.1873,-16.99718,18.48769,12.42619
-10.02115,-19.1873,-16.99718,18.48769,30.94712
-10.02115,-19.1873,-16.99718,18.48769,14.69016
-10.02115,-19.1873,-16.99718,18.48769,15.07606
-10.02115,-19.1873,-16.99718,18.48769,24.95672
-10.02115,-19.1873,-16.99718,18.48769,29.27064
-10.02115,-19.1873,-16.99718,18.48769,38.21062
-10.02115,-19.1873,-16.99718,18.48769,32.66985
-10.02115,-19.1873,-16.99718,18.48769,25.07753
-10.02115,-19.1873,-16.99718,18.48769,25.21176
-10.02115,-19.1873,-16.99718,18.48769,18.59131
-10.02115,-19.1873,-16.99718,18.48769,35.8384
-10.02115,-19.1873,-16.99718,18.48769,20.66441
-10.02115,-19.1873,-16.99718,18.48769,20.60758
-10.02115,-19.1873,-16.99718,18.48769,27.78659
-10.02115,-19.1873,-16.99718,18.48769,19.86763
-10.02115,-19.1873,-16.99718,18.48769,23.68501
-10.02115,-19.1873,-16.99718,18.48769,52.40787
-10.02115,-19.1873,-16.99718,18.48769,30.00715
-10.02115,-19.1873,-16.99718,18.48769,40.23064
-10.02115,-19.1873,-16.99718,18.48769,33.25288
-10.02115,-19.1873,-16.99718,18.48769,38.91204
-10.02115,-19.1873,-16.99718,18.48769,24.91719
-10.02115,-19.1873,-16.99718,18.48769,38.48682
-10.02115,-19.1873,-16.99718,18.48769,33.89029
-10.02115,-19.1873,-16.99718,18.48769,23.91587
-10.02115,-19.1873,-16.99718,18.48769,29.21572
-10.02115,-19.1873,-16.99718,18.48769,34.10498
-10.02115,-19.1873,-16.99718,18.48769,31.40138
-10.02115,-19.1873,-16.99718,18.48769,41.86298
-10.02115,-19.1873,-16.99718,18.48769,51.62811
-10.02115,-19.1873,-16.99718,18.48769,38.50434
-10.02115,-19.1873,-16.99718,18.48769,18.16075
-10.02115,-19.1873,-16.99718,18.48769,20.44202
-10.02115,-19.1873,-16.99718,18.48769,7.116684
-10.02115,-19.1873,-16.99718,18.48769,47.19602
-10.02115,-19.1873,-16.99718,18.48769,51.04891
-10.02115,-19.1873,-16.99718,18.48769,9.028696
-10.02115,-19.1873,-16.99718,18.48769,51.54291
-10.02115,-19.1873,-16.99718,18.48769,37.67213
-10.02115,-19.1873,-16.99718,18.48769,24.07261
-10.02115,-19.1873,-16.99718,18.48769,49.98003
-10.02115,-19.1873,-16.99718,18.48769,31.48282
-10.02115,-19.1873,-16.99718,18.48769,31.72204
-10.02115,-19.1873,-16.99718,18.48769,30.19816
-10.02115,-19.1873,-16.99718,18.48769,49.9631
-10.02115,-19.1873,-16.99718,18.48769,20.0974
-10.02115,-19.1873,-16.99718,18.48769,35.51705
-10.02115,-19.1873,-16.99718,18.48769,37.36937
-10.02115,-19.1873,-16.99718,18.48769,17.31599
-10.02115,-19.1873,-16.99718,18.48769,18.58658
-10.02115,-19.1873,-16.99718,18.48769,15.03778
