patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
-10.01695,-5.947224,9.851605,16.87255,43.31456
-10.01695,-5.947224,9.851605,16.87255,41.98796
-10.01695,-5.947224,9.851605,16.87255,47.26736
-10.01695,-5.947224,9.851605,16.87255,40.91481
-10.01695,-5.947224,9.851605,16.87255,19.96272
-10.01695,-5.947224,9.851605,16.87255,11.01198
-10.01695,-5.947224,9.851605,16.87255,21.48734
-10.01695,-5.947224,9.851605,16.87255,10.70398
-10.01695,-5.947224,9.851605,16.87255,51.41963
-10.01695,-5.947224,9.851605,16.87255,20.01549
-10.01695,-5.947224,9.851605,16.87255,55.27158
-10.01695,-5.947224,9.851605,16.87255,19.35875
-10.01695,-5.947224,9.851605,16.87255,39.23099
-10.01695,-5.947224,9.851605,16.87255,18.40368
-10.01695,-5.947224,9.851605,16.87255,43.21961
-10.01695,-5.947224,9.851605,16.87255,22.37795
-10.01695,-5.947224,9.851605,16.87255,42.17768
-10.01695,-5.947224,9.851605,16.87255,9.118654
-10.01695,-5.947224,9.851605,16.87255,31.75016
-10.01695,-5.947224,9.851605,16.87255,18.3249
-10.01695,-5.947224,9.851605,16.87255,15.63522
-10.01695,-5.947224,9.851605,16.87255,12.79798
-10.01695,-5.947224,9.851605,16.87255,20.57388
-10.01695,-5.947224,9.851605,16.87255,22.43018
-10.01695,-5.947224,9.851605,16.87255,23.53352
-10.01695,-5.947224,9.851605,16.87255,33.294
-10.01695,-5.947224,9.851605,16.87255,47.86544
-10.01695,-5.947224,9.851605,16.87255,22.22688
-10.01695,-5.947224,9.851605,16.87255,60.7612
-10.01695,-5.947224,9.851605,16.87255,28.88344
-10.01695,-5.947224,9.851605,16.87255,49.37295
-10.01695,-5.947224,9.851605,16.87255,25.64673
-10.01695,-5.947224,9.851605,16.87255,9.167152
-10.01695,-5.947224,9.851605,16.87255,38.53208
-10.01695,-5.947224,9.851605,16.87255,6.278001
-10.01695,-5.947224,9.851605,16.87255,37.77798
-10.01695,-5.947224,9.851605,16.87255,28.19839
-10.01695,-5.947224,9.851605,16.87255,33.23373
-10.01695,-5.947224,9.851605,16.87255,27.44803
-10.01695,-5.947224,9.851605,16.87255,32.46414
-10.01695,-5.947224,9.851605,16.87255,35.21989
-10.01695,-5.947224,9.851605,16.87255,21.48608
-10.01695,-5.947224,9.851605,16.87255,21.75993
-10.01695,-5.947224,9.851605,16.87255,12.91679
-10.01695,-5.947224,9.851605,16.87255,12.2821
-10.01695,-5.947224,9.851605,16.87255,29.38072
-10.01695,-5.947224,9.851605,16.87255,18.92978
-10.01695,-5.947224,9.851605,16.87255,23.74033
-10.01695,-5.947224,9.851605,16.87255,14.8638
-10.01695,-5.947224,9.851605,16.87255,26.11081
-10.01695,-5.947224,9.851605,16.87255,43.52915
-10.01695,-5.947224,9.851605,16.87255,13.80266
-10.01695,-5.947224,9.851605,16.87255,20.72851
-10.01695,-5.947224,9.851605,16.87255,35.71885
-10.01695,-5.947224,9.851605,16.87255,28.69812
-10.01695,-5.947224,9.851605,16.87255,29.51656
-10.01695,-5.947224,9.851605,16.87255,48.90216
-10.01695,-5.947224,9.851605,16.87255,31.11033
-10.01695,-5.947224,9.851605,16.87255,27.96579
-10.01695,-5.947224,9.851605,16.87255,20.03931
-10.01695,-5.947224,9.851605,16.87255,11.76272
-10.01695,-5.947224,9.851605,16.87255,17.77562
-10.01695,-5.947224,9.851605,16.87255,26.47509
-10.01695,-5.947224,9.851605,16.87255,6.738789
-10.01695,-5.947224,9.851605,16.87255,31.13128
-10.01695,-5.947224,9.851605,16.87255,21.24617
-10.01695,-5.947224,9.851605,16.87255,27.01972
-10.01695,-5.947224,9.851605,16.87255,20.2079
-10.01695,-5.947224,9.851605,16.87255,18.5998
-10.01695,-5.947224,9.851605,16.87255,15.04524
-10.01695,-5.947224,9.851605,16.87255,37.91166
-10.01695,-5.947224,9.851605,16.87255,40.95088
-10.01695,-5.947224,9.851605,16.87255,42.74488
