surface_dist,mean_patchiness,mean_phi,num_points
2,0.6327264,-14.78979,179
3,0.4955284,-15.52304,392
4,0.4222353,-11.90211,690
5,0.4280074,-6.454749,1132
6,0.4600039,-2.46593,1692
7,0.4447387,-0.1820086,2438
8,0.4139729,0.8868979,3328
9,0.4064872,0.7452025,4321
10,0.4039673,0.1008134,5419
11,0.3925558,-0.2198932,6635
12,0.3768288,-0.3243372,8119
13,0.3581711,-0.5264971,9776
14,0.3511446,-0.8504545,11574
15,0.3590673,-0.8754299,13534
16,0.3712382,-0.7026789,15572
17,0.3804452,-0.1666738,17856
18,0.3858138,0.6678646,20478
19,0.3907803,1.487237,23317
20,0.3910367,1.91923,26101
21,0.3900233,1.847242,28815
22,0.3904674,1.876332,31668
23,0.3841141,1.859733,34472
24,0.376581,1.775888,37494
25,0.3670572,1.606115,40618
26,0.3577063,1.602817,43749
27,0.3520184,1.659464,47054
28,0.3483292,1.700336,50440
29,0.3472039,1.766652,53755
30,0.3456147,1.766915,57138
31,0.3435688,1.704472,60580
32,0.3417269,1.591616,64014
33,0.3409891,1.452288,67589
34,0.3417509,1.251343,71444
35,0.3419274,1.151086,75457
36,0.3445807,1.233517,79486
37,0.3496423,1.27094,83712
38,0.3533511,1.29314,87782
39,0.3585129,1.436888,92063
40,0.365078,1.670128,96552
41,0.3696051,1.845684,100770
42,0.3723946,1.985436,105007
43,0.3743553,2.150802,109296
44,0.3741861,2.302931,113492
45,0.374286,2.461914,117663
46,0.3742161,2.509967,121763
47,0.3734154,2.53414,125646
48,0.3727801,2.609246,129339
49,0.372176,2.655093,132879
50,0.3721235,2.670207,136226
51,0.37342,2.646361,139363
52,0.3748223,2.647726,142175
53,0.3761305,2.697512,144840
54,0.3778379,2.746957,147464
55,0.3794946,2.791927,149792
56,0.3807846,2.860174,151760
57,0.3807402,2.906326,153144
58,0.3806663,2.926185,154078
59,0.3807834,2.934165,154796
60,0.3809769,2.930891,155482
61,0.3812219,2.904469,156182
62,0.3815408,2.871922,156767
63,0.3816208,2.860308,157001
64,0.3816043,2.857754,157168
65,0.3814628,2.856127,157319
66,0.3813441,2.864499,157370
