patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
-10.01695,-5.947224,9.851605,16.61085,16.62067
-10.01695,-5.947224,9.851605,16.61085,46.81248
-10.01695,-5.947224,9.851605,16.61085,49.39346
-10.01695,-5.947224,9.851605,16.61085,39.00135
-10.01695,-5.947224,9.851605,16.61085,51.16022
-10.01695,-5.947224,9.851605,16.61085,50.61472
-10.01695,-5.947224,9.851605,16.61085,8.23944
-10.01695,-5.947224,9.851605,16.61085,12.21067
-10.01695,-5.947224,9.851605,16.61085,41.37497
-10.01695,-5.947224,9.851605,16.61085,35.78578
-10.01695,-5.947224,9.851605,16.61085,44.17797
-10.01695,-5.947224,9.851605,16.61085,36.85055
-10.01695,-5.947224,9.851605,16.61085,16.99289
-10.01695,-5.947224,9.851605,16.61085,50.71198
-10.01695,-5.947224,9.851605,16.61085,22.30899
-10.01695,-5.947224,9.851605,16.61085,37.9603
-10.01695,-5.947224,9.851605,16.61085,40.93873
-10.01695,-5.947224,9.851605,16.61085,53.42107
-10.01695,-5.947224,9.851605,16.61085,47.35323
-10.01695,-5.947224,9.851605,16.61085,36.59435
-10.01695,-5.947224,9.851605,16.61085,38.43927
-10.01695,-5.947224,9.851605,16.61085,42.31584
-10.01695,-5.947224,9.851605,16.61085,38.21729
-10.01695,-5.947224,9.851605,16.61085,43.20552
-10.01695,-5.947224,9.851605,16.61085,55.68448
-10.01695,-5.947224,9.851605,16.61085,19.25508
-10.01695,-5.947224,9.851605,16.61085,44.04716
-10.01695,-5.947224,9.851605,16.61085,42.1318
-10.01695,-5.947224,9.851605,16.61085,32.81779
-10.01695,-5.947224,9.851605,16.61085,21.4356
-10.01695,-5.947224,9.851605,16.61085,42.34562
-10.01695,-5.947224,9.851605,16.61085,8.094938
-10.01695,-5.947224,9.851605,16.61085,26.84433
-10.01695,-5.947224,9.851605,16.61085,50.27254
-10.01695,-5.947224,9.851605,16.61085,50.45702
-10.01695,-5.947224,9.851605,16.61085,35.93578
-10.01695,-5.947224,9.851605,16.61085,50.92331
-10.01695,-5.947224,9.851605,16.61085,45.27735
-10.01695,-5.947224,9.851605,16.61085,52.63192
-10.01695,-5.947224,9.851605,16.61085,19.17638
-10.01695,-5.947224,9.851605,16.61085,30.70048
-10.01695,-5.947224,9.851605,16.61085,32.11541
-10.01695,-5.947224,9.851605,16.61085,44.43428
-10.01695,-5.947224,9.851605,16.61085,26.54571
-10.01695,-5.947224,9.851605,16.61085,28.77057
-10.01695,-5.947224,9.851605,16.61085,40.55229
-10.01695,-5.947224,9.851605,16.61085,41.22438
-10.01695,-5.947224,9.851605,16.61085,44.21664
-10.01695,-5.947224,9.851605,16.61085,18.74384
-10.01695,-5.947224,9.851605,16.61085,40.27271
-10.01695,-5.947224,9.851605,16.61085,29.14682
-10.01695,-5.947224,9.851605,16.61085,30.58351
-10.01695,-5.947224,9.851605,16.61085,28.77545
-10.01695,-5.947224,9.851605,16.61085,40.56148
-10.01695,-5.947224,9.851605,16.61085,41.88929
-10.01695,-5.947224,9.851605,16.61085,33.49512
-10.01695,-5.947224,9.851605,16.61085,38.45997
-10.01695,-5.947224,9.851605,16.61085,50.02461
-10.01695,-5.947224,9.851605,16.61085,53.89556
-10.01695,-5.947224,9.851605,16.61085,26.58749
-10.01695,-5.947224,9.851605,16.61085,50.09923
-10.01695,-5.947224,9.851605,16.61085,37.70636
-10.01695,-5.947224,9.851605,16.61085,39.74143
-10.01695,-5.947224,9.851605,16.61085,21.40751
-10.01695,-5.947224,9.851605,16.61085,35.47713
-10.01695,-5.947224,9.851605,16.61085,40.02894
-10.01695,-5.947224,9.851605,16.61085,48.03658
-10.01695,-5.947224,9.851605,16.61085,49.12113
-10.01695,-5.947224,9.851605,16.61085,19.38874
-10.01695,-5.947224,9.851605,16.61085,49.8155
-10.01695,-5.947224,9.851605,16.61085,38.35866
-10.01695,-5.947224,9.851605,16.61085,18.12088
-10.01695,-5.947224,9.851605,16.61085,44.34766
-10.01695,-5.947224,9.851605,16.61085,18.93981
-10.01695,-5.947224,9.851605,16.61085,40.8854
-10.01695,-5.947224,9.851605,16.61085,52.85259
-10.01695,-5.947224,9.851605,16.61085,42.46027
-10.01695,-5.947224,9.851605,16.61085,48.51323
-10.01695,-5.947224,9.851605,16.61085,39.69602
-10.01695,-5.947224,9.851605,16.61085,47.65009
-10.01695,-5.947224,9.851605,16.61085,48.32822
-10.01695,-5.947224,9.851605,16.61085,41.89318
-10.01695,-5.947224,9.851605,16.61085,54.06762
-10.01695,-5.947224,9.851605,16.61085,51.48111
-10.01695,-5.947224,9.851605,16.61085,31.57181
-10.01695,-5.947224,9.851605,16.61085,40.53724
-10.01695,-5.947224,9.851605,16.61085,19.30767
-10.01695,-5.947224,9.851605,16.61085,27.46028
-10.01695,-5.947224,9.851605,16.61085,44.23751
-10.01695,-5.947224,9.851605,16.61085,26.53704
-10.01695,-5.947224,9.851605,16.61085,38.80223
-10.01695,-5.947224,9.851605,16.61085,34.61838
-10.01695,-5.947224,9.851605,16.61085,43.51642
-10.01695,-5.947224,9.851605,16.61085,47.25077
-10.01695,-5.947224,9.851605,16.61085,46.41679
-10.01695,-5.947224,9.851605,16.61085,50.09314
-10.01695,-5.947224,9.851605,16.61085,26.10046
-10.01695,-5.947224,9.851605,16.61085,53.46339
-10.01695,-5.947224,9.851605,16.61085,42.62685
-10.01695,-5.947224,9.851605,16.61085,36.67676
-10.01695,-5.947224,9.851605,16.61085,45.39695
-10.01695,-5.947224,9.851605,16.61085,29.94858
-10.01695,-5.947224,9.851605,16.61085,40.24458
-10.01695,-5.947224,9.851605,16.61085,55.94683
-10.01695,-5.947224,9.851605,16.61085,49.7694
-10.01695,-5.947224,9.851605,16.61085,54.47084
-10.01695,-5.947224,9.851605,16.61085,14.26419
-10.01695,-5.947224,9.851605,16.61085,18.64182
-10.01695,-5.947224,9.851605,16.61085,39.28639
-10.01695,-5.947224,9.851605,16.61085,35.78936
-10.01695,-5.947224,9.851605,16.61085,53.34165
-10.01695,-5.947224,9.851605,16.61085,49.3639
-10.01695,-5.947224,9.851605,16.61085,43.72504
-10.01695,-5.947224,9.851605,16.61085,53.71528
-10.01695,-5.947224,9.851605,16.61085,48.95871
-10.01695,-5.947224,9.851605,16.61085,7.454715
-10.01695,-5.947224,9.851605,16.61085,37.81425
-10.01695,-5.947224,9.851605,16.61085,51.8192
-10.01695,-5.947224,9.851605,16.61085,6.274854
-10.01695,-5.947224,9.851605,16.61085,40.38564
-10.01695,-5.947224,9.851605,16.61085,46.73207
-10.01695,-5.947224,9.851605,16.61085,20.90335
-10.01695,-5.947224,9.851605,16.61085,44.98819
-10.01695,-5.947224,9.851605,16.61085,51.42033
-10.01695,-5.947224,9.851605,16.61085,38.57999
-10.01695,-5.947224,9.851605,16.61085,35.62545
-10.01695,-5.947224,9.851605,16.61085,30.85628
-10.01695,-5.947224,9.851605,16.61085,52.59779
-10.01695,-5.947224,9.851605,16.61085,39.35114
-10.01695,-5.947224,9.851605,16.61085,15.99257
-10.01695,-5.947224,9.851605,16.61085,19.79721
-10.01695,-5.947224,9.851605,16.61085,40.91388
-10.01695,-5.947224,9.851605,16.61085,17.5963
-10.01695,-5.947224,9.851605,16.61085,16.30529
-10.01695,-5.947224,9.851605,16.61085,39.12569
-10.01695,-5.947224,9.851605,16.61085,14.99618
-10.01695,-5.947224,9.851605,16.61085,56.60933
-10.01695,-5.947224,9.851605,16.61085,40.7877
-10.01695,-5.947224,9.851605,16.61085,39.90031
-10.01695,-5.947224,9.851605,16.61085,41.85415
-10.01695,-5.947224,9.851605,16.61085,35.97784
-10.01695,-5.947224,9.851605,16.61085,49.37619
-10.01695,-5.947224,9.851605,16.61085,19.39864
-10.01695,-5.947224,9.851605,16.61085,43.82663
-10.01695,-5.947224,9.851605,16.61085,43.65549
-10.01695,-5.947224,9.851605,16.61085,15.96243
-10.01695,-5.947224,9.851605,16.61085,29.12567
-10.01695,-5.947224,9.851605,16.61085,5.641043
-10.01695,-5.947224,9.851605,16.61085,27.13113
-10.01695,-5.947224,9.851605,16.61085,44.06429
-10.01695,-5.947224,9.851605,16.61085,40.55877
-10.01695,-5.947224,9.851605,16.61085,41.36455
-10.01695,-5.947224,9.851605,16.61085,26.24418
-10.01695,-5.947224,9.851605,16.61085,37.80479
-10.01695,-5.947224,9.851605,16.61085,41.06544
-10.01695,-5.947224,9.851605,16.61085,45.78386
-10.01695,-5.947224,9.851605,16.61085,50.65767
-10.01695,-5.947224,9.851605,16.61085,17.29484
-10.01695,-5.947224,9.851605,16.61085,51.17742
-10.01695,-5.947224,9.851605,16.61085,51.81515
-10.01695,-5.947224,9.851605,16.61085,43.4594
-10.01695,-5.947224,9.851605,16.61085,55.67804
-10.01695,-5.947224,9.851605,16.61085,53.43731
-10.01695,-5.947224,9.851605,16.61085,56.02793
-10.01695,-5.947224,9.851605,16.61085,27.77666
-10.01695,-5.947224,9.851605,16.61085,45.67373
-10.01695,-5.947224,9.851605,16.61085,49.32002
-10.01695,-5.947224,9.851605,16.61085,30.17179
-10.01695,-5.947224,9.851605,16.61085,41.62765
-10.01695,-5.947224,9.851605,16.61085,53.58433
-10.01695,-5.947224,9.851605,16.61085,27.52787
-10.01695,-5.947224,9.851605,16.61085,53.92793
-10.01695,-5.947224,9.851605,16.61085,44.43838
-10.01695,-5.947224,9.851605,16.61085,54.09143
-10.01695,-5.947224,9.851605,16.61085,20.75059
-10.01695,-5.947224,9.851605,16.61085,38.71225
-10.01695,-5.947224,9.851605,16.61085,44.80285
-10.01695,-5.947224,9.851605,16.61085,41.39975
-10.01695,-5.947224,9.851605,16.61085,41.15022
-10.01695,-5.947224,9.851605,16.61085,43.92596
-10.01695,-5.947224,9.851605,16.61085,28.36322
-10.01695,-5.947224,9.851605,16.61085,39.26768
-10.01695,-5.947224,9.851605,16.61085,48.52148
-10.01695,-5.947224,9.851605,16.61085,44.32032
-10.01695,-5.947224,9.851605,16.61085,43.72824
-10.01695,-5.947224,9.851605,16.61085,12.26568
-10.01695,-5.947224,9.851605,16.61085,43.81969
-10.01695,-5.947224,9.851605,16.61085,46.22459
-10.01695,-5.947224,9.851605,16.61085,23.84539
-10.01695,-5.947224,9.851605,16.61085,25.42818
-10.01695,-5.947224,9.851605,16.61085,43.42277
-10.01695,-5.947224,9.851605,16.61085,12.527
-10.01695,-5.947224,9.851605,16.61085,36.11711
-10.01695,-5.947224,9.851605,16.61085,41.38544
-10.01695,-5.947224,9.851605,16.61085,48.54343
-10.01695,-5.947224,9.851605,16.61085,24.91549
-10.01695,-5.947224,9.851605,16.61085,29.98386
-10.01695,-5.947224,9.851605,16.61085,48.22322
-10.01695,-5.947224,9.851605,16.61085,5.627872
-10.01695,-5.947224,9.851605,16.61085,44.25381
-10.01695,-5.947224,9.851605,16.61085,15.07549
-10.01695,-5.947224,9.851605,16.61085,55.11639
-10.01695,-5.947224,9.851605,16.61085,53.61538
-10.01695,-5.947224,9.851605,16.61085,46.29192
-10.01695,-5.947224,9.851605,16.61085,43.61879
-10.01695,-5.947224,9.851605,16.61085,54.17164
-10.01695,-5.947224,9.851605,16.61085,46.4734
-10.01695,-5.947224,9.851605,16.61085,47.04593
-10.01695,-5.947224,9.851605,16.61085,40.46928
-10.01695,-5.947224,9.851605,16.61085,43.5256
-10.01695,-5.947224,9.851605,16.61085,20.45106
-10.01695,-5.947224,9.851605,16.61085,50.42768
-10.01695,-5.947224,9.851605,16.61085,41.24501
-10.01695,-5.947224,9.851605,16.61085,51.35033
-10.01695,-5.947224,9.851605,16.61085,51.6876
-10.01695,-5.947224,9.851605,16.61085,20.67565
-10.01695,-5.947224,9.851605,16.61085,30.41022
-10.01695,-5.947224,9.851605,16.61085,48.89596
-10.01695,-5.947224,9.851605,16.61085,15.88073
-10.01695,-5.947224,9.851605,16.61085,55.27163
-10.01695,-5.947224,9.851605,16.61085,47.21774
-10.01695,-5.947224,9.851605,16.61085,37.32114
-10.01695,-5.947224,9.851605,16.61085,48.71308
-10.01695,-5.947224,9.851605,16.61085,31.47783
-10.01695,-5.947224,9.851605,16.61085,44.83702
-10.01695,-5.947224,9.851605,16.61085,22.11796
-10.01695,-5.947224,9.851605,16.61085,43.45143
-10.01695,-5.947224,9.851605,16.61085,40.92935
-10.01695,-5.947224,9.851605,16.61085,55.47425
-10.01695,-5.947224,9.851605,16.61085,42.31927
-10.01695,-5.947224,9.851605,16.61085,24.60075
-10.01695,-5.947224,9.851605,16.61085,42.12387
-10.01695,-5.947224,9.851605,16.61085,40.57567
-10.01695,-5.947224,9.851605,16.61085,17.57179
-10.01695,-5.947224,9.851605,16.61085,44.53566
-10.01695,-5.947224,9.851605,16.61085,32.97477
-10.01695,-5.947224,9.851605,16.61085,31.22746
-10.01695,-5.947224,9.851605,16.61085,19.05746
-10.01695,-5.947224,9.851605,16.61085,46.35697
-10.01695,-5.947224,9.851605,16.61085,53.05194
-10.01695,-5.947224,9.851605,16.61085,28.64201
-10.01695,-5.947224,9.851605,16.61085,55.73809
-10.01695,-5.947224,9.851605,16.61085,54.33698
-10.01695,-5.947224,9.851605,16.61085,30.93261
-10.01695,-5.947224,9.851605,16.61085,6.05638
-10.01695,-5.947224,9.851605,16.61085,55.40872
-10.01695,-5.947224,9.851605,16.61085,35.58105
-10.01695,-5.947224,9.851605,16.61085,33.40535
-10.01695,-5.947224,9.851605,16.61085,45.23595
-10.01695,-5.947224,9.851605,16.61085,19.50823
-10.01695,-5.947224,9.851605,16.61085,46.22306
-10.01695,-5.947224,9.851605,16.61085,35.83883
-10.01695,-5.947224,9.851605,16.61085,54.9458
-10.01695,-5.947224,9.851605,16.61085,10.83896
-10.01695,-5.947224,9.851605,16.61085,37.5455
-10.01695,-5.947224,9.851605,16.61085,33.01408
-10.01695,-5.947224,9.851605,16.61085,49.13453
-10.01695,-5.947224,9.851605,16.61085,11.8753
-10.01695,-5.947224,9.851605,16.61085,44.45349
-10.01695,-5.947224,9.851605,16.61085,49.63751
-10.01695,-5.947224,9.851605,16.61085,38.95151
-10.01695,-5.947224,9.851605,16.61085,51.14283
-10.01695,-5.947224,9.851605,16.61085,52.8567
-10.01695,-5.947224,9.851605,16.61085,39.7035
-10.01695,-5.947224,9.851605,16.61085,54.48967
-10.01695,-5.947224,9.851605,16.61085,43.12346
-10.01695,-5.947224,9.851605,16.61085,41.62801
-10.01695,-5.947224,9.851605,16.61085,20.32717
-10.01695,-5.947224,9.851605,16.61085,37.84711
-10.01695,-5.947224,9.851605,16.61085,26.41656
-10.01695,-5.947224,9.851605,16.61085,41.45655
-10.01695,-5.947224,9.851605,16.61085,39.72163
-10.01695,-5.947224,9.851605,16.61085,51.54951
-10.01695,-5.947224,9.851605,16.61085,46.48685
-10.01695,-5.947224,9.851605,16.61085,30.1774
-10.01695,-5.947224,9.851605,16.61085,8.899569
-10.01695,-5.947224,9.851605,16.61085,41.83044
-10.01695,-5.947224,9.851605,16.61085,44.05011
-10.01695,-5.947224,9.851605,16.61085,34.42891
-10.01695,-5.947224,9.851605,16.61085,49.71844
-10.01695,-5.947224,9.851605,16.61085,52.33036
-10.01695,-5.947224,9.851605,16.61085,31.25709
-10.01695,-5.947224,9.851605,16.61085,44.09142
-10.01695,-5.947224,9.851605,16.61085,43.12381
-10.01695,-5.947224,9.851605,16.61085,27.21348
-10.01695,-5.947224,9.851605,16.61085,20.69645
-10.01695,-5.947224,9.851605,16.61085,40.27692
-10.01695,-5.947224,9.851605,16.61085,58.35286
-10.01695,-5.947224,9.851605,16.61085,45.60153
-10.01695,-5.947224,9.851605,16.61085,54.85535
-10.01695,-5.947224,9.851605,16.61085,39.95716
-10.01695,-5.947224,9.851605,16.61085,43.30291
-10.01695,-5.947224,9.851605,16.61085,39.32187
-10.01695,-5.947224,9.851605,16.61085,35.92789
-10.01695,-5.947224,9.851605,16.61085,46.80901
-10.01695,-5.947224,9.851605,16.61085,20.35875
-10.01695,-5.947224,9.851605,16.61085,42.86736
-10.01695,-5.947224,9.851605,16.61085,43.04673
-10.01695,-5.947224,9.851605,16.61085,56.7207
-10.01695,-5.947224,9.851605,16.61085,56.16773
-10.01695,-5.947224,9.851605,16.61085,32.78512
-10.01695,-5.947224,9.851605,16.61085,33.18127
-10.01695,-5.947224,9.851605,16.61085,9.493144
-10.01695,-5.947224,9.851605,16.61085,18.85555
-10.01695,-5.947224,9.851605,16.61085,20.5321
-10.01695,-5.947224,9.851605,16.61085,49.33515
-10.01695,-5.947224,9.851605,16.61085,44.80709
-10.01695,-5.947224,9.851605,16.61085,40.94901
-10.01695,-5.947224,9.851605,16.61085,40.02805
-10.01695,-5.947224,9.851605,16.61085,45.39687
-10.01695,-5.947224,9.851605,16.61085,49.78014
-10.01695,-5.947224,9.851605,16.61085,28.70465
-10.01695,-5.947224,9.851605,16.61085,38.06714
-10.01695,-5.947224,9.851605,16.61085,38.62922
-10.01695,-5.947224,9.851605,16.61085,55.58816
-10.01695,-5.947224,9.851605,16.61085,48.49396
-10.01695,-5.947224,9.851605,16.61085,5.551508
-10.01695,-5.947224,9.851605,16.61085,27.67009
-10.01695,-5.947224,9.851605,16.61085,39.08796
-10.01695,-5.947224,9.851605,16.61085,37.71046
-10.01695,-5.947224,9.851605,16.61085,24.24084
-10.01695,-5.947224,9.851605,16.61085,55.50095
-10.01695,-5.947224,9.851605,16.61085,16.7466
-10.01695,-5.947224,9.851605,16.61085,34.6684
-10.01695,-5.947224,9.851605,16.61085,46.01516
-10.01695,-5.947224,9.851605,16.61085,43.58241
-10.01695,-5.947224,9.851605,16.61085,27.46669
-10.01695,-5.947224,9.851605,16.61085,30.86636
-10.01695,-5.947224,9.851605,16.61085,39.94537
-10.01695,-5.947224,9.851605,16.61085,39.09315
-10.01695,-5.947224,9.851605,16.61085,19.78533
-10.01695,-5.947224,9.851605,16.61085,41.63387
-10.01695,-5.947224,9.851605,16.61085,29.93356
-10.01695,-5.947224,9.851605,16.61085,44.34435
-10.01695,-5.947224,9.851605,16.61085,23.65161
-10.01695,-5.947224,9.851605,16.61085,22.53419
-10.01695,-5.947224,9.851605,16.61085,55.80605
-10.01695,-5.947224,9.851605,16.61085,23.6741
-10.01695,-5.947224,9.851605,16.61085,51.94156
-10.01695,-5.947224,9.851605,16.61085,41.80972
-10.01695,-5.947224,9.851605,16.61085,51.1494
-10.01695,-5.947224,9.851605,16.61085,44.56068
-10.01695,-5.947224,9.851605,16.61085,38.66922
-10.01695,-5.947224,9.851605,16.61085,44.62054
-10.01695,-5.947224,9.851605,16.61085,42.78579
-10.01695,-5.947224,9.851605,16.61085,51.72583
-10.01695,-5.947224,9.851605,16.61085,18.96916
-10.01695,-5.947224,9.851605,16.61085,38.59665
-10.01695,-5.947224,9.851605,16.61085,54.89321
-10.01695,-5.947224,9.851605,16.61085,21.25293
-10.01695,-5.947224,9.851605,16.61085,46.42311
-10.01695,-5.947224,9.851605,16.61085,18.57425
-10.01695,-5.947224,9.851605,16.61085,47.34798
-10.01695,-5.947224,9.851605,16.61085,17.24889
-10.01695,-5.947224,9.851605,16.61085,45.9172
-10.01695,-5.947224,9.851605,16.61085,44.1021
-10.01695,-5.947224,9.851605,16.61085,49.52966
-10.01695,-5.947224,9.851605,16.61085,38.18509
-10.01695,-5.947224,9.851605,16.61085,45.58262
-10.01695,-5.947224,9.851605,16.61085,29.3028
-10.01695,-5.947224,9.851605,16.61085,45.31777
