surface_dist,mean_patchiness,mean_phi,num_points
2,0.2417474,-0.3040431,104
3,0.3614986,-5.764625,251
4,0.4085038,-7.141873,468
5,0.420261,-6.568354,748
6,0.4530038,-5.448217,1106
7,0.4808197,-3.858402,1565
8,0.495785,-3.262054,2099
9,0.5000079,-1.525783,2684
10,0.4911734,-0.7144826,3368
11,0.468057,-1.170988,4094
12,0.4383689,-1.553894,4833
13,0.4212405,-1.709186,5647
14,0.4167684,-1.648547,6502
15,0.4099674,-1.516025,7403
16,0.4078948,-1.125607,8388
17,0.4093432,-0.6318727,9496
18,0.4104194,0.2472538,10736
19,0.4089171,1.095704,12153
20,0.4000153,1.668306,13730
21,0.3951949,1.875756,15314
22,0.3882914,1.978301,16979
23,0.3819688,1.723761,18855
24,0.382155,1.367929,20820
25,0.3856211,1.352797,22913
26,0.3908941,1.546543,25198
27,0.393236,1.642339,27582
28,0.3940818,1.888005,30036
29,0.3919151,2.043074,32578
30,0.3853578,1.968004,35052
31,0.3811496,1.816963,37505
32,0.3820687,1.592112,40038
33,0.3867655,1.337564,42678
34,0.394783,1.165238,45438
35,0.4026433,1.060511,48353
36,0.4079791,0.9976199,51431
37,0.4116026,0.8442793,54797
38,0.4125498,0.7561634,58264
39,0.4137004,0.7875209,61821
40,0.4156016,0.8043706,65526
41,0.4164932,0.8359327,69224
42,0.4152651,0.812791,72888
43,0.4128743,0.8011184,76647
44,0.4102313,0.8187406,80229
45,0.4086306,0.8271931,83420
46,0.4080442,0.8911356,86552
47,0.4064526,0.9367057,89681
48,0.4045177,1.001654,92761
49,0.4039563,0.9878575,95672
50,0.404872,1.000122,98501
51,0.4062037,1.023701,101155
52,0.4070857,0.998773,103800
53,0.4072547,0.9695076,106414
54,0.4070437,0.9332637,109114
55,0.4068614,0.9259201,111800
56,0.4057839,0.9966688,114395
57,0.4049554,1.086674,116819
58,0.4050098,1.176949,119227
59,0.4057826,1.251885,121670
60,0.4064533,1.283125,124051
61,0.4060449,1.264973,126237
62,0.4057403,1.263877,128273
63,0.4059781,1.301958,130184
64,0.4064231,1.314298,132036
65,0.4071168,1.312951,133901
66,0.4074295,1.322762,135499
67,0.4077041,1.369101,136966
68,0.4075363,1.423908,138235
69,0.4069577,1.442041,139413
70,0.4062004,1.435171,140585
71,0.4054585,1.436997,141670
72,0.4045216,1.433318,142546
73,0.4038083,1.423381,143337
74,0.4036331,1.418125,144146
75,0.4040987,1.428443,144909
76,0.405315,1.45055,145671
77,0.4062572,1.489347,146393
78,0.4063711,1.525737,147065
79,0.4064121,1.579143,147715
80,0.4066791,1.600904,148294
81,0.4069458,1.612643,148897
82,0.4070578,1.633143,149475
83,0.4069809,1.643828,149977
84,0.406966,1.649869,150403
85,0.4068203,1.639361,150752
86,0.4068584,1.64546,150992
87,0.4071369,1.673823,151144
88,0.4074512,1.713667,151296
89,0.4075855,1.730871,151420
90,0.4075957,1.740119,151496
91,0.4075408,1.739571,151528
