surface_dist,mean_patchiness,mean_phi,num_points
2,0.2813802,-1.567506,125
3,0.3841558,1.338699,286
4,0.4105123,1.36846,511
5,0.3950635,1.214087,798
6,0.3906305,1.560353,1159
7,0.3949017,1.568267,1588
8,0.4009354,1.599628,2115
9,0.3987789,2.218707,2716
10,0.387609,3.413591,3333
11,0.3678276,4.520025,4032
12,0.3511572,4.951034,4752
13,0.3428958,5.678125,5397
14,0.335546,5.76413,5980
15,0.3310253,5.6991,6561
16,0.3330576,5.542302,7165
17,0.3382867,5.315475,7825
18,0.3433169,4.972187,8571
19,0.3481219,4.323338,9401
20,0.3526762,3.535929,10247
21,0.3547162,3.08154,11067
22,0.3565405,2.81017,11889
23,0.3634306,2.807065,12762
24,0.3711342,2.913421,13681
25,0.373583,2.967577,14600
26,0.3767593,3.138846,15518
27,0.3812841,3.207655,16372
28,0.3840672,3.260789,17150
29,0.3868482,3.316583,17917
30,0.3885016,3.300482,18727
31,0.3900235,3.432663,19567
32,0.3939354,3.58601,20466
33,0.4011723,3.750203,21385
34,0.4093841,3.919538,22305
35,0.4154221,3.992795,23119
36,0.4163634,3.96517,23887
37,0.4137956,3.84022,24649
38,0.4117702,3.806942,25441
39,0.4082574,3.81579,26355
40,0.4050798,3.8941,27315
41,0.4005175,3.965227,28301
42,0.3971066,3.994554,29235
43,0.3955242,4.037636,30236
44,0.3956068,4.138376,31434
45,0.3985457,4.219269,32805
46,0.400405,4.25702,34224
47,0.4036982,4.216929,35715
48,0.4075738,4.250796,37250
49,0.4114456,4.225143,39019
50,0.4137357,4.15135,40797
51,0.4131757,4.072345,42566
52,0.4115172,3.965596,44339
53,0.4071158,3.976041,46115
54,0.4012495,3.977088,47882
55,0.3960378,3.848382,49682
56,0.3929496,3.692767,51395
57,0.3912413,3.622893,53142
58,0.3902803,3.638356,54914
59,0.3907377,3.719346,56628
60,0.3920273,3.824234,58277
61,0.3927419,3.883487,59986
62,0.392524,3.825818,61685
63,0.3923472,3.757118,63322
64,0.3924286,3.731086,64994
65,0.3922535,3.716413,66767
66,0.392152,3.644514,68614
67,0.3936547,3.543521,70575
68,0.3961423,3.453753,72584
69,0.3983649,3.340928,74683
70,0.3998698,3.16399,76799
71,0.4014214,2.960832,78993
72,0.4023915,2.799127,81284
73,0.4017149,2.653199,83736
74,0.4008284,2.533653,86444
75,0.4013954,2.45111,89334
76,0.4027442,2.38777,92159
77,0.4048633,2.40099,94976
78,0.4066771,2.409491,97831
79,0.4076557,2.38624,100682
80,0.4082479,2.363407,103283
81,0.4086502,2.329894,105725
82,0.4091727,2.324095,108111
83,0.4093591,2.308659,110450
84,0.4095869,2.300384,112756
85,0.4098397,2.27301,114959
86,0.4097487,2.25339,117181
87,0.4091476,2.233158,119460
88,0.4087252,2.20003,121677
89,0.4076511,2.168902,123912
90,0.4070059,2.161285,126231
91,0.4069043,2.154988,128659
92,0.4074086,2.117893,130993
93,0.4074811,2.080649,133378
94,0.4075998,2.052021,135876
95,0.4077794,2.011069,138240
96,0.4071982,1.988562,140555
97,0.4066564,1.941208,142741
98,0.4067436,1.878998,144683
99,0.4071281,1.789146,146252
100,0.4079859,1.706842,147587
101,0.4087508,1.688148,148619
102,0.4088613,1.690036,149372
103,0.4085762,1.701092,149966
104,0.4080521,1.709507,150470
105,0.4077841,1.71622,150859
106,0.407597,1.721111,151188
107,0.4075818,1.731215,151400
108,0.4075823,1.740291,151518
109,0.4075408,1.739571,151528
