surface_dist,mean_patchiness,mean_phi,num_points
2,0.1487578,-3.261046,184
3,0.2742591,-4.48611,404
4,0.3699363,-4.407072,690
5,0.440605,-4.311664,1053
6,0.4644296,-4.497151,1510
7,0.4678029,-4.497649,2041
8,0.4898116,-4.235797,2661
9,0.517839,-4.360841,3434
10,0.5393198,-5.250566,4288
11,0.536339,-6.257675,5151
12,0.5237657,-5.981973,6036
13,0.5016161,-4.719444,6927
14,0.4814377,-3.423955,7875
15,0.469064,-1.58523,8811
16,0.4619879,-0.2695346,9799
17,0.454468,0.4501676,10906
18,0.443423,0.7250866,12164
19,0.43615,0.7266242,13627
20,0.4327245,0.6382734,15301
21,0.4328945,0.4099809,17100
22,0.4355335,0.02596541,19026
23,0.4369342,-0.2666984,21134
24,0.4330812,-0.3797759,23420
25,0.4290723,-0.1487219,25704
26,0.4241687,0.206199,28163
27,0.4213346,0.369714,30867
28,0.4217981,0.3772487,33881
29,0.4237486,0.3042148,36983
30,0.4265693,0.4992796,40272
31,0.4263184,0.9008085,43774
32,0.4226042,1.187625,47579
33,0.4179816,1.398071,51495
34,0.4154953,1.524858,55500
35,0.4148941,1.584889,59460
36,0.4156883,1.621378,63467
37,0.4150681,1.54757,67483
38,0.4121425,1.494922,71629
39,0.4092253,1.540659,75773
40,0.4089078,1.568417,79548
41,0.4093278,1.526098,83455
42,0.410346,1.503087,87528
43,0.4111686,1.510216,91503
44,0.4115502,1.486131,95477
45,0.4124764,1.469967,99437
46,0.4137436,1.472505,103361
47,0.4135959,1.451539,107311
48,0.4119934,1.359099,111124
49,0.4110836,1.300084,114979
50,0.4104009,1.28628,118866
51,0.4107165,1.286272,122782
52,0.4118057,1.236843,126567
53,0.4138092,1.202979,130572
54,0.4164383,1.209902,134614
55,0.4159929,1.187257,138625
56,0.4142777,1.130742,142401
57,0.4136375,1.113665,146027
58,0.413537,1.098698,149562
59,0.4129661,1.049894,152774
60,0.4121639,0.9935609,155324
61,0.4111956,0.9376274,157822
62,0.4091941,0.9112157,160199
63,0.4067662,0.8930477,162244
64,0.4050573,0.8527343,164016
65,0.4037361,0.8245493,165440
66,0.4027222,0.8081403,166503
67,0.402059,0.821704,167206
68,0.4019963,0.836155,167614
69,0.40201,0.8359442,167857
70,0.4020272,0.8302155,167942
71,0.4020296,0.8298444,167945
