patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
-6.151416,26.62453,57.01833,-11.95082,52.60316
-6.151416,26.62453,57.01833,-11.95082,21.83743
-6.151416,26.62453,57.01833,-11.95082,34.93602
-6.151416,26.62453,57.01833,-11.95082,44.19105
-6.151416,26.62453,57.01833,-11.95082,42.38152
-6.151416,26.62453,57.01833,-11.95082,44.21736
-6.151416,26.62453,57.01833,-11.95082,29.00513
-6.151416,26.62453,57.01833,-11.95082,40.15808
-6.151416,26.62453,57.01833,-11.95082,44.27919
-6.151416,26.62453,57.01833,-11.95082,13.51231
-6.151416,26.62453,57.01833,-11.95082,51.90459
-6.151416,26.62453,57.01833,-11.95082,21.33446
-6.151416,26.62453,57.01833,-11.95082,40.46622
-6.151416,26.62453,57.01833,-11.95082,44.19104
-6.151416,26.62453,57.01833,-11.95082,37.01854
-6.151416,26.62453,57.01833,-11.95082,56.11797
-6.151416,26.62453,57.01833,-11.95082,44.6031
-6.151416,26.62453,57.01833,-11.95082,53.30163
-6.151416,26.62453,57.01833,-11.95082,39.92199
-6.151416,26.62453,57.01833,-11.95082,46.41618
-6.151416,26.62453,57.01833,-11.95082,37.99123
-6.151416,26.62453,57.01833,-11.95082,29.48858
-6.151416,26.62453,57.01833,-11.95082,41.93257
-6.151416,26.62453,57.01833,-11.95082,23.92754
-6.151416,26.62453,57.01833,-11.95082,9.320889
-6.151416,26.62453,57.01833,-11.95082,48.50071
-6.151416,26.62453,57.01833,-11.95082,50.90369
-6.151416,26.62453,57.01833,-11.95082,56.52709
-6.151416,26.62453,57.01833,-11.95082,54.51757
-6.151416,26.62453,57.01833,-11.95082,46.74934
-6.151416,26.62453,57.01833,-11.95082,45.2192
-6.151416,26.62453,57.01833,-11.95082,50.24759
-6.151416,26.62453,57.01833,-11.95082,24.9255
-6.151416,26.62453,57.01833,-11.95082,33.61901
-6.151416,26.62453,57.01833,-11.95082,48.54546
-6.151416,26.62453,57.01833,-11.95082,47.42325
-6.151416,26.62453,57.01833,-11.95082,29.65263
-6.151416,26.62453,57.01833,-11.95082,32.65987
-6.151416,26.62453,57.01833,-11.95082,44.1487
-6.151416,26.62453,57.01833,-11.95082,52.73878
-6.151416,26.62453,57.01833,-11.95082,36.2935
-6.151416,26.62453,57.01833,-11.95082,48.52141
-6.151416,26.62453,57.01833,-11.95082,25.14063
-6.151416,26.62453,57.01833,-11.95082,35.41237
-6.151416,26.62453,57.01833,-11.95082,27.67854
-6.151416,26.62453,57.01833,-11.95082,39.20273
-6.151416,26.62453,57.01833,-11.95082,53.53976
-6.151416,26.62453,57.01833,-11.95082,41.5605
-6.151416,26.62453,57.01833,-11.95082,13.32469
-6.151416,26.62453,57.01833,-11.95082,44.02911
-6.151416,26.62453,57.01833,-11.95082,23.85362
-6.151416,26.62453,57.01833,-11.95082,56.98416
-6.151416,26.62453,57.01833,-11.95082,14.83164
-6.151416,26.62453,57.01833,-11.95082,22.49165
-6.151416,26.62453,57.01833,-11.95082,47.24964
-6.151416,26.62453,57.01833,-11.95082,50.42118
-6.151416,26.62453,57.01833,-11.95082,44.21023
-6.151416,26.62453,57.01833,-11.95082,27.90156
-6.151416,26.62453,57.01833,-11.95082,56.09748
-6.151416,26.62453,57.01833,-11.95082,35.53882
-6.151416,26.62453,57.01833,-11.95082,23.49215
-6.151416,26.62453,57.01833,-11.95082,15.09525
-6.151416,26.62453,57.01833,-11.95082,52.144
-6.151416,26.62453,57.01833,-11.95082,52.18007
-6.151416,26.62453,57.01833,-11.95082,50.18269
-6.151416,26.62453,57.01833,-11.95082,41.02589
-6.151416,26.62453,57.01833,-11.95082,10.06668
-6.151416,26.62453,57.01833,-11.95082,41.958
-6.151416,26.62453,57.01833,-11.95082,39.43734
-6.151416,26.62453,57.01833,-11.95082,55.00763
-6.151416,26.62453,57.01833,-11.95082,42.80187
-6.151416,26.62453,57.01833,-11.95082,33.82717
-6.151416,26.62453,57.01833,-11.95082,42.14688
-6.151416,26.62453,57.01833,-11.95082,39.98128
-6.151416,26.62453,57.01833,-11.95082,33.43349
-6.151416,26.62453,57.01833,-11.95082,28.52102
-6.151416,26.62453,57.01833,-11.95082,56.11917
-6.151416,26.62453,57.01833,-11.95082,39.12029
-6.151416,26.62453,57.01833,-11.95082,38.19806
-6.151416,26.62453,57.01833,-11.95082,11.49574
-6.151416,26.62453,57.01833,-11.95082,23.94616
-6.151416,26.62453,57.01833,-11.95082,58.79504
-6.151416,26.62453,57.01833,-11.95082,38.87281
-6.151416,26.62453,57.01833,-11.95082,38.93263
-6.151416,26.62453,57.01833,-11.95082,13.83449
-6.151416,26.62453,57.01833,-11.95082,46.03181
-6.151416,26.62453,57.01833,-11.95082,48.21188
-6.151416,26.62453,57.01833,-11.95082,41.11248
-6.151416,26.62453,57.01833,-11.95082,47.38538
-6.151416,26.62453,57.01833,-11.95082,54.3595
-6.151416,26.62453,57.01833,-11.95082,10.0437
-6.151416,26.62453,57.01833,-11.95082,43.22182
-6.151416,26.62453,57.01833,-11.95082,51.68396
-6.151416,26.62453,57.01833,-11.95082,43.66849
-6.151416,26.62453,57.01833,-11.95082,49.26985
-6.151416,26.62453,57.01833,-11.95082,49.89951
-6.151416,26.62453,57.01833,-11.95082,48.78373
-6.151416,26.62453,57.01833,-11.95082,53.5288
-6.151416,26.62453,57.01833,-11.95082,45.73933
