radius,mean_patchiness,mean_phi,num_points
2,0.7873908,-30.99669,284
3,0.6917313,-23.74684,521
4,0.5920497,-19.67179,819
5,0.4804759,-12.42702,1293
6,0.3818709,-6.212821,1898
7,0.3642257,-3.933349,2643
8,0.3737713,-3.119986,3569
9,0.3828768,-2.667796,4580
10,0.3920805,-2.62564,5802
11,0.4131584,-2.285879,7232
12,0.4369882,-1.578876,8919
13,0.4545717,-0.7414246,10844
14,0.4580593,-0.2268154,12828
15,0.4488448,0.2598561,15160
16,0.4369955,0.4022091,17504
17,0.4244716,0.4222321,19961
18,0.4125036,0.1494703,22641
19,0.4033583,0.1836192,25673
20,0.4033488,0.5886711,29803
21,0.4093415,0.9031047,33514
22,0.4093787,1.152646,37509
23,0.4087826,1.269046,42382
24,0.4106852,1.554513,48675
25,0.4123735,1.946075,55181
26,0.4119266,2.064248,61701
27,0.4063573,1.891218,68464
28,0.402204,1.639711,74747
29,0.3997996,1.610081,80475
30,0.4008878,1.770814,86695
31,0.4032709,1.766553,93092
32,0.4042239,1.709473,99657
33,0.4033821,1.605022,105640
34,0.4021847,1.599555,111260
35,0.3990639,1.634591,117316
36,0.3972692,1.690764,123708
37,0.3986283,1.711153,130597
38,0.3976478,1.678236,136281
39,0.3956948,1.599599,141399
40,0.3954432,1.531964,145896
41,0.3947812,1.404476,150272
42,0.3952436,1.242755,154777
43,0.395772,1.0905,158347
44,0.3967595,0.9991319,160900
45,0.3980682,0.9534314,162767
46,0.3995442,0.9228464,164691
47,0.4008673,0.8711558,166220
48,0.4018809,0.8581468,166897
49,0.4024199,0.8395712,167351
50,0.4025504,0.8296482,167696
51,0.4020793,0.8286465,167921
52,0.4020296,0.8298444,167945
