surface_dist,mean_patchiness,mean_phi,num_points
2,0.775674,34.46838,138
3,0.6588821,29.59582,310
4,0.6018927,21.19049,538
5,0.5877427,15.8665,831
6,0.5980496,12.09379,1222
7,0.5900176,9.284116,1689
8,0.5557919,7.212951,2233
9,0.5388287,5.95576,2852
10,0.5260648,5.381537,3555
11,0.5108719,5.442498,4367
12,0.494232,5.400437,5247
13,0.4919832,4.992219,6232
14,0.4846909,4.236917,7271
15,0.4736533,3.969408,8330
16,0.4609239,3.788436,9388
17,0.4535562,3.566087,10508
18,0.4521029,3.355493,11692
19,0.4617155,3.610467,12868
20,0.4727093,4.077578,14151
21,0.4760842,4.549824,15551
22,0.471657,4.894821,17002
23,0.4704829,5.045536,18527
24,0.4706788,5.177967,20159
25,0.4741817,5.148088,21976
26,0.4806376,5.2043,23888
27,0.4876481,5.267442,25908
28,0.4921328,5.343055,28052
29,0.4925085,5.290349,30305
30,0.4887768,5.033734,32547
31,0.4841328,4.714835,34753
32,0.4794002,4.289287,37059
33,0.4713465,3.813745,39450
34,0.4625611,3.426827,41872
35,0.4548187,3.216919,44394
36,0.4468987,3.195787,46801
37,0.440275,3.140207,49253
38,0.4346543,3.062485,51713
39,0.431649,3.01973,54238
40,0.4318289,3.046419,56986
41,0.434497,3.137966,59895
42,0.4374574,3.184508,62861
43,0.4387453,3.109973,65844
44,0.4376394,3.035774,68869
45,0.4367981,3.001328,71778
46,0.4375547,3.011333,74890
47,0.4413569,3.046852,78343
48,0.4463875,3.122078,81944
49,0.4503588,3.189076,85598
50,0.4529486,3.326217,89102
51,0.4536778,3.431978,92591
52,0.4530433,3.390588,95809
53,0.4530319,3.326001,99284
54,0.4529109,3.291129,102752
55,0.4526241,3.304752,105977
56,0.4540991,3.364785,108839
57,0.4555456,3.408245,111407
58,0.4551544,3.452032,113753
59,0.453702,3.442311,116017
60,0.4515416,3.41679,118204
61,0.4495118,3.369225,120234
62,0.4483335,3.331645,122267
63,0.4475017,3.309909,124351
64,0.4467426,3.325073,126329
65,0.4458217,3.311784,128374
66,0.4452819,3.334416,130387
67,0.4459078,3.413069,132390
68,0.4467002,3.498152,134162
69,0.4479194,3.503033,135909
70,0.4497624,3.475509,137774
71,0.4519279,3.401608,139630
72,0.4535438,3.350566,141591
73,0.4544193,3.350831,143432
74,0.4551224,3.371736,144996
75,0.4562129,3.35935,146257
76,0.4571511,3.317112,147242
77,0.4579434,3.285303,148014
78,0.4585858,3.287339,148476
79,0.4591525,3.31273,148659
80,0.4592902,3.324724,148701
