patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
31.46415,-8.82192,-31.80062,-12.41594,27.62017
31.46415,-8.82192,-31.80062,-12.41594,21.02707
31.46415,-8.82192,-31.80062,-12.41594,25.04114
31.46415,-8.82192,-31.80062,-12.41594,35.84973
31.46415,-8.82192,-31.80062,-12.41594,57.09925
31.46415,-8.82192,-31.80062,-12.41594,64.90104
31.46415,-8.82192,-31.80062,-12.41594,43.28112
31.46415,-8.82192,-31.80062,-12.41594,60.33876
31.46415,-8.82192,-31.80062,-12.41594,57.47072
31.46415,-8.82192,-31.80062,-12.41594,46.72379
31.46415,-8.82192,-31.80062,-12.41594,60.67747
31.46415,-8.82192,-31.80062,-12.41594,7.462991
31.46415,-8.82192,-31.80062,-12.41594,33.30671
31.46415,-8.82192,-31.80062,-12.41594,63.65462
31.46415,-8.82192,-31.80062,-12.41594,55.24655
31.46415,-8.82192,-31.80062,-12.41594,52.75344
31.46415,-8.82192,-31.80062,-12.41594,41.02457
31.46415,-8.82192,-31.80062,-12.41594,14.64522
31.46415,-8.82192,-31.80062,-12.41594,54.38799
31.46415,-8.82192,-31.80062,-12.41594,32.69563
31.46415,-8.82192,-31.80062,-12.41594,66.36235
31.46415,-8.82192,-31.80062,-12.41594,54.7449
31.46415,-8.82192,-31.80062,-12.41594,65.88486
31.46415,-8.82192,-31.80062,-12.41594,55.80442
31.46415,-8.82192,-31.80062,-12.41594,64.19655
31.46415,-8.82192,-31.80062,-12.41594,65.76132
31.46415,-8.82192,-31.80062,-12.41594,13.07245
31.46415,-8.82192,-31.80062,-12.41594,25.20397
31.46415,-8.82192,-31.80062,-12.41594,38.87675
31.46415,-8.82192,-31.80062,-12.41594,42.86138
31.46415,-8.82192,-31.80062,-12.41594,37.55217
31.46415,-8.82192,-31.80062,-12.41594,14.81033
31.46415,-8.82192,-31.80062,-12.41594,47.49543
31.46415,-8.82192,-31.80062,-12.41594,48.76677
31.46415,-8.82192,-31.80062,-12.41594,49.24271
31.46415,-8.82192,-31.80062,-12.41594,3.313678
31.46415,-8.82192,-31.80062,-12.41594,28.50486
31.46415,-8.82192,-31.80062,-12.41594,52.38102
31.46415,-8.82192,-31.80062,-12.41594,70.81473
31.46415,-8.82192,-31.80062,-12.41594,67.7304
31.46415,-8.82192,-31.80062,-12.41594,67.9108
31.46415,-8.82192,-31.80062,-12.41594,69.03016
31.46415,-8.82192,-31.80062,-12.41594,43.49214
31.46415,-8.82192,-31.80062,-12.41594,32.15752
31.46415,-8.82192,-31.80062,-12.41594,16.1608
31.46415,-8.82192,-31.80062,-12.41594,46.48841
31.46415,-8.82192,-31.80062,-12.41594,17.96299
31.46415,-8.82192,-31.80062,-12.41594,36.60686
31.46415,-8.82192,-31.80062,-12.41594,44.37939
31.46415,-8.82192,-31.80062,-12.41594,57.06199
31.46415,-8.82192,-31.80062,-12.41594,17.29283
31.46415,-8.82192,-31.80062,-12.41594,72.08868
31.46415,-8.82192,-31.80062,-12.41594,41.54034
31.46415,-8.82192,-31.80062,-12.41594,47.69917
31.46415,-8.82192,-31.80062,-12.41594,5.066757
31.46415,-8.82192,-31.80062,-12.41594,6.461684
31.46415,-8.82192,-31.80062,-12.41594,60.4266
31.46415,-8.82192,-31.80062,-12.41594,30.18628
31.46415,-8.82192,-31.80062,-12.41594,9.995839
31.46415,-8.82192,-31.80062,-12.41594,56.12333
31.46415,-8.82192,-31.80062,-12.41594,50.05622
31.46415,-8.82192,-31.80062,-12.41594,49.11046
