patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
-0.8250751,14.58096,-42.67843,-14.17973,57.26428
-0.8250751,14.58096,-42.67843,-14.17973,52.09798
-0.8250751,14.58096,-42.67843,-14.17973,52.45333
-0.8250751,14.58096,-42.67843,-14.17973,55.37099
-0.8250751,14.58096,-42.67843,-14.17973,55.42735
-0.8250751,14.58096,-42.67843,-14.17973,54.89217
-0.8250751,14.58096,-42.67843,-14.17973,58.67578
-0.8250751,14.58096,-42.67843,-14.17973,63.15627
-0.8250751,14.58096,-42.67843,-14.17973,54.18909
-0.8250751,14.58096,-42.67843,-14.17973,46.88217
-0.8250751,14.58096,-42.67843,-14.17973,59.75489
-0.8250751,14.58096,-42.67843,-14.17973,56.23898
-0.8250751,14.58096,-42.67843,-14.17973,57.70633
-0.8250751,14.58096,-42.67843,-14.17973,56.1995
-0.8250751,14.58096,-42.67843,-14.17973,57.88523
-0.8250751,14.58096,-42.67843,-14.17973,49.26882
-0.8250751,14.58096,-42.67843,-14.17973,60.51696
-0.8250751,14.58096,-42.67843,-14.17973,59.98477
-0.8250751,14.58096,-42.67843,-14.17973,56.93901
-0.8250751,14.58096,-42.67843,-14.17973,52.84586
-0.8250751,14.58096,-42.67843,-14.17973,48.93942
-0.8250751,14.58096,-42.67843,-14.17973,51.72282
-0.8250751,14.58096,-42.67843,-14.17973,54.81728
-0.8250751,14.58096,-42.67843,-14.17973,59.5533
-0.8250751,14.58096,-42.67843,-14.17973,63.58337
-0.8250751,14.58096,-42.67843,-14.17973,48.75233
-0.8250751,14.58096,-42.67843,-14.17973,47.63336
-0.8250751,14.58096,-42.67843,-14.17973,54.47055
-0.8250751,14.58096,-42.67843,-14.17973,53.56379
-0.8250751,14.58096,-42.67843,-14.17973,52.80312
-0.8250751,14.58096,-42.67843,-14.17973,56.1335
-0.8250751,14.58096,-42.67843,-14.17973,50.25216
-0.8250751,14.58096,-42.67843,-14.17973,54.13116
-0.8250751,14.58096,-42.67843,-14.17973,58.37405
-0.8250751,14.58096,-42.67843,-14.17973,53.3105
-0.8250751,14.58096,-42.67843,-14.17973,47.46795
-0.8250751,14.58096,-42.67843,-14.17973,53.37917
-0.8250751,14.58096,-42.67843,-14.17973,52.78873
-0.8250751,14.58096,-42.67843,-14.17973,46.68247
-0.8250751,14.58096,-42.67843,-14.17973,61.01921
-0.8250751,14.58096,-42.67843,-14.17973,55.38969
-0.8250751,14.58096,-42.67843,-14.17973,61.96083
-0.8250751,14.58096,-42.67843,-14.17973,53.02402
-0.8250751,14.58096,-42.67843,-14.17973,56.87641
-0.8250751,14.58096,-42.67843,-14.17973,54.79819
-0.8250751,14.58096,-42.67843,-14.17973,54.15703
-0.8250751,14.58096,-42.67843,-14.17973,53.61058
-0.8250751,14.58096,-42.67843,-14.17973,56.9665
-0.8250751,14.58096,-42.67843,-14.17973,60.63305
-0.8250751,14.58096,-42.67843,-14.17973,58.31525
-0.8250751,14.58096,-42.67843,-14.17973,62.89764
-0.8250751,14.58096,-42.67843,-14.17973,54.37258
-0.8250751,14.58096,-42.67843,-14.17973,58.05552
-0.8250751,14.58096,-42.67843,-14.17973,52.00769
-0.8250751,14.58096,-42.67843,-14.17973,49.3303
-0.8250751,14.58096,-42.67843,-14.17973,51.10609
-0.8250751,14.58096,-42.67843,-14.17973,58.94065
-0.8250751,14.58096,-42.67843,-14.17973,56.03837
-0.8250751,14.58096,-42.67843,-14.17973,52.28938
-0.8250751,14.58096,-42.67843,-14.17973,54.78991
-0.8250751,14.58096,-42.67843,-14.17973,59.95833
-0.8250751,14.58096,-42.67843,-14.17973,52.31364
-0.8250751,14.58096,-42.67843,-14.17973,53.56948
-0.8250751,14.58096,-42.67843,-14.17973,55.51031
-0.8250751,14.58096,-42.67843,-14.17973,51.82237
-0.8250751,14.58096,-42.67843,-14.17973,55.32994
-0.8250751,14.58096,-42.67843,-14.17973,53.21737
-0.8250751,14.58096,-42.67843,-14.17973,52.84125
-0.8250751,14.58096,-42.67843,-14.17973,49.32389
-0.8250751,14.58096,-42.67843,-14.17973,55.71237
-0.8250751,14.58096,-42.67843,-14.17973,58.16692
-0.8250751,14.58096,-42.67843,-14.17973,53.25863
-0.8250751,14.58096,-42.67843,-14.17973,52.33377
-0.8250751,14.58096,-42.67843,-14.17973,53.81273
-0.8250751,14.58096,-42.67843,-14.17973,55.46913
-0.8250751,14.58096,-42.67843,-14.17973,53.65989
-0.8250751,14.58096,-42.67843,-14.17973,50.63923
-0.8250751,14.58096,-42.67843,-14.17973,53.5224
-0.8250751,14.58096,-42.67843,-14.17973,56.1693
