radius,mean_patchiness,mean_phi,num_points
2,0.2069052,4.700573,133
3,0.2295522,3.743592,448
4,0.2162023,0.2948445,1041
5,0.1983201,-0.7634754,1680
6,0.2068103,-1.05242,2542
7,0.2495624,-1.313855,3696
8,0.2853662,-0.5868734,4958
9,0.2968255,0.2012947,6090
10,0.3111634,0.1365177,7262
11,0.3356517,-0.394504,8608
12,0.3622593,-0.4989689,10109
13,0.3820837,-0.9169172,12218
14,0.3924356,-1.215899,14509
15,0.4035325,-0.8610647,16942
16,0.4097908,-0.1066372,19359
17,0.4141792,0.7122942,22119
18,0.4178551,1.093842,24825
19,0.4231087,1.293339,27391
20,0.4332395,1.287416,30219
21,0.443852,0.9771963,33396
22,0.4562962,0.4099062,36987
23,0.4605923,0.06524599,40733
24,0.4631896,-0.1152995,45022
25,0.4624411,-0.1017448,49120
26,0.4658648,-0.002297351,53140
27,0.4690335,-0.0855033,57358
28,0.468946,-0.2415139,62138
29,0.4663316,-0.5892181,67169
30,0.4624384,-0.8618209,73051
31,0.461181,-0.6982064,78558
32,0.4617189,-0.4839123,83571
33,0.4629725,-0.4628659,88731
34,0.4624331,-0.5275078,93586
35,0.4615176,-0.4954453,97867
36,0.4577205,-0.4662092,102800
37,0.456558,-0.4659319,107847
38,0.4549813,-0.4687085,112829
39,0.450834,-0.4868531,118932
40,0.4455302,-0.566799,124565
41,0.4419711,-0.5770567,130407
42,0.4400411,-0.44639,136583
43,0.439343,-0.3003841,141944
44,0.4384741,-0.255175,146562
45,0.4375382,-0.1141372,151712
46,0.4375759,0.1526984,157157
47,0.4393066,0.4102663,162100
48,0.4401182,0.5689397,164875
49,0.4417874,0.6150771,166391
50,0.4430418,0.6301959,167216
51,0.444497,0.6437625,167727
52,0.4448518,0.6253687,167848
