radius,mean_patchiness,mean_phi,num_points
6,0.9864894,-21.69964,82
7,0.922823,-20.84804,302
8,0.8335496,-17.40672,620
9,0.6016365,-10.83422,1578
10,0.5364249,-6.408803,3100
11,0.4867596,-4.197117,4939
12,0.457774,-2.990919,7165
13,0.428554,-2.178394,10889
14,0.3971229,-1.919025,14951
15,0.3915007,-1.962126,19414
16,0.3922851,-1.512842,25111
17,0.3947873,-0.7729556,32113
18,0.4113747,-0.4604262,38905
19,0.4270967,-0.2388139,45324
20,0.4289138,0.17023,51724
21,0.4257618,0.6131939,59500
22,0.4228246,0.9600006,66072
23,0.4195299,0.9719342,71972
24,0.4139368,1.102476,78232
25,0.4120304,1.090891,84031
26,0.4122134,1.15389,89686
27,0.4121148,1.308713,94946
28,0.408217,1.307454,99631
29,0.4069557,1.361432,103383
30,0.406412,1.441902,106475
31,0.4076495,1.46981,109401
32,0.4085224,1.466203,112117
33,0.4084781,1.464184,114874
34,0.4084001,1.449763,117600
35,0.4085511,1.489981,119918
36,0.4072117,1.526847,122288
37,0.4061235,1.615885,124731
38,0.4052747,1.702074,127316
39,0.4030991,1.730813,130018
40,0.4025453,1.787531,132509
41,0.4032534,1.886385,135054
42,0.404604,2.01237,137334
43,0.4047271,2.083057,139651
44,0.4045327,2.148392,141463
45,0.4040166,2.147777,143040
46,0.4039336,2.114443,144650
47,0.4053468,2.122524,145559
48,0.4059845,2.109048,145875
49,0.406738,2.07606,146082
50,0.4067918,2.073669,146096
