surface_dist,mean_patchiness,mean_phi,num_points
2,0.9841132,-19.88811,163
3,0.9594289,-18.13515,338
4,0.9513032,-18.1253,550
5,0.9620346,-19.60756,801
6,0.9705322,-20.79603,1040
7,0.9745235,-21.82492,1209
8,0.9761777,-21.93949,1297
9,0.9762805,-21.92943,1303
10,0.976191,-21.89632,1306
11,0.971885,-21.24657,1375
12,0.9438952,-20.11652,1524
13,0.8792966,-18.17046,1765
14,0.8090919,-15.17631,2062
15,0.7312049,-12.88933,2442
16,0.6531608,-11.34171,2948
17,0.5717824,-8.993546,3543
18,0.5041894,-7.245075,4252
19,0.467771,-5.528399,5087
20,0.4505381,-4.441716,6093
21,0.4455639,-4.305212,7241
22,0.4551053,-3.893942,8600
23,0.4650778,-3.358365,10169
24,0.4709072,-2.531383,12036
25,0.4784468,-1.795909,14161
26,0.4858485,-1.378389,16456
27,0.4842493,-1.263013,18922
28,0.4833246,-0.9608735,21550
29,0.4860306,-0.4909807,24320
30,0.4937519,0.03419434,27348
31,0.4986641,0.349882,30401
32,0.5011055,0.4844126,33521
33,0.5005409,0.6392732,36868
34,0.4949231,0.9494838,40392
35,0.485567,1.207171,43977
36,0.4752885,1.303016,47597
37,0.4702101,1.306713,51173
38,0.4687687,1.419123,54702
39,0.4659322,1.510439,58174
40,0.4625611,1.561139,61666
41,0.4578365,1.615397,65168
42,0.4536227,1.730341,68558
43,0.4528002,1.771772,71953
44,0.4524401,1.852346,75344
45,0.4500558,1.898849,78926
46,0.4441101,1.999163,82766
47,0.437693,2.036286,86669
48,0.4327946,2.031311,90315
49,0.4291221,2.054339,93719
50,0.4246998,2.084021,97175
51,0.4208074,2.114211,100698
52,0.4175732,2.101359,104276
53,0.4146374,2.10254,107807
54,0.4132144,2.09817,111270
55,0.4126468,2.089895,114912
56,0.4102588,2.097023,118658
57,0.4072789,2.099231,122312
58,0.405459,2.115457,126003
59,0.4037007,2.134899,129469
60,0.4027598,2.143229,132713
61,0.4020796,2.159128,135617
62,0.4021098,2.177752,138158
63,0.402465,2.189743,140378
64,0.4030475,2.215395,142216
65,0.4036675,2.219195,143723
66,0.404471,2.180441,144967
67,0.4057056,2.112976,145769
68,0.4065142,2.081865,146023
69,0.4067918,2.073669,146096
