patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
-4.829179,-12.02385,12.61026,-22.34719,69.29425
-4.829179,-12.02385,12.61026,-22.34719,79.04601
-4.829179,-12.02385,12.61026,-22.34719,79.17484
-4.829179,-12.02385,12.61026,-22.34719,80.44009
-4.829179,-12.02385,12.61026,-22.34719,78.90781
-4.829179,-12.02385,12.61026,-22.34719,81.39677
-4.829179,-12.02385,12.61026,-22.34719,80.38917
-4.829179,-12.02385,12.61026,-22.34719,80.32093
-4.829179,-12.02385,12.61026,-22.34719,75.75123
-4.829179,-12.02385,12.61026,-22.34719,71.41985
-4.829179,-12.02385,12.61026,-22.34719,70.40093
-4.829179,-12.02385,12.61026,-22.34719,78.71946
-4.829179,-12.02385,12.61026,-22.34719,74.7071
-4.829179,-12.02385,12.61026,-22.34719,79.60324
-4.829179,-12.02385,12.61026,-22.34719,81.19203
-4.829179,-12.02385,12.61026,-22.34719,71.48521
-4.829179,-12.02385,12.61026,-22.34719,71.72158
-4.829179,-12.02385,12.61026,-22.34719,77.20042
-4.829179,-12.02385,12.61026,-22.34719,72.95482
-4.829179,-12.02385,12.61026,-22.34719,79.75094
-4.829179,-12.02385,12.61026,-22.34719,81.21751
-4.829179,-12.02385,12.61026,-22.34719,81.13239
-4.829179,-12.02385,12.61026,-22.34719,73.45426
-4.829179,-12.02385,12.61026,-22.34719,76.54627
-4.829179,-12.02385,12.61026,-22.34719,74.27417
-4.829179,-12.02385,12.61026,-22.34719,78.34854
-4.829179,-12.02385,12.61026,-22.34719,73.79115
-4.829179,-12.02385,12.61026,-22.34719,74.21124
-4.829179,-12.02385,12.61026,-22.34719,72.00393
-4.829179,-12.02385,12.61026,-22.34719,70.34212
-4.829179,-12.02385,12.61026,-22.34719,78.18194
-4.829179,-12.02385,12.61026,-22.34719,81.23499
-4.829179,-12.02385,12.61026,-22.34719,77.38889
-4.829179,-12.02385,12.61026,-22.34719,72.74229
-4.829179,-12.02385,12.61026,-22.34719,79.577
-4.829179,-12.02385,12.61026,-22.34719,82.63634
-4.829179,-12.02385,12.61026,-22.34719,80.30614
-4.829179,-12.02385,12.61026,-22.34719,80.62491
-4.829179,-12.02385,12.61026,-22.34719,78.71655
-4.829179,-12.02385,12.61026,-22.34719,79.27225
-4.829179,-12.02385,12.61026,-22.34719,80.83216
-4.829179,-12.02385,12.61026,-22.34719,82.14558
