patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
3.312497,3.008733,-10.68255,18.14878,33.05072
3.312497,3.008733,-10.68255,18.14878,40.18497
3.312497,3.008733,-10.68255,18.14878,44.87254
3.312497,3.008733,-10.68255,18.14878,35.22265
3.312497,3.008733,-10.68255,18.14878,43.64931
3.312497,3.008733,-10.68255,18.14878,30.25765
3.312497,3.008733,-10.68255,18.14878,39.83278
3.312497,3.008733,-10.68255,18.14878,39.51962
3.312497,3.008733,-10.68255,18.14878,45.42854
3.312497,3.008733,-10.68255,18.14878,29.87597
3.312497,3.008733,-10.68255,18.14878,32.12643
3.312497,3.008733,-10.68255,18.14878,30.01572
3.312497,3.008733,-10.68255,18.14878,28.9689
3.312497,3.008733,-10.68255,18.14878,41.39429
3.312497,3.008733,-10.68255,18.14878,31.02456
3.312497,3.008733,-10.68255,18.14878,40.11409
3.312497,3.008733,-10.68255,18.14878,45.23846
3.312497,3.008733,-10.68255,18.14878,35.29446
3.312497,3.008733,-10.68255,18.14878,41.57009
3.312497,3.008733,-10.68255,18.14878,30.79526
3.312497,3.008733,-10.68255,18.14878,33.94442
3.312497,3.008733,-10.68255,18.14878,22.21132
3.312497,3.008733,-10.68255,18.14878,29.27545
3.312497,3.008733,-10.68255,18.14878,36.49086
3.312497,3.008733,-10.68255,18.14878,38.957
3.312497,3.008733,-10.68255,18.14878,50.14054
3.312497,3.008733,-10.68255,18.14878,26.36418
3.312497,3.008733,-10.68255,18.14878,48.08049
3.312497,3.008733,-10.68255,18.14878,15.58667
3.312497,3.008733,-10.68255,18.14878,24.45524
3.312497,3.008733,-10.68255,18.14878,35.75391
3.312497,3.008733,-10.68255,18.14878,45.95243
3.312497,3.008733,-10.68255,18.14878,14.49394
3.312497,3.008733,-10.68255,18.14878,35.32974
3.312497,3.008733,-10.68255,18.14878,20.63752
3.312497,3.008733,-10.68255,18.14878,23.49034
3.312497,3.008733,-10.68255,18.14878,42.94636
3.312497,3.008733,-10.68255,18.14878,45.70564
3.312497,3.008733,-10.68255,18.14878,20.05781
3.312497,3.008733,-10.68255,18.14878,36.2784
3.312497,3.008733,-10.68255,18.14878,28.46173
3.312497,3.008733,-10.68255,18.14878,35.62105
3.312497,3.008733,-10.68255,18.14878,29.56801
3.312497,3.008733,-10.68255,18.14878,34.56847
3.312497,3.008733,-10.68255,18.14878,36.02723
3.312497,3.008733,-10.68255,18.14878,40.32668
3.312497,3.008733,-10.68255,18.14878,32.46591
3.312497,3.008733,-10.68255,18.14878,35.09468
3.312497,3.008733,-10.68255,18.14878,45.61782
3.312497,3.008733,-10.68255,18.14878,27.81868
3.312497,3.008733,-10.68255,18.14878,37.77491
3.312497,3.008733,-10.68255,18.14878,44.1029
3.312497,3.008733,-10.68255,18.14878,34.38323
3.312497,3.008733,-10.68255,18.14878,51.53436
3.312497,3.008733,-10.68255,18.14878,40.36946
3.312497,3.008733,-10.68255,18.14878,46.29786
3.312497,3.008733,-10.68255,18.14878,43.00053
3.312497,3.008733,-10.68255,18.14878,38.58788
3.312497,3.008733,-10.68255,18.14878,42.64891
3.312497,3.008733,-10.68255,18.14878,41.6362
3.312497,3.008733,-10.68255,18.14878,22.66688
3.312497,3.008733,-10.68255,18.14878,23.4155
3.312497,3.008733,-10.68255,18.14878,31.34341
3.312497,3.008733,-10.68255,18.14878,41.32171
3.312497,3.008733,-10.68255,18.14878,42.86845
3.312497,3.008733,-10.68255,18.14878,23.06539
3.312497,3.008733,-10.68255,18.14878,32.23488
3.312497,3.008733,-10.68255,18.14878,46.34968
3.312497,3.008733,-10.68255,18.14878,37.70344
3.312497,3.008733,-10.68255,18.14878,34.35975
3.312497,3.008733,-10.68255,18.14878,14.56377
3.312497,3.008733,-10.68255,18.14878,37.29392
3.312497,3.008733,-10.68255,18.14878,31.45926
3.312497,3.008733,-10.68255,18.14878,38.11584
3.312497,3.008733,-10.68255,18.14878,23.80077
3.312497,3.008733,-10.68255,18.14878,24.23697
3.312497,3.008733,-10.68255,18.14878,32.90636
3.312497,3.008733,-10.68255,18.14878,44.8816
3.312497,3.008733,-10.68255,18.14878,26.9674
3.312497,3.008733,-10.68255,18.14878,36.13816
3.312497,3.008733,-10.68255,18.14878,41.42911
3.312497,3.008733,-10.68255,18.14878,25.4304
3.312497,3.008733,-10.68255,18.14878,48.81745
3.312497,3.008733,-10.68255,18.14878,40.37858
3.312497,3.008733,-10.68255,18.14878,25.37248
3.312497,3.008733,-10.68255,18.14878,41.92978
3.312497,3.008733,-10.68255,18.14878,37.00372
3.312497,3.008733,-10.68255,18.14878,30.83992
3.312497,3.008733,-10.68255,18.14878,39.49392
3.312497,3.008733,-10.68255,18.14878,16.71255
3.312497,3.008733,-10.68255,18.14878,36.35331
3.312497,3.008733,-10.68255,18.14878,39.90082
3.312497,3.008733,-10.68255,18.14878,34.6314
3.312497,3.008733,-10.68255,18.14878,46.33375
3.312497,3.008733,-10.68255,18.14878,35.08514
3.312497,3.008733,-10.68255,18.14878,46.22223
3.312497,3.008733,-10.68255,18.14878,17.95605
3.312497,3.008733,-10.68255,18.14878,40.56683
3.312497,3.008733,-10.68255,18.14878,22.80418
3.312497,3.008733,-10.68255,18.14878,32.16506
3.312497,3.008733,-10.68255,18.14878,32.1574
3.312497,3.008733,-10.68255,18.14878,36.57064
3.312497,3.008733,-10.68255,18.14878,49.7433
3.312497,3.008733,-10.68255,18.14878,34.82644
3.312497,3.008733,-10.68255,18.14878,25.02957
3.312497,3.008733,-10.68255,18.14878,32.70334
3.312497,3.008733,-10.68255,18.14878,22.29135
3.312497,3.008733,-10.68255,18.14878,33.65377
3.312497,3.008733,-10.68255,18.14878,22.01866
3.312497,3.008733,-10.68255,18.14878,26.74801
3.312497,3.008733,-10.68255,18.14878,38.49749
3.312497,3.008733,-10.68255,18.14878,46.07322
3.312497,3.008733,-10.68255,18.14878,30.73329
3.312497,3.008733,-10.68255,18.14878,48.5363
3.312497,3.008733,-10.68255,18.14878,31.52604
3.312497,3.008733,-10.68255,18.14878,37.68425
3.312497,3.008733,-10.68255,18.14878,22.93662
3.312497,3.008733,-10.68255,18.14878,22.51235
3.312497,3.008733,-10.68255,18.14878,36.11273
3.312497,3.008733,-10.68255,18.14878,23.43228
3.312497,3.008733,-10.68255,18.14878,31.53334
3.312497,3.008733,-10.68255,18.14878,35.99127
3.312497,3.008733,-10.68255,18.14878,39.86343
3.312497,3.008733,-10.68255,18.14878,26.88619
3.312497,3.008733,-10.68255,18.14878,28.39104
3.312497,3.008733,-10.68255,18.14878,34.03426
3.312497,3.008733,-10.68255,18.14878,38.04535
3.312497,3.008733,-10.68255,18.14878,35.01626
3.312497,3.008733,-10.68255,18.14878,34.71392
3.312497,3.008733,-10.68255,18.14878,32.42866
3.312497,3.008733,-10.68255,18.14878,51.36901
3.312497,3.008733,-10.68255,18.14878,37.90865
3.312497,3.008733,-10.68255,18.14878,23.72106
3.312497,3.008733,-10.68255,18.14878,41.13548
3.312497,3.008733,-10.68255,18.14878,39.58677
3.312497,3.008733,-10.68255,18.14878,46.02351
3.312497,3.008733,-10.68255,18.14878,27.44193
3.312497,3.008733,-10.68255,18.14878,31.63901
3.312497,3.008733,-10.68255,18.14878,26.97487
3.312497,3.008733,-10.68255,18.14878,35.48209
3.312497,3.008733,-10.68255,18.14878,28.42759
3.312497,3.008733,-10.68255,18.14878,48.17909
3.312497,3.008733,-10.68255,18.14878,36.22277
3.312497,3.008733,-10.68255,18.14878,31.82155
3.312497,3.008733,-10.68255,18.14878,30.22015
3.312497,3.008733,-10.68255,18.14878,37.17036
3.312497,3.008733,-10.68255,18.14878,49.50969
3.312497,3.008733,-10.68255,18.14878,28.39982
3.312497,3.008733,-10.68255,18.14878,16.15411
3.312497,3.008733,-10.68255,18.14878,33.1063
3.312497,3.008733,-10.68255,18.14878,25.29242
3.312497,3.008733,-10.68255,18.14878,36.99583
3.312497,3.008733,-10.68255,18.14878,37.74861
3.312497,3.008733,-10.68255,18.14878,37.834
3.312497,3.008733,-10.68255,18.14878,25.73127
3.312497,3.008733,-10.68255,18.14878,39.79673
3.312497,3.008733,-10.68255,18.14878,36.98357
3.312497,3.008733,-10.68255,18.14878,46.48141
3.312497,3.008733,-10.68255,18.14878,35.00061
3.312497,3.008733,-10.68255,18.14878,29.37991
3.312497,3.008733,-10.68255,18.14878,43.15283
3.312497,3.008733,-10.68255,18.14878,32.96478
3.312497,3.008733,-10.68255,18.14878,25.44576
3.312497,3.008733,-10.68255,18.14878,32.80006
3.312497,3.008733,-10.68255,18.14878,44.50128
3.312497,3.008733,-10.68255,18.14878,29.34724
3.312497,3.008733,-10.68255,18.14878,26.23291
3.312497,3.008733,-10.68255,18.14878,20.81851
3.312497,3.008733,-10.68255,18.14878,23.17687
3.312497,3.008733,-10.68255,18.14878,45.32354
3.312497,3.008733,-10.68255,18.14878,31.65864
3.312497,3.008733,-10.68255,18.14878,30.49841
3.312497,3.008733,-10.68255,18.14878,35.91585
3.312497,3.008733,-10.68255,18.14878,29.76803
3.312497,3.008733,-10.68255,18.14878,39.54029
3.312497,3.008733,-10.68255,18.14878,32.06524
3.312497,3.008733,-10.68255,18.14878,42.137
3.312497,3.008733,-10.68255,18.14878,33.32717
3.312497,3.008733,-10.68255,18.14878,40.84676
3.312497,3.008733,-10.68255,18.14878,33.63404
3.312497,3.008733,-10.68255,18.14878,43.17018
3.312497,3.008733,-10.68255,18.14878,28.20366
3.312497,3.008733,-10.68255,18.14878,39.89423
3.312497,3.008733,-10.68255,18.14878,31.44046
3.312497,3.008733,-10.68255,18.14878,27.38851
3.312497,3.008733,-10.68255,18.14878,21.16715
3.312497,3.008733,-10.68255,18.14878,35.91682
3.312497,3.008733,-10.68255,18.14878,37.71745
3.312497,3.008733,-10.68255,18.14878,35.57289
3.312497,3.008733,-10.68255,18.14878,28.19698
3.312497,3.008733,-10.68255,18.14878,36.12354
3.312497,3.008733,-10.68255,18.14878,36.02133
3.312497,3.008733,-10.68255,18.14878,34.05267
3.312497,3.008733,-10.68255,18.14878,38.01449
3.312497,3.008733,-10.68255,18.14878,40.36824
3.312497,3.008733,-10.68255,18.14878,47.94077
3.312497,3.008733,-10.68255,18.14878,34.45856
3.312497,3.008733,-10.68255,18.14878,35.15554
3.312497,3.008733,-10.68255,18.14878,36.08386
3.312497,3.008733,-10.68255,18.14878,27.41015
3.312497,3.008733,-10.68255,18.14878,22.46934
3.312497,3.008733,-10.68255,18.14878,20.86289
3.312497,3.008733,-10.68255,18.14878,30.56602
3.312497,3.008733,-10.68255,18.14878,26.7282
3.312497,3.008733,-10.68255,18.14878,40.06517
3.312497,3.008733,-10.68255,18.14878,38.88707
3.312497,3.008733,-10.68255,18.14878,48.44316
