surface_dist,mean_patchiness,mean_phi,num_points
2,0.4848105,14.13216,179
3,0.4272929,11.21275,416
4,0.3918073,7.200889,793
5,0.378053,4.752032,1283
6,0.3576255,4.733093,1919
7,0.3377742,4.577025,2633
8,0.3150605,4.761127,3346
9,0.2979528,4.964448,4120
10,0.3004641,4.902715,4975
11,0.309427,4.779111,5935
12,0.33167,5.381301,6993
13,0.3589322,6.831207,8330
14,0.3912871,8.312616,9978
15,0.4087024,9.630738,11744
16,0.412926,10.26904,13653
17,0.4137067,10.19018,15597
18,0.4083431,9.433146,17368
19,0.4071138,8.217218,19054
20,0.4125601,7.315847,20895
21,0.4188015,6.718078,22910
22,0.4186257,6.158056,25018
23,0.4146295,5.652023,27240
24,0.4111715,5.189814,29587
25,0.4099146,4.736575,32089
26,0.4092465,4.338429,34725
27,0.4079095,4.106002,37383
28,0.4050558,4.00125,39917
29,0.4052606,3.706589,42349
30,0.4078414,3.407425,44719
31,0.4081333,3.245429,47010
32,0.4086144,3.234016,49213
33,0.4098511,3.360758,51421
34,0.4096375,3.478078,53734
35,0.4085277,3.543629,56219
36,0.4091973,3.609157,58703
37,0.4094779,3.634554,61383
38,0.4099254,3.576132,64021
39,0.4106698,3.501273,66438
40,0.4108707,3.383535,68876
41,0.4092782,3.274008,71408
42,0.4055948,3.185987,73835
43,0.4012229,3.220148,76242
44,0.3983592,3.281377,78744
45,0.397645,3.261386,81380
46,0.3986504,3.241173,84022
47,0.400631,3.194892,86778
48,0.4030081,3.074712,89169
49,0.4063124,2.940221,90947
50,0.4091853,2.810169,92475
51,0.4109339,2.694717,93692
52,0.4114138,2.603102,94749
53,0.4121881,2.549265,95581
54,0.4121387,2.492296,96225
55,0.4115051,2.444991,96794
56,0.411005,2.401426,97276
57,0.4106642,2.363195,97684
58,0.410725,2.327277,98060
59,0.4106773,2.279572,98410
60,0.4107542,2.197913,98785
61,0.4109136,2.14048,99128
62,0.4112808,2.102933,99392
63,0.4119096,2.074447,99540
64,0.4119151,2.074308,99541
