patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
349.2208,69.7854,407.0378,-12.51061,125.7369
349.2208,69.7854,407.0378,-12.51061,121.8524
349.2208,69.7854,407.0378,-12.51061,89.83979
349.2208,69.7854,407.0378,-12.51061,87.76759
349.2208,69.7854,407.0378,-12.51061,120.2783
349.2208,69.7854,407.0378,-12.51061,128.4113
349.2208,69.7854,407.0378,-12.51061,97.28673
349.2208,69.7854,407.0378,-12.51061,58.90372
349.2208,69.7854,407.0378,-12.51061,80.13043
349.2208,69.7854,407.0378,-12.51061,58.77299
349.2208,69.7854,407.0378,-12.51061,122.479
349.2208,69.7854,407.0378,-12.51061,106.5223
349.2208,69.7854,407.0378,-12.51061,85.47034
349.2208,69.7854,407.0378,-12.51061,59.38469
349.2208,69.7854,407.0378,-12.51061,76.26386
349.2208,69.7854,407.0378,-12.51061,102.5593
349.2208,69.7854,407.0378,-12.51061,108.9219
349.2208,69.7854,407.0378,-12.51061,115.5852
349.2208,69.7854,407.0378,-12.51061,128.2963
349.2208,69.7854,407.0378,-12.51061,78.96119
349.2208,69.7854,407.0378,-12.51061,87.9756
349.2208,69.7854,407.0378,-12.51061,97.83796
349.2208,69.7854,407.0378,-12.51061,96.88509
349.2208,69.7854,407.0378,-12.51061,88.28929
349.2208,69.7854,407.0378,-12.51061,73.49213
349.2208,69.7854,407.0378,-12.51061,89.55527
349.2208,69.7854,407.0378,-12.51061,126.6322
349.2208,69.7854,407.0378,-12.51061,92.1668
349.2208,69.7854,407.0378,-12.51061,78.50008
349.2208,69.7854,407.0378,-12.51061,67.06002
349.2208,69.7854,407.0378,-12.51061,113.862
349.2208,69.7854,407.0378,-12.51061,82.34536
349.2208,69.7854,407.0378,-12.51061,114.458
349.2208,69.7854,407.0378,-12.51061,118.0174
349.2208,69.7854,407.0378,-12.51061,63.68524
349.2208,69.7854,407.0378,-12.51061,107.2251
349.2208,69.7854,407.0378,-12.51061,88.79274
349.2208,69.7854,407.0378,-12.51061,121.2295
349.2208,69.7854,407.0378,-12.51061,89.13524
349.2208,69.7854,407.0378,-12.51061,99.17612
349.2208,69.7854,407.0378,-12.51061,79.495
349.2208,69.7854,407.0378,-12.51061,98.6907
349.2208,69.7854,407.0378,-12.51061,72.59373
349.2208,69.7854,407.0378,-12.51061,99.32845
349.2208,69.7854,407.0378,-12.51061,66.98284
349.2208,69.7854,407.0378,-12.51061,89.00814
349.2208,69.7854,407.0378,-12.51061,76.91909
