surface_dist,mean_patchiness,mean_phi,num_points
2,0.2135603,-3.806258,104
3,0.2725055,-6.801593,239
4,0.2644422,-6.491795,422
5,0.2351631,-4.85494,662
6,0.2654467,-2.194322,969
7,0.306682,-0.3593296,1340
8,0.3141984,0.9653897,1786
9,0.3024975,2.028722,2322
10,0.2825221,1.987268,2956
11,0.2721696,1.403798,3665
12,0.263677,1.221958,4570
13,0.2698788,0.6526315,5531
14,0.2768996,0.2695592,6634
15,0.2784136,0.2153489,7797
16,0.2805966,0.2845197,8932
17,0.2834671,0.3656744,10174
18,0.2836434,0.5962983,11503
19,0.2810045,0.7866648,12917
20,0.2755548,0.7970922,14387
21,0.2744767,0.5326041,15872
22,0.2793425,0.3604551,17419
23,0.2854353,0.2798135,19131
24,0.2902299,0.3347415,20916
25,0.2908064,0.4108473,22702
26,0.2908638,0.4711579,24447
27,0.2881313,0.5423941,26127
28,0.2836697,0.4310536,27687
29,0.2806146,0.2891277,29141
30,0.2762242,0.2093702,30631
31,0.2717492,0.204992,32133
32,0.2667571,0.2603783,33578
33,0.2618201,0.3502963,35042
34,0.2564798,0.4580409,36510
35,0.2518438,0.4551107,38003
36,0.2478624,0.4041256,39467
37,0.2433967,0.3823119,40892
38,0.238782,0.3775984,42310
39,0.2346722,0.3696586,43694
40,0.2309407,0.3539502,45032
41,0.2271839,0.3351138,46415
42,0.2233927,0.329263,47721
43,0.2203157,0.3382783,49031
44,0.2180915,0.382915,50276
45,0.2166289,0.4495782,51535
46,0.2148964,0.4940255,52825
47,0.2133397,0.5392649,54175
48,0.2125333,0.6302487,55479
49,0.2122958,0.7223527,56797
50,0.2118688,0.7253072,58122
51,0.2116536,0.7965489,59485
52,0.2113072,0.8977172,60882
53,0.2107935,0.9888915,62257
54,0.2110855,1.052736,63699
55,0.2127689,1.128517,65111
56,0.215405,1.215862,66550
57,0.2177632,1.279781,68075
58,0.2198957,1.333252,69754
59,0.2222296,1.440607,71542
60,0.2257117,1.615483,73525
61,0.2298046,1.769798,75615
62,0.2338269,1.84706,77729
63,0.2385376,1.864798,79865
64,0.2422595,1.866538,82189
65,0.2461822,1.876028,84619
66,0.2499059,1.861922,87058
67,0.2528026,1.820492,89395
68,0.2543764,1.792882,91682
69,0.2570722,1.7864,93781
70,0.2597555,1.814782,95681
71,0.2613788,1.861177,97565
72,0.2626231,1.881086,99436
73,0.2636243,1.87597,101173
74,0.264709,1.869041,102676
75,0.2659281,1.878154,104203
76,0.2679951,1.892958,105738
77,0.2703119,1.895397,107214
78,0.2720869,1.894865,108709
79,0.274036,1.892731,110246
80,0.2765516,1.848343,111813
81,0.2791345,1.810898,113397
82,0.2816017,1.778338,115017
83,0.2838216,1.740416,116572
84,0.2853996,1.704075,118011
85,0.2869147,1.70614,119256
86,0.288352,1.709548,120445
87,0.289817,1.70763,121597
88,0.2908712,1.688563,122665
89,0.2913288,1.660302,123657
90,0.2918643,1.616992,124644
91,0.2924732,1.591323,125674
92,0.293009,1.58707,126676
93,0.2935325,1.556109,127684
94,0.2938015,1.535402,128616
95,0.2938954,1.535399,129423
96,0.2942292,1.530059,130093
97,0.2945934,1.520162,130748
98,0.2948656,1.516063,131376
99,0.2949458,1.514561,131956
100,0.2948451,1.502774,132461
101,0.2947208,1.478334,132890
102,0.2946732,1.455949,133228
103,0.2945267,1.451142,133439
104,0.2942896,1.448199,133581
105,0.2942163,1.447451,133617
