radius,mean_patchiness,mean_phi,num_points
2,0.9470413,38.82718,81
3,0.78025,33.80625,357
4,0.6873378,23.31291,618
5,0.6190826,16.62774,891
6,0.5876607,11.8198,1234
7,0.5434848,8.867704,1815
8,0.4924166,7.542716,2484
9,0.4494858,7.14487,3145
10,0.4032141,5.886632,4082
11,0.3897098,5.447609,4859
12,0.3789292,5.220998,5590
13,0.3619039,4.627787,6365
14,0.3354889,3.783048,7428
15,0.3188689,3.32096,8571
16,0.3072979,3.058462,9681
17,0.2990286,2.610583,10881
18,0.2877426,2.448807,12147
19,0.2779119,2.286511,13235
20,0.2772974,2.003107,14518
21,0.2814391,2.134138,16173
22,0.2796848,1.956761,17729
23,0.2768232,1.769102,19273
24,0.2793429,1.386719,20992
25,0.2840246,1.091964,22895
26,0.2825277,0.7702765,24799
27,0.2796354,0.4838068,26919
28,0.2784551,0.293431,28927
29,0.2779647,0.1509624,30887
30,0.2720565,0.1075141,32922
31,0.2621403,0.1806765,34953
32,0.2509474,0.1914473,36987
33,0.2419424,0.1686881,39127
34,0.2348792,0.1531401,41173
35,0.2320029,0.181146,43181
36,0.2298581,0.2291424,44862
37,0.2282165,0.2755048,46517
38,0.2264647,0.3371216,48346
39,0.2225022,0.4381019,50430
40,0.2193021,0.5005432,52335
41,0.2173159,0.55009,54159
42,0.2158879,0.609166,55947
43,0.2152525,0.6423349,57978
44,0.2161818,0.7194315,59843
45,0.2177769,0.7900386,61915
46,0.219596,0.8976215,64333
47,0.2210276,0.9363639,66585
48,0.222296,1.03361,69172
49,0.2257869,1.217627,71841
50,0.2283545,1.347438,74429
51,0.2313796,1.483695,76780
52,0.2353036,1.62565,78589
53,0.2379746,1.703719,80329
54,0.2393606,1.72728,82009
55,0.2408463,1.745948,83501
56,0.2421141,1.772092,85004
57,0.245008,1.854076,86548
58,0.2487821,1.91061,88017
59,0.2518456,1.979771,89538
60,0.2549505,2.021219,91157
61,0.257279,2.024904,93028
62,0.2609355,2.025002,95524
63,0.2628698,1.965899,97343
64,0.2656491,1.875519,98957
65,0.2687585,1.84327,100636
66,0.2703629,1.810783,102248
67,0.2714766,1.766984,103946
68,0.2726072,1.742698,105631
69,0.2739525,1.685945,107137
70,0.2755986,1.672301,108426
71,0.2770042,1.727316,109763
72,0.2778094,1.788362,111076
73,0.2788794,1.870227,112908
74,0.2795115,1.869642,114444
75,0.2801073,1.866507,115849
76,0.280439,1.803061,117198
77,0.2808875,1.764456,118565
78,0.2823223,1.725289,120028
79,0.2846435,1.686653,121484
80,0.2870748,1.683237,123104
81,0.289256,1.706871,124678
82,0.2920013,1.66786,126545
83,0.2938844,1.650625,128425
84,0.2945428,1.601339,129854
85,0.2941278,1.540847,131307
86,0.2935662,1.497695,132481
87,0.2932929,1.48382,133201
88,0.2937953,1.467391,133501
89,0.2941172,1.453659,133596
90,0.2942163,1.447451,133617
