patch_centroid_x,patch_centroid_y,patch_centroid_z,patch_mean_q_sampled,distance_to_sampled_patch_node
-14.35979,33.97758,21.96745,17.45382,13.71874
-14.35979,33.97758,21.96745,17.45382,31.50549
-14.35979,33.97758,21.96745,17.45382,25.76548
-14.35979,33.97758,21.96745,17.45382,25.35728
-14.35979,33.97758,21.96745,17.45382,29.20778
-14.35979,33.97758,21.96745,17.45382,13.71414
-14.35979,33.97758,21.96745,17.45382,11.31442
-14.35979,33.97758,21.96745,17.45382,9.192115
-14.35979,33.97758,21.96745,17.45382,16.35446
-14.35979,33.97758,21.96745,17.45382,10.71286
-14.35979,33.97758,21.96745,17.45382,26.11909
-14.35979,33.97758,21.96745,17.45382,35.43875
-14.35979,33.97758,21.96745,17.45382,21.42937
-14.35979,33.97758,21.96745,17.45382,13.25565
-14.35979,33.97758,21.96745,17.45382,30.98632
-14.35979,33.97758,21.96745,17.45382,25.51832
-14.35979,33.97758,21.96745,17.45382,25.2156
-14.35979,33.97758,21.96745,17.45382,17.9608
-14.35979,33.97758,21.96745,17.45382,22.52353
-14.35979,33.97758,21.96745,17.45382,15.08801
-14.35979,33.97758,21.96745,17.45382,24.9282
-14.35979,33.97758,21.96745,17.45382,30.69202
-14.35979,33.97758,21.96745,17.45382,28.58984
-14.35979,33.97758,21.96745,17.45382,21.33266
-14.35979,33.97758,21.96745,17.45382,37.1768
-14.35979,33.97758,21.96745,17.45382,17.43118
-14.35979,33.97758,21.96745,17.45382,24.96887
-14.35979,33.97758,21.96745,17.45382,32.91496
-14.35979,33.97758,21.96745,17.45382,35.87612
-14.35979,33.97758,21.96745,17.45382,23.75412
-14.35979,33.97758,21.96745,17.45382,24.90536
-14.35979,33.97758,21.96745,17.45382,19.86005
-14.35979,33.97758,21.96745,17.45382,22.26028
-14.35979,33.97758,21.96745,17.45382,23.14097
-14.35979,33.97758,21.96745,17.45382,29.88498
-14.35979,33.97758,21.96745,17.45382,31.78227
-14.35979,33.97758,21.96745,17.45382,13.0703
-14.35979,33.97758,21.96745,17.45382,23.52127
-14.35979,33.97758,21.96745,17.45382,14.55118
-14.35979,33.97758,21.96745,17.45382,14.5583
-14.35979,33.97758,21.96745,17.45382,33.52276
-14.35979,33.97758,21.96745,17.45382,17.68886
-14.35979,33.97758,21.96745,17.45382,16.44559
-14.35979,33.97758,21.96745,17.45382,12.3111
-14.35979,33.97758,21.96745,17.45382,12.51335
-14.35979,33.97758,21.96745,17.45382,15.27544
-14.35979,33.97758,21.96745,17.45382,15.63766
-14.35979,33.97758,21.96745,17.45382,19.72878
-14.35979,33.97758,21.96745,17.45382,10.28763
-14.35979,33.97758,21.96745,17.45382,13.60319
-14.35979,33.97758,21.96745,17.45382,17.25437
-14.35979,33.97758,21.96745,17.45382,16.52436
-14.35979,33.97758,21.96745,17.45382,21.04492
-14.35979,33.97758,21.96745,17.45382,20.10129
-14.35979,33.97758,21.96745,17.45382,38.64342
-14.35979,33.97758,21.96745,17.45382,15.0762
-14.35979,33.97758,21.96745,17.45382,13.01844
-14.35979,33.97758,21.96745,17.45382,17.1095
-14.35979,33.97758,21.96745,17.45382,18.18344
-14.35979,33.97758,21.96745,17.45382,15.88233
-14.35979,33.97758,21.96745,17.45382,18.52561
-14.35979,33.97758,21.96745,17.45382,19.02792
-14.35979,33.97758,21.96745,17.45382,19.63864
-14.35979,33.97758,21.96745,17.45382,13.85241
-14.35979,33.97758,21.96745,17.45382,14.43684
-14.35979,33.97758,21.96745,17.45382,13.94439
-14.35979,33.97758,21.96745,17.45382,35.14298
-14.35979,33.97758,21.96745,17.45382,13.84233
-14.35979,33.97758,21.96745,17.45382,12.82427
-14.35979,33.97758,21.96745,17.45382,22.59588
-14.35979,33.97758,21.96745,17.45382,38.32373
-14.35979,33.97758,21.96745,17.45382,23.35637
-14.35979,33.97758,21.96745,17.45382,22.23299
-14.35979,33.97758,21.96745,17.45382,34.05211
-14.35979,33.97758,21.96745,17.45382,14.86783
-14.35979,33.97758,21.96745,17.45382,35.62191
-14.35979,33.97758,21.96745,17.45382,17.83804
-14.35979,33.97758,21.96745,17.45382,14.31768
-14.35979,33.97758,21.96745,17.45382,37.04206
-14.35979,33.97758,21.96745,17.45382,31.70581
-14.35979,33.97758,21.96745,17.45382,32.24703
-14.35979,33.97758,21.96745,17.45382,11.09566
-14.35979,33.97758,21.96745,17.45382,13.76879
-14.35979,33.97758,21.96745,17.45382,22.6558
-14.35979,33.97758,21.96745,17.45382,15.84064
-14.35979,33.97758,21.96745,17.45382,20.54964
-14.35979,33.97758,21.96745,17.45382,12.4387
-14.35979,33.97758,21.96745,17.45382,38.64811
-14.35979,33.97758,21.96745,17.45382,13.54883
-14.35979,33.97758,21.96745,17.45382,23.89136
-14.35979,33.97758,21.96745,17.45382,11.0621
-14.35979,33.97758,21.96745,17.45382,34.38058
-14.35979,33.97758,21.96745,17.45382,24.95822
-14.35979,33.97758,21.96745,17.45382,34.93467
-14.35979,33.97758,21.96745,17.45382,31.31135
-14.35979,33.97758,21.96745,17.45382,20.70713
-14.35979,33.97758,21.96745,17.45382,25.15298
-14.35979,33.97758,21.96745,17.45382,10.41817
-14.35979,33.97758,21.96745,17.45382,10.59815
-14.35979,33.97758,21.96745,17.45382,25.01147
-14.35979,33.97758,21.96745,17.45382,27.22506
-14.35979,33.97758,21.96745,17.45382,23.17439
-14.35979,33.97758,21.96745,17.45382,28.49195
-14.35979,33.97758,21.96745,17.45382,11.83097
-14.35979,33.97758,21.96745,17.45382,15.02836
-14.35979,33.97758,21.96745,17.45382,36.93576
-14.35979,33.97758,21.96745,17.45382,29.97455
-14.35979,33.97758,21.96745,17.45382,30.85526
-14.35979,33.97758,21.96745,17.45382,25.77942
-14.35979,33.97758,21.96745,17.45382,25.35738
-14.35979,33.97758,21.96745,17.45382,12.88121
-14.35979,33.97758,21.96745,17.45382,20.33961
-14.35979,33.97758,21.96745,17.45382,16.07265
-14.35979,33.97758,21.96745,17.45382,13.70079
-14.35979,33.97758,21.96745,17.45382,11.06245
-14.35979,33.97758,21.96745,17.45382,13.82388
-14.35979,33.97758,21.96745,17.45382,32.41085
-14.35979,33.97758,21.96745,17.45382,34.02817
-14.35979,33.97758,21.96745,17.45382,13.64924
-14.35979,33.97758,21.96745,17.45382,22.57485
-14.35979,33.97758,21.96745,17.45382,33.19326
-14.35979,33.97758,21.96745,17.45382,21.0565
-14.35979,33.97758,21.96745,17.45382,12.57519
-14.35979,33.97758,21.96745,17.45382,24.61974
-14.35979,33.97758,21.96745,17.45382,16.18977
-14.35979,33.97758,21.96745,17.45382,33.07253
-14.35979,33.97758,21.96745,17.45382,25.11361
-14.35979,33.97758,21.96745,17.45382,11.89975
-14.35979,33.97758,21.96745,17.45382,27.1232
-14.35979,33.97758,21.96745,17.45382,34.51261
-14.35979,33.97758,21.96745,17.45382,35.19505
-14.35979,33.97758,21.96745,17.45382,12.77838
-14.35979,33.97758,21.96745,17.45382,31.68048
-14.35979,33.97758,21.96745,17.45382,8.899148
-14.35979,33.97758,21.96745,17.45382,34.82798
-14.35979,33.97758,21.96745,17.45382,30.38322
-14.35979,33.97758,21.96745,17.45382,35.86704
-14.35979,33.97758,21.96745,17.45382,22.75617
-14.35979,33.97758,21.96745,17.45382,14.41951
-14.35979,33.97758,21.96745,17.45382,14.56239
-14.35979,33.97758,21.96745,17.45382,10.82979
-14.35979,33.97758,21.96745,17.45382,35.41338
-14.35979,33.97758,21.96745,17.45382,31.18876
-14.35979,33.97758,21.96745,17.45382,11.47823
-14.35979,33.97758,21.96745,17.45382,29.45456
-14.35979,33.97758,21.96745,17.45382,35.09449
-14.35979,33.97758,21.96745,17.45382,30.06418
-14.35979,33.97758,21.96745,17.45382,24.69934
-14.35979,33.97758,21.96745,17.45382,25.57916
-14.35979,33.97758,21.96745,17.45382,21.88214
