radius,mean_patchiness,mean_phi,num_points
2,0.2129308,8.773873,22
3,0.2942883,9.721091,206
4,0.251806,0.09278344,801
5,0.2487175,-0.7550632,1544
6,0.274118,0.3505485,2511
7,0.2893773,0.3197689,3771
8,0.2911639,0.5511012,5081
9,0.2913953,1.167022,6240
10,0.2962686,1.273059,7655
11,0.3133424,0.8053781,9348
12,0.3330332,1.287598,12031
13,0.3357545,0.986936,15101
14,0.3458493,1.16656,18434
15,0.3628835,1.378261,21141
16,0.3846221,1.7737,24124
17,0.4067141,2.252543,26966
18,0.4297272,2.936396,29434
19,0.4510719,3.526264,32122
20,0.4706818,3.929306,34902
21,0.4835064,4.272971,37642
22,0.4831927,4.416019,39971
23,0.4825683,4.477623,42398
24,0.4813042,4.544988,44600
25,0.4772752,4.499492,47284
26,0.475447,4.485896,50182
27,0.4735575,4.326303,53184
28,0.4663087,4.117414,56871
29,0.4622853,4.14665,61791
30,0.4570213,4.131095,68142
31,0.448453,3.936727,74200
32,0.4435126,3.907001,79797
33,0.4376609,3.742383,86223
34,0.4344282,3.655318,91620
35,0.4310671,3.499251,96899
36,0.4280842,3.318699,102169
37,0.4271,3.142134,106724
38,0.4239836,2.999778,111252
39,0.4186394,2.890758,114560
40,0.4167515,2.854784,117378
41,0.4155793,2.872023,119520
42,0.4153683,2.859064,121129
43,0.415675,2.842573,121875
44,0.4156047,2.838552,122023
